id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item1abc54b5d1,Alpine Silver Mirror Waterfall Fountain With Decorative Stone And Halogen Light,https://www.ebay.com/itm/114828817873?hash=item1abc54b5d1:g:nk0AAOSwHO5gsRdk,$699.00,"Olathe, Kansas, United States",https://i.ebayimg.com/images/g/nk0AAOSwHO5gsRdk/s-l300.jpg,mburu_mburu,https://www.ebay.com/usr/mburu_mburu?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1f24a39f4b,TOYOTA TRD 3000GT ALPINE SILVER MET. LTD 1/64 DIECAST MODEL CAR BY TSM MGT00200,https://www.ebay.com/itm/133758689099?hash=item1f24a39f4b:g:4XAAAOSwqEhgoJh8,$12.99,"Los Angeles, California, United States",https://i.ebayimg.com/images/g/4XAAAOSwqEhgoJh8/s-l300.jpg,wholesale_diecast_models,https://www.ebay.com/usr/wholesale_diecast_models?_trksid=p2047675.l2559,Instant,0,0,More than 10,"May 15, 2021 20:59:00 PDT"
item2b0a3f79ef,MINI GT 1:64 #200 TOYOTA TRD 3000GT (ALPINE SILVER METALLIC) MIJO USA EXCLUSIVE,https://www.ebay.com/itm/184855525871?hash=item2b0a3f79ef:g:o9kAAOSwLR9grX18,$10.99,"Missouri City, Texas, United States",https://i.ebayimg.com/images/g/o9kAAOSwLR9grX18/s-l300.jpg,mcq9595,https://www.ebay.com/usr/mcq9595?_trksid=p2047675.l2559,Instant,0,0,7,Unknown
item3ae105d0a2,For Toyota (199 Alpine Silver Metallic) Touch Up or Spray Paint,https://www.ebay.com/itm/252883357858?var=551893668725&hash=item3ae105d0a2:g:UIIAAOSwlx9fN2mJ,$13.99 to $65.98,"Portland, Oregon, United States",https://i.ebayimg.com/images/g/UIIAAOSwlx9fN2mJ/s-l300.jpg,erapaints,https://www.ebay.com/usr/erapaints?_trksid=p2047675.l2559,Instant,0,0,More than 10,"May 22, 2021 12:48:16 PDT"
item3b5d3449e7,Breyer 2010 “Alpine” Silver Filigree Web Special Esprit Mold only 250,https://www.ebay.com/itm/254966778343?hash=item3b5d3449e7:g:zigAAOSw~4tgkWMD,"$1,200.00","Angier, North Carolina, United States",https://i.ebayimg.com/images/g/zigAAOSw~4tgkWMD/s-l300.jpg,hagensluv06,https://www.ebay.com/usr/hagensluv06?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56fbfe84aa,1/64 MINI GT MIJO EXCLUSIVES TOYOTA SUPRA TRD 3000GT ALPINE SILVER LHD,https://www.ebay.com/itm/373594948778?epid=8046971923&hash=item56fbfe84aa:g:x9YAAOSwKiZgocdi,$16.00,"Pahrump, Nevada, United States",https://i.ebayimg.com/images/g/x9YAAOSwKiZgocdi/s-l300.jpg,busterb_72,https://www.ebay.com/usr/busterb_72?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item5dc26cc3d2,1993 TOYOTA SUPRA ALPINE SILVER 1/64 DIECAST MODEL CAR AUTOWORLD 64302-AWSP064 A,https://www.ebay.com/itm/402693866450?epid=10044271514&hash=item5dc26cc3d2:g:N00AAOSwIytgKsk~,$7.99,"Los Angeles, California, United States",https://i.ebayimg.com/images/g/N00AAOSwIytgKsk~/s-l300.jpg,wholesale_diecast_models,https://www.ebay.com/usr/wholesale_diecast_models?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item5dc526b362,2021 AUTO WORLD 1:64 *PREMIUM 1A* Alpine Silver 1993 Toyota Supra NIP,https://www.ebay.com/itm/402739606370?hash=item5dc526b362:g:gT8AAOSw4tNgSEOR,$6.99,"Dubuque, Iowa, United States",https://i.ebayimg.com/images/g/gT8AAOSw4tNgSEOR/s-l300.jpg,mc2-toys,https://www.ebay.com/usr/mc2-toys?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item3b5c1d9521,1993 Toyota Supra Alpine Silver 1:64 Diecast Model Car - Autoworld - 64302A,https://www.ebay.com/itm/254948513057?epid=10044271514&hash=item3b5c1d9521:g:QX0AAOSwF05gfdaW,$14.95,"Adrian, Michigan, United States",https://i.ebayimg.com/images/g/QX0AAOSwF05gfdaW/s-l300.jpg,karsondiecast,https://www.ebay.com/usr/karsondiecast?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 19, 2021 12:17:46 PDT"
item2d251fc0a5,Auto World Toyota Supra in Alpine Silver 1993 64302 A AWSP064 1/64,https://www.ebay.com/itm/193896366245?hash=item2d251fc0a5:g:ea0AAOSw~xRgLCVa,$7.99,"Arcadia, California, United States",https://i.ebayimg.com/images/g/ea0AAOSw~xRgLCVa/s-l300.jpg,autozriverjeff,https://www.ebay.com/usr/autozriverjeff?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item48ff9cbada,Mini GT Toyota TRD 3000GT Alpine Silver Metallic MGT00200 1/64 CHASE,https://www.ebay.com/itm/313526106842?hash=item48ff9cbada:g:5yEAAOSw6z1gmw6t,$79.99,"Arcadia, California, United States",https://i.ebayimg.com/images/g/5yEAAOSw6z1gmw6t/s-l300.jpg,autozriverjeff,https://www.ebay.com/usr/autozriverjeff?_trksid=p2047675.l2559,Instant,0,0,2,"May 15, 2021 13:36:35 PDT"
