id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item3b5af252c7,"Papilio alexanor orientalis, Pair, A-. Armenia. RARE",https://www.ebay.com/itm/254928900807?hash=item3b5af252c7:g:3y4AAOSw7nZgagiS,$99.00,"Kursk City, Russian Federation",https://i.ebayimg.com/images/g/3y4AAOSw7nZgagiS/s-l300.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 04, 2021 13:01:14 PDT"
item3b2fe1d45b,"Papilio alexanor hazarajatica, Pair, A-. Uzbekistan. RARE",https://www.ebay.com/itm/254206399579?hash=item3b2fe1d45b:g:3vsAAOSwyQVcu5TI,$109.00,"Kursk City, Russian Federation",https://i.ebayimg.com/images/g/3vsAAOSwyQVcu5TI/s-l300.jpg,mistericus,https://www.ebay.com/usr/mistericus?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 19, 2020 14:22:34 PDT"
item366d7d7c7a,Papilio alexanor orientalis REPUBLIC ARMENIA 1F C3597  58$,https://www.ebay.com/itm/233765174394?hash=item366d7d7c7a:g:wDAAAOSw0PtfntbN,$58.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/wDAAAOSw0PtfntbN/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 09, 2021 02:30:30 PST"
item4b626f99b3,"Papilio alexanor voldemar male, A1 quality, (Uzbekistan: W.TIan-Shan)",https://www.ebay.com/itm/323774028211?hash=item4b626f99b3:g:e9QAAOSwHoBcrvrt,$50.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/images/g/e9QAAOSwHoBcrvrt/s-l300.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 18, 2021 04:49:01 PST"
item46a686b243,Papilio alexanor orientalis ** Male 61 mm ** (Armenia),https://www.ebay.com/itm/303441556035?hash=item46a686b243:g:r6AAAOSwyO1cuanv,$84.05,"Miami Playa, Spain",https://i.ebayimg.com/images/g/r6AAAOSwyO1cuanv/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 03, 2021 09:24:19 PST"
item445125752d,Papilio alexanor alexanor *** PAIR *** S-France,https://www.ebay.com/itm/293419185453?hash=item445125752d:g:xoUAAOSw~dhcnoXX,$85.15,"Miami Playa, Spain",https://i.ebayimg.com/images/g/xoUAAOSw~dhcnoXX/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 03, 2021 09:23:45 PST"
item445125700c,"Papilio alexanor radighierii * FEMALE * Italy, Piedmont",https://www.ebay.com/itm/293419184140?hash=item445125700c:g:YCMAAOSw4C5cm1lz,$60.79,"Miami Playa, Spain",https://i.ebayimg.com/images/g/YCMAAOSw4C5cm1lz/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,5,"May 01, 2021 10:08:56 PDT"
item4451257527,"Papilio alexanor eitschbergeri ** PAIR ** Samos, Greece (Unmounted/papered)",https://www.ebay.com/itm/293419185447?hash=item4451257527:g:rJsAAOSwDSRcm1BQ,$108.42,"Miami Playa, Spain",https://i.ebayimg.com/images/g/rJsAAOSwDSRcm1BQ/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,8,"Jan 03, 2021 09:23:44 PST"
item46a686b557,Papilio alexanor Atticus + + * PAIR * +++ Greece,https://www.ebay.com/itm/303441556823?hash=item46a686b557:g:djsAAOSwJihcnof2,$109.51,"Miami Playa, Spain",https://i.ebayimg.com/images/g/djsAAOSwJihcnof2/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 03, 2021 09:24:21 PST"
item46a686aa4d,Papilio alexanor Atticus *** times *** * Greece,https://www.ebay.com/itm/303441553997?hash=item46a686aa4d:g:i4wAAOSwONNcm1Y4,$46.17,"Miami Playa, Spain",https://i.ebayimg.com/images/g/i4wAAOSwONNcm1Y4/s-l300.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,6,"Mar 13, 2021 07:54:30 PST"
