id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item366d7d9c80,"Parnassius mnemosyne uralka RUSSIA, South Ural 1PAIR C3591  10$",https://www.ebay.com/itm/233765182592?hash=item366d7d9c80:g:fg8AAOSw22Ffntkt,$10.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/fg8AAOSw22Ffntkt/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b90c1d17e,"Parnassius mnemosyne weidingeri, male, A1 quality (C. Russia)",https://www.ebay.com/itm/324551168382?hash=item4b90c1d17e:g:z90AAOSwTbRdmJul,$2.50,"Saratov, default, Russian Federation",https://i.ebayimg.com/images/g/z90AAOSwTbRdmJul/s-l300.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item263cb21b2c,Parnassius mnemosyne krzikalloi MALE / VERY RARE! Murmansk Sub Arctic Russia A1,https://www.ebay.com/itm/164227062572?hash=item263cb21b2c:g:Wa8AAOSw4oJeg-e6,$51.35,"Orlando, Florida, United States",https://i.ebayimg.com/images/g/Wa8AAOSw4oJeg-e6/s-l300.jpg,rarethings89,https://www.ebay.com/usr/rarethings89?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3672b9c37e,Parnassius mnemosyne tzvetajevi TOPOTYPUS Tajikistan 1M C3809 3$,https://www.ebay.com/itm/233853010814?hash=item3672b9c37e:g:E0wAAOSwqC9f-cWA,$3.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/E0wAAOSwqC9f-cWA/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item36746dfe08,Parnassius mnemosyne weidingeri RUSSIA Moscow region 1PAIR C2854 10$,https://www.ebay.com/itm/233881599496?hash=item36746dfe08:g:Ub0AAOSwKT1gGUkL,$10.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/Ub0AAOSwKT1gGUkL/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1cd0eb86a4,"Parnassius mnemosyne mnemosyne  A1- 10 male Ukraine Zmyiv reg,",https://www.ebay.com/itm/123764180644?hash=item1cd0eb86a4:g:eBcAAOSwWypc1u-i,$20.00,"Kharkov, Ukraine",https://i.ebayimg.com/images/g/eBcAAOSwWypc1u-i/s-l300.jpg,vladna2006,https://www.ebay.com/usr/vladna2006?_trksid=p2047675.l2559,Instant,0,0,Last one,"Feb 07, 2021 01:12:04 PST"
item366632c5d2,Parnassius mnemosyne ochraceus Tajikistan Ghissar mts. 2M C3048  10$,https://www.ebay.com/itm/233642837458?hash=item366632c5d2:g:SeYAAOSwXt1fBJ-G,$10.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/SeYAAOSwXt1fBJ-G/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b8c9c0ce5,"Parnassius mnemosyne problematica !, male, A1 quality (Turkmenistan) RARE!",https://www.ebay.com/itm/324481584357?hash=item4b8c9c0ce5:g:ikEAAOSwVChgI6Jj,$20.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/images/g/ikEAAOSwVChgI6Jj/s-l300.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3672b9b918,Parnassius mnemosyne orientalis Kirghizstan 1M C3805  4$,https://www.ebay.com/itm/233853008152?hash=item3672b9b918:g:fnMAAOSwN7hf-cSc,$4.00,"Krasnousolskiy, Russian Federation",https://i.ebayimg.com/images/g/fnMAAOSwN7hf-cSc/s-l300.jpg,aleks_brown1,https://www.ebay.com/usr/aleks_brown1?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1cfa1b3758,"Parnassius mnemosyne mnemosyne  A1- 2 fem Ukraine Zmyiv reg,",https://www.ebay.com/itm/124455171928?hash=item1cfa1b3758:g:nrcAAOSwz8Nc1u~h,$6.00,"Kharkov, Ukraine",https://i.ebayimg.com/images/g/nrcAAOSwz8Nc1u~h/s-l300.jpg,vladna2006,https://www.ebay.com/usr/vladna2006?_trksid=p2047675.l2559,Instant,0,0,2,"Feb 07, 2021 01:12:03 PST"
