id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item1f258a5bed,Butterfly - Pieris napi - England,https://www.ebay.com/itm/133773810669?hash=item1f258a5bed:g:EtoAAOSwWu1fyR9p,$1.77,"Hurst, Berkshire, United Kingdom",https://i.ebayimg.com/images/g/EtoAAOSwWu1fyR9p/s-l300.jpg,dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,0,0,1,Unknown
item23d4d38106,"Pieris napi (Linnaeus, 1758) male Poland66f",https://www.ebay.com/itm/153894486278?hash=item23d4d38106:g:uS0AAOSw2oVekYXC,$2.86,"Czarna Woda, Poland",https://i.ebayimg.com/images/g/uS0AAOSw2oVekYXC/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 11, 2021 00:55:21 PST"
item1ab72a9d5d,postcard Pieris napi rapeseed white butterfly,https://www.ebay.com/itm/114742173021?hash=item1ab72a9d5d:g:qzsAAOSwz3tgXdrS,$4.25,"Transylvania, Romania",https://i.ebayimg.com/images/g/qzsAAOSwz3tgXdrS/s-l300.jpg,cartographerro,https://www.ebay.com/usr/cartographerro?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item422df20cf6,Butterfly Pieridae Pieris napi female,https://www.ebay.com/itm/284238679286?hash=item422df20cf6:g:AMgAAOSwU7hgYvaP,$4.00,"Савостино, Лотошинский, Russian Federation",https://i.ebayimg.com/images/g/AMgAAOSwU7hgYvaP/s-l300.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 30, 2021 06:16:24 PDT"
item420cd88667,Butterfly Pieridae Pieris napi,https://www.ebay.com/itm/283683358311?hash=item420cd88667:g:2K0AAOSwlE9d1lrX,$4.00,"Савостино, Лотошинский, 143824, Russian Federation",https://i.ebayimg.com/images/g/2K0AAOSwlE9d1lrX/s-l300.jpg,andre_komra,https://www.ebay.com/usr/andre_komra?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 29, 2020 22:23:55 PST"
item23f3e63ec6,"Pieris napi (Linnaeus, 1758) male Poland49a",https://www.ebay.com/itm/154415808198?hash=item23f3e63ec6:g:JcgAAOSw0Y9geD7F,$2.86,"Gotelp, Poland",https://i.ebayimg.com/images/g/JcgAAOSw0Y9geD7F/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item23d4d36afb,"Pieris napi (Linnaeus, 1758) male Poland58f",https://www.ebay.com/itm/153894480635?hash=item23d4d36afb:g:SBcAAOSw8NNekYQx,$2.86,"Czarna Woda, Poland",https://i.ebayimg.com/images/g/SBcAAOSw8NNekYQx/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 11, 2021 00:49:09 PST"
item23d4d37ec6,"Pieris napi (Linnaeus, 1758) male Poland64f",https://www.ebay.com/itm/153894485702?hash=item23d4d37ec6:g:RcEAAOSwal9ekYV2,$2.86,"Czarna Woda, Poland",https://i.ebayimg.com/images/g/RcEAAOSwal9ekYV2/s-l300.jpg,owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 11, 2021 00:54:13 PST"
item1ef9766f9f,Pieris Lotfi aberration unsymetrisch SEE PHOTO,https://www.ebay.com/itm/133034307487?hash=item1ef9766f9f:g:~m0AAOSwBfdbM~Qh,$69.43,"Göttingen, Germany",https://i.ebayimg.com/images/g/~m0AAOSwBfdbM~Qh/s-l300.jpg,octopus1956,https://www.ebay.com/usr/octopus1956?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3db91f501d,Pieris napi 1male 2 females A1/A- from Siberia (Pieridae),https://www.ebay.com/itm/265098842141?hash=item3db91f501d:g:4EkAAOSwZbxgWj7y,$5.00,"Voronezh, Russian Federation",https://i.ebayimg.com/images/g/4EkAAOSwZbxgWj7y/s-l300.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 06, 2021 12:04:59 PDT"
item289c2d8bc7,Butterflies PIERIS NAPI & PONTIA DAPIDICE Original Victorian Print c1896,https://www.ebay.com/itm/174418922439?hash=item289c2d8bc7:g:yUwAAOSwS79fT56j,$18.08,"Staffordshire, United Kingdom",https://i.ebayimg.com/images/g/yUwAAOSwS79fT56j/s-l300.jpg,pasttimepostcards,https://www.ebay.com/usr/pasttimepostcards?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 03:35:19 PST"
item447e947b17,Card green-croquemort white pieris napi cabbage turnip's butterfly butterfly 1963,https://www.ebay.com/itm/294181436183?hash=item447e947b17:g:ZRYAAOSwUUldUlla,$6.08,"Varna, Bulgaria",https://i.ebayimg.com/images/g/ZRYAAOSwUUldUlla/s-l300.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2cabbea107,WILLS - BRITISH BUTTERFLIES 1927 (G/F) ***PICK THE CARDS YOU NEED***,https://www.ebay.com/itm/191859958023?hash=item2cabbea107:g:YQsAAOSwZAtXJH4D,$1.42,"Huntingdon, Cambridgeshire, United Kingdom",https://i.ebayimg.com/images/g/YQsAAOSwZAtXJH4D/s-l300.jpg,gum.cards,https://www.ebay.com/usr/gum.cards?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 04, 2021 10:33:51 PST"
