id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2f45a20f2d,"Alamo Blanco, Populus alba, chopo blanco,White poplar, silver poplar, silverleaf",https://www.ebay.com/itm/203031711533?hash=item2f45a20f2d:g:-fUAAOSwXmpe9TFn,$9.99,"Los Angeles, California, United States",https://i.ebayimg.com/images/g/-fUAAOSwXmpe9TFn/s-l300.jpg,herbalmexican-2,https://www.ebay.com/usr/herbalmexican-2?_trksid=p2047675.l2559,Instant,0,0,More than 10,"May 27, 2021 20:36:28 PDT"
item3b45a337d1,White Poplar (Populus Alba) Dried Bark Liquid Extract,https://www.ebay.com/itm/254571395025?hash=item3b45a337d1:g:PcIAAOSwOfxemQjm,$17.95 to $197.95,"Honolulu, Hawaii, United States",https://i.ebayimg.com/images/g/PcIAAOSwOfxemQjm/s-l300.jpg,fastshippingstore-us,https://www.ebay.com/usr/fastshippingstore-us?_trksid=p2047675.l2559,Instant,0,0,3,"Apr 13, 2021 15:15:08 PDT"
item2854fdc208,White Poplar Buds ( Populus alba L. ) - Health Embassy,https://www.ebay.com/itm/173224608264?hash=item2854fdc208:g:dWYAAOSwwRRd83WC,$8.49 to $14.16,"Cheltenham, United Kingdom",https://i.ebayimg.com/images/g/dWYAAOSwwRRd83WC/s-l300.jpg,health_embassy_ltd,https://www.ebay.com/usr/health_embassy_ltd?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Mar 09, 2021 05:34:44 PST"
item2881566437,White Poplar Buds / Populus Alba L # Herba Organica #,https://www.ebay.com/itm/173968614455?hash=item2881566437:g:cxIAAOSwEDxdMCHw,$8.49 to $14.16,"Cheltenham, United Kingdom",https://i.ebayimg.com/images/g/cxIAAOSwEDxdMCHw/s-l300.jpg,health_embassy_ltd,https://www.ebay.com/usr/health_embassy_ltd?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Mar 09, 2021 05:36:02 PST"
item35fbfcf8fe,White Poplar Buds ( Populus alba L. ) - Health Embassy 100% Natural,https://www.ebay.com/itm/231860926718?hash=item35fbfcf8fe:g:YSgAAOSwoMFd-Nqy,$8.49 to $14.16,"Cheltenham, United Kingdom",https://i.ebayimg.com/images/g/YSgAAOSwoMFd-Nqy/s-l300.jpg,health_embassy,https://www.ebay.com/usr/health_embassy?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Mar 03, 2021 04:59:56 PST"
item363f0eb67a,White Poplar Buds - Populus Alba L # Herba Organica #,https://www.ebay.com/itm/232986162810?hash=item363f0eb67a:g:J-0AAOSwPTlb7ozp,$8.49 to $14.16,"Cheltenham, United Kingdom",https://i.ebayimg.com/images/g/J-0AAOSwPTlb7ozp/s-l300.jpg,health_embassy,https://www.ebay.com/usr/health_embassy?_trksid=p2047675.l2559,Instant,0,0,More than 10,"May 05, 2021 02:23:28 PDT"
item5240526fbb,1 Plant Populus Alba (Aspen White,https://www.ebay.com/itm/353266462651?hash=item5240526fbb:g:E2IAAOSwnNVfnH9H,$14.15,"Napoli, Italy",https://i.ebayimg.com/images/g/E2IAAOSwnNVfnH9H/s-l300.jpg,world-plants,https://www.ebay.com/usr/world-plants?_trksid=p2047675.l2559,Instant,0,0,3,"Feb 03, 2021 09:06:36 PST"
item34266237fc,"White Poplar (Populus Alba) Tincture, Dried Bark Liquid Extract",https://www.ebay.com/itm/223982270460?hash=item34266237fc:g:Ov8AAOSwnFlem~Yc,$17.95 to $299.95,"Honolulu, Hawaii, United States",https://i.ebayimg.com/images/g/Ov8AAOSwnFlem~Yc/s-l300.jpg,herbalterra,https://www.ebay.com/usr/herbalterra?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 14, 2021 01:52:15 PST"
item56c4128a6d,Silver Poplar/Populus alba colour printing of 1958 White Poplar Belle alberbaum,https://www.ebay.com/itm/372656736877?hash=item56c4128a6d:g:Td0AAOSwEeFVPMgX,$10.35,"Kassel, Germany",https://i.ebayimg.com/images/g/Td0AAOSwEeFVPMgX/s-l300.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 11, 2020 08:06:34 PST"
item524e95953b,Antique Print Populus Alba British Plants Botany 1847 Sowerby Smith Colour 19th,https://www.ebay.com/itm/353505744187?hash=item524e95953b:g:uUAAAOSw18BgqSUK,$25.52,"HR6 9HY, United Kingdom",https://i.ebayimg.com/images/g/uUAAAOSw18BgqSUK/s-l300.jpg,prints-4-all,https://www.ebay.com/usr/prints-4-all?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
