id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3f6f058cbb,Tokelau - 5 Dollars Butterfly Ornithoptera Priamus,https://www.ebay.com/itm/272445574331?hash=item3f6f058cbb:g:2FUAAOSw5cNYJVuQ,https://i.ebayimg.com/thumbs/images/g/2FUAAOSw5cNYJVuQ/s-l225.jpg,$116.93,May-31 13:09,"Elk, Poland",kdabrowski_pl,https://www.ebay.com/usr/kdabrowski_pl?_trksid=p2047675.l2559,Instant,0,1,
item1f254445c7,+ Entomology Butterfly: Ornithoptera Priam Poseidon ♂ manokwari +++,https://www.ebay.com/itm/133769217479?hash=item1f254445c7:g:-wkAAOSw0w5gqpAM,https://i.ebayimg.com/thumbs/images/g/-wkAAOSw0w5gqpAM/s-l225.jpg,$37.15,May-30 10:25,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,11,1,"May 30, 2021

10:25:46 PDT"
item218a0129be,+ Entomology Butterfly: Ornithoptera Priam Poseidon ♀ manokwari +++,https://www.ebay.com/itm/144049252798?hash=item218a0129be:g:dqAAAOSwkP5gqo~t,https://i.ebayimg.com/thumbs/images/g/dqAAAOSwkP5gqo~t/s-l225.jpg,$11.43,May-30 10:25,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"May 30, 2021

10:25:13 PDT"
item218a010f2e,+ Entomology Butterfly: 6x Ornithoptera... ♂ ♀ manokwari unprep. +++,https://www.ebay.com/itm/144049245998?hash=item218a010f2e:g:Ts4AAOSwUeFgqo6s,https://i.ebayimg.com/thumbs/images/g/Ts4AAOSwUeFgqo6s/s-l225.jpg,$50.65,May-30 10:19,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,16,1,"May 30, 2021

10:19:50 PDT"
item4b95e13e28,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS TEUCRUS NO 1  PAIR,https://www.ebay.com/itm/324637113896?hash=item4b95e13e28:g:dlgAAOSwhClgkLj4,https://i.ebayimg.com/thumbs/images/g/dlgAAOSwhClgkLj4/s-l225.jpg,$17.99,May-26 20:22,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

20:22:58 PDT"
item4b95e1212c,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS TEUCRUS NO 4  PAIR,https://www.ebay.com/itm/324637106476?hash=item4b95e1212c:g:7ogAAOSw3M5goJDk,https://i.ebayimg.com/thumbs/images/g/7ogAAOSw3M5goJDk/s-l225.jpg,$17.99,May-26 20:14,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

20:14:20 PDT"
item4b95e12131,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS TEUCRUS NO 1  PAIR,https://www.ebay.com/itm/324637106481?hash=item4b95e12131:g:NoIAAOSwgrNgiNdd,https://i.ebayimg.com/thumbs/images/g/NoIAAOSwgrNgiNdd/s-l225.jpg,$17.99,May-26 20:14,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

20:14:20 PDT"
item344375337a,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS URVILLIANUS FEMALE .,https://www.ebay.com/itm/224470053754?hash=item344375337a:g:SwYAAOSwpQFgqHSe,https://i.ebayimg.com/thumbs/images/g/SwYAAOSwpQFgqHSe/s-l225.jpg,$2.99,May-26 20:06,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

20:06:09 PDT"
item3443752269,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS POSEIDON NO 1 PAIR .,https://www.ebay.com/itm/224470049385?hash=item3443752269:g:SvQAAOSw3-1gmKU4,https://i.ebayimg.com/thumbs/images/g/SvQAAOSw3-1gmKU4/s-l225.jpg,$15.99,May-26 19:56,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

19:56:43 PDT"
item344375226a,UNMOUNTED BUTTERFLIES/ORNITHOPTERA PRIAMUS POSEIDON NO 7 PAIR .,https://www.ebay.com/itm/224470049386?hash=item344375226a:g:5HQAAOSwrzJgmKbr,https://i.ebayimg.com/thumbs/images/g/5HQAAOSwrzJgmKbr/s-l225.jpg,$15.99,May-26 19:56,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"May 26, 2021

19:56:43 PDT"
