id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1d0afe2d20,Gray's Leaf Insect in Box Frame (Phyllium bioculatum),https://www.ebay.com/itm/124738481440?hash=item1d0afe2d20:g:GuAAAOSwH9RgXeti,https://i.ebayimg.com/thumbs/images/g/GuAAAOSwH9RgXeti/s-l225.jpg,$63.79,May-24 04:20,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,1,
item2b09f4b646,PHYLLIUM BIOCULATUM PULCHRIFOLIUM. Gray's leaf insect immortalized in resin (1),https://www.ebay.com/itm/184850626118?hash=item2b09f4b646:g:1JwAAOSwv9NgqU0d,https://i.ebayimg.com/thumbs/images/g/1JwAAOSwv9NgqU0d/s-l225.jpg,$45.00,May-22 15:40,"Sayabec, Quebec, Canada",gleb3234,https://www.ebay.com/usr/gleb3234?_trksid=p2047675.l2559,Instant,0,2,
item34428c342a,PHYLLIUM BIOCULATUM  ORANGE/YELLOW AND GREEN FORM | INDONESIA | | UK21-122A RARE,https://www.ebay.com/itm/224454784042?hash=item34428c342a:g:pjgAAOSwHAlglp9E,https://i.ebayimg.com/thumbs/images/g/pjgAAOSwHAlglp9E/s-l225.jpg,$58.13,May-16 11:28,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,12,1,"May 16, 2021

11:28:02 PDT"
item34428e0dbb,PHYLLIUM BIOCULATUM GREEN FORM | JAVA INDONESIA | UK21-280A | AS PICTURED,https://www.ebay.com/itm/224454905275?hash=item34428e0dbb:g:GeUAAOSwdw9glsQd,https://i.ebayimg.com/thumbs/images/g/GeUAAOSwdw9glsQd/s-l225.jpg,$9.22,May-16 10:26,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,7,1,"May 16, 2021

10:26:02 PDT"
item3db728248a,Giant leaf insect Phyllium bioculatum SET x1 A1- *Large species*  *Amazing bug*.,https://www.ebay.com/itm/265065866378?hash=item3db728248a:g:R7kAAOSwwgxgW1mg,https://i.ebayimg.com/thumbs/images/g/R7kAAOSwwgxgW1mg/s-l225.jpg,$42.46,May-08 06:59,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,5,
item1d05f6f568,Gray's Leaf Insect in Box Frame (Phyllium bioculatum),https://www.ebay.com/itm/124654122344?hash=item1d05f6f568:g:GuAAAOSwH9RgXeti,https://i.ebayimg.com/thumbs/images/g/GuAAAOSwH9RgXeti/s-l225.jpg,$63.79,May-05 08:04,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,2,
item1d074565f2,PHYLLIIDAE: PHYLLIUM BIOCULATUM PULCHRIFOLIUM TRANSPARANT (2 PCS),https://www.ebay.com/itm/124676040178?hash=item1d074565f2:g:Bd8AAOSwwWZgco0x,https://i.ebayimg.com/thumbs/images/g/Bd8AAOSwwWZgco0x/s-l225.jpg,$20.50,Apr-16 01:49,"Tangerang Selatan, BT, Indonesia",babel-2010,https://www.ebay.com/usr/babel-2010?_trksid=p2047675.l2559,Auction,7,1,"Apr 16, 2021

01:49:38 PDT"
item28aec3bd14,PHYLLIUM BIOCULATUM PULCHRIFOLIUM. Gray's leaf insect immortalized in resin.,https://www.ebay.com/itm/174730755348?hash=item28aec3bd14:g:NlAAAOSwG0dgdZbM,https://i.ebayimg.com/thumbs/images/g/NlAAAOSwG0dgdZbM/s-l225.jpg,$39.99,Apr-13 21:20,"Sayabec, Quebec, Canada",gleb3234,https://www.ebay.com/usr/gleb3234?_trksid=p2047675.l2559,Instant,0,1,
item2b04b94014,PHYLLIUM BIOCULATUM PULCHRIFOLIUM. Gray's leaf insect embedded in clear resin.,https://www.ebay.com/itm/184762843156?hash=item2b04b94014:g:WSoAAOSw5PNgdZj0,https://i.ebayimg.com/thumbs/images/g/WSoAAOSw5PNgdZj0/s-l225.jpg,$39.99,Apr-13 21:20,"Sayabec, Quebec, Canada",gleb3234,https://www.ebay.com/usr/gleb3234?_trksid=p2047675.l2559,Instant,0,1,
item2b04b9f4dd,PHYLLIUM BIOCULATUM PULCHRIFOLIUM. Phyllidae insect embedded in clear resin. A2,https://www.ebay.com/itm/184762889437?hash=item2b04b9f4dd:g:DVYAAOSwvulgdZ7f,https://i.ebayimg.com/thumbs/images/g/DVYAAOSwvulgdZ7f/s-l225.jpg,$36.00,Apr-13 21:15,"Sayabec, Quebec, Canada",gleb3234,https://www.ebay.com/usr/gleb3234?_trksid=p2047675.l2559,Instant,0,1,
