id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item34509b14ff,BATTUS PHILENOR PHILENOR MALE | VERACRUZ MEXICO | AS PICTURED | UK21-154,https://www.ebay.com/itm/224690640127?hash=item34509b14ff:g:w1oAAOSwiZRha8Br,https://i.ebayimg.com/thumbs/images/g/w1oAAOSwiZRha8Br/s-l225.jpg,$4.10,Nov-21 12:00,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,5,1,"Nov 21, 2021

12:00:27 PST"
item1abcd467a2,"LEPIDOPTERA, PAPILIONIDAE, BATTUS PHILENOR from U.S.A.",https://www.ebay.com/itm/114837186466?hash=item1abcd467a2:g:D2UAAOSwn6RguUn3,https://i.ebayimg.com/thumbs/images/g/D2UAAOSwn6RguUn3/s-l225.jpg,$14.56,Nov-21 03:49,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,1,
item59665ae194,Battus philenor pipevine swallowtail blue black butterfly Arizona framed,https://www.ebay.com/itm/383969321364?hash=item59665ae194:g:kT4AAOSwgUJgMbRf,https://i.ebayimg.com/thumbs/images/g/kT4AAOSwgUJgMbRf/s-l225.jpg,$36.00,Nov-13 07:55,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,3,
item1d18a15338,Pipevine Swallowtail Butterfly Battus philenor Papiliondae Lepidoptera TX K211,https://www.ebay.com/itm/124967277368?hash=item1d18a15338:g:UaYAAOSwC-NhcH2T,https://i.ebayimg.com/thumbs/images/g/UaYAAOSwC-NhcH2T/s-l225.jpg,$6.06,Nov-09 17:48,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,2,1,"Nov 09, 2021

17:48:27 PST"
item1d18a1532f,Pipevine Swallowtail Butterfly Battus philenor Papiliondae Lepidoptera TX K112,https://www.ebay.com/itm/124967277359?hash=item1d18a1532f:g:wxcAAOSwUfJhcH6f,https://i.ebayimg.com/thumbs/images/g/wxcAAOSwUfJhcH6f/s-l225.jpg,$3.75,Nov-09 17:47,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,1,1,"Nov 09, 2021

17:47:28 PST"
item23c08e5368,A1 Unmounted Battus philenor male - from USA - Collection Data Included,https://www.ebay.com/itm/153554408296?hash=item23c08e5368:g:CAgAAOSwcmtdH42p,https://i.ebayimg.com/thumbs/images/g/CAgAAOSwcmtdH42p/s-l225.jpg,$6.50,Nov-09 10:37,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,12,
item4dcf82012c,butterfly moth: battus philenor hirsute from California,https://www.ebay.com/itm/334193885484?hash=item4dcf82012c:g:NFIAAOSw9plhdh~z,https://i.ebayimg.com/thumbs/images/g/NFIAAOSw9plhdh~z/s-l225.jpg,$20.00,Nov-06 13:22,"Washington state, United States",cascadean,https://www.ebay.com/usr/cascadean?_trksid=p2047675.l2559,Auction,1,1,"Nov 06, 2021

13:22:24 PDT"
item344e347f79,BATTUS PHILENOR PHILENOR MALE | VERACRUZ MEXICO | AS PICTURED | UK21-154,https://www.ebay.com/itm/224650362745?hash=item344e347f79:g:w1oAAOSwiZRha8Br,https://i.ebayimg.com/thumbs/images/g/w1oAAOSwiZRha8Br/s-l225.jpg,$5.58,Oct-24 11:48,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,3,1,"Oct 24, 2021

11:48:08 PDT"
item1f2d74158f,"+ ENTOMOLOGY, BUTTERFLY: BATTUS PHILENOR HIRSUTA PAIR CALIFORNIA USA +++",https://www.ebay.com/itm/133906568591?hash=item1f2d74158f:g:PuoAAOSwLQphbF9S,https://i.ebayimg.com/thumbs/images/g/PuoAAOSwLQphbF9S/s-l225.jpg,$21.50,Oct-24 10:37,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,10,1,"Oct 24, 2021

10:37:35 PDT"
item4dce818966,butterfly moth: battus philenor hirsute from California,https://www.ebay.com/itm/334177077606?hash=item4dce818966:g:~4IAAOSwUMJhY2kc,https://i.ebayimg.com/thumbs/images/g/~4IAAOSwUMJhY2kc/s-l225.jpg,$22.50,Oct-23 13:07,"Washington state, United States",cascadean,https://www.ebay.com/usr/cascadean?_trksid=p2047675.l2559,Auction,2,1,"Oct 23, 2021

13:07:48 PDT"
