id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item33bf82784f,10 SEEDS CARYOTA MITIS LOUR. VARIEGATED CLUSTERING FISHTAIL JAGGERY PALM RARE,https://www.ebay.com/itm/222256330831?hash=item33bf82784f:g:bWYAAOSwOyJX4Xn6,https://i.ebayimg.com/thumbs/images/g/bWYAAOSwOyJX4Xn6/s-l225.jpg,$21.99,Nov-23 00:01,"Lumlukka, Phatumtanee, Thailand",panplantplaza,https://www.ebay.com/usr/panplantplaza?_trksid=p2047675.l2559,Instant,0,52,
item23fac142e5,"Caryota mitis fishtail palm, Burmese fishtail palm 15 seeds",https://www.ebay.com/itm/154530824933?hash=item23fac142e5:g:f30AAOSwrcpgsC65,https://i.ebayimg.com/thumbs/images/g/f30AAOSwrcpgsC65/s-l225.jpg,$9.99,Nov-15 02:29,"Santa Fe Springs, California, United States",2011kworld,https://www.ebay.com/usr/2011kworld?_trksid=p2047675.l2559,Instant,0,1,
item3dc601cd63,"100 Caryota mitis seeds Clumping Fishtail Palm fresh Sept 14, 2021 FL IPS member",https://www.ebay.com/itm/265315011939?hash=item3dc601cd63:g:HuAAAOSwuLhhQmpJ,https://i.ebayimg.com/thumbs/images/g/HuAAAOSwuLhhQmpJ/s-l225.jpg,$10.00,Nov-12 14:43,"Delray Beach, Florida, United States",radrobs,https://www.ebay.com/usr/radrobs?_trksid=p2047675.l2559,Instant,0,4,
item525d7c1839,"Fishtail Palm, Caryota mitis, 12 inch  live plant, ",https://www.ebay.com/itm/353755732025?hash=item525d7c1839:g:Kb0AAOSwY-lhOU17,https://i.ebayimg.com/thumbs/images/g/Kb0AAOSwY-lhOU17/s-l225.jpg,$21.00,Nov-10 16:03,"Holiday, Florida, United States",theflowernurse,https://www.ebay.com/usr/theflowernurse?_trksid=p2047675.l2559,Auction,1,1,"Nov 10, 2021

16:03:47 PST"
item2b19d238c6,Fishtail palm (Caryota mitis) 1 year old 2' tall,https://www.ebay.com/itm/185116801222?hash=item2b19d238c6:g:4jMAAOSwupVdurua,https://i.ebayimg.com/thumbs/images/g/4jMAAOSwupVdurua/s-l225.jpg,$9.99,Oct-26 12:42,"Merritt Island, Florida, United States",tanbeach,https://www.ebay.com/usr/tanbeach?_trksid=p2047675.l2559,Instant,0,1,
item238979d29a,FISHTAIL PALM caryota mitis exotic rare palm tree palms ornamental seed 10 seeds,https://www.ebay.com/itm/152630317722?hash=item238979d29a:g:VYAAAOSwgwxZb5ct,https://i.ebayimg.com/thumbs/images/g/VYAAAOSwgwxZb5ct/s-l225.jpg,$7.99,Oct-26 09:14,"Miami, Florida, United States",exotic_cactus_collection,https://www.ebay.com/usr/exotic_cactus_collection?_trksid=p2047675.l2559,Instant,0,37,
item28b17afea5,"Caryota mitis, the clustering fishtail palm 12 seedlings",https://www.ebay.com/itm/174776319653?hash=item28b17afea5:g:mNcAAOSwq1ldurnC,https://i.ebayimg.com/thumbs/images/g/mNcAAOSwq1ldurnC/s-l225.jpg,$11.96,Oct-13 17:22,"Merritt Island, Florida, United States",tanbeach,https://www.ebay.com/usr/tanbeach?_trksid=p2047675.l2559,Instant,0,6,
item3dc601bbe8,"50 Caryota mitis seeds, Clumping Fishtail Palm fresh Sept 14, 2021 FL IPS member",https://www.ebay.com/itm/265315007464?hash=item3dc601bbe8:g:DBUAAOSwl9BhQmmM,https://i.ebayimg.com/thumbs/images/g/DBUAAOSwl9BhQmmM/s-l225.jpg,$7.00,Oct-08 15:33,"Delray Beach, Florida, United States",radrobs,https://www.ebay.com/usr/radrobs?_trksid=p2047675.l2559,Instant,0,1,
item3dc601a7b6,"10 Caryota mitis seeds, Clumping Fishtail Palm fresh Sept 14, 2021 FL IPS member",https://www.ebay.com/itm/265315002294?hash=item3dc601a7b6:g:DBUAAOSwl9BhQmmM,https://i.ebayimg.com/thumbs/images/g/DBUAAOSwl9BhQmmM/s-l225.jpg,$4.00,Oct-02 19:27,"Delray Beach, Florida, United States",radrobs,https://www.ebay.com/usr/radrobs?_trksid=p2047675.l2559,Instant,0,1,
item2b10f6739d,"Caryota mitis, the clustering fishtail palm 1 larger 2 trunk palm",https://www.ebay.com/itm/184968180637?hash=item2b10f6739d:g:mNcAAOSwq1ldurnC,https://i.ebayimg.com/thumbs/images/g/mNcAAOSwq1ldurnC/s-l225.jpg,$10.99,Sep-04 15:55,"Merritt Island, Florida, United States",tanbeach,https://www.ebay.com/usr/tanbeach?_trksid=p2047675.l2559,Instant,0,1,
