id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item28c10833b9,Cethosia biblis sandakana male 36mm CV103 Nymphalidae Butterflies,https://www.ebay.com/itm/175037232057?hash=item28c10833b9:g:7lIAAOSwCwJhnjp2,https://i.ebayimg.com/thumbs/images/g/7lIAAOSwCwJhnjp2/s-l225.jpg,$7.50,Nov-29 22:07,"Calumpit, Philippines",bluemetallic88,https://www.ebay.com/usr/bluemetallic88?_trksid=p2047675.l2559,Auction,9,1,"Nov 29, 2021

22:07:34 PST"
item4489964deb,Real Butterfly/Insect Non Set B7215 Stunning Colours Cethosia biblis insularis,https://www.ebay.com/itm/294366105067?hash=item4489964deb:g:ojQAAOSw7wJgekC3,https://i.ebayimg.com/thumbs/images/g/ojQAAOSw7wJgekC3/s-l225.jpg,$3.88,Nov-27 23:07,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,15,
item4494dcac33,Real Butterfly/Insect/Moth Non Set B7883 Rare Colourful Cethosia biblis perakana,https://www.ebay.com/itm/294555266099?hash=item4494dcac33:g:SdcAAOSwTVhhlIEG,https://i.ebayimg.com/thumbs/images/g/SdcAAOSwTVhhlIEG/s-l225.jpg,$3.88,Nov-19 23:10,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,6,
item4d844e1bdb,Cethosia biblis A1 Papered Specimen Ex Philippines,https://www.ebay.com/itm/332932193243?hash=item4d844e1bdb:g:QwcAAOSwDL5dvIxO,https://i.ebayimg.com/thumbs/images/g/QwcAAOSwDL5dvIxO/s-l225.jpg,$1.60,Nov-18 19:39,"Burgess Hill , United Kingdom",the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,108,
item48d677f7de,COLLECTION PAIR unmounted butterfly Nymphalidae cethosia biblis CHINA  A1-,https://www.ebay.com/itm/312835831774?hash=item48d677f7de:g:c~gAAOSwjDJdxAPO,https://i.ebayimg.com/thumbs/images/g/c~gAAOSwjDJdxAPO/s-l225.jpg,$2.99,Nov-05 06:55,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,9,
item423ab825c3,25 PAIR unmounted butterfly mymphalidae cethosia biblis biblis CHINA  A1 A1-,https://www.ebay.com/itm/284452988355?hash=item423ab825c3:g:f7IAAOSw0VZbmJuY,https://i.ebayimg.com/thumbs/images/g/f7IAAOSw0VZbmJuY/s-l225.jpg,$59.90,Oct-20 08:16,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,2,
item3d9596260c,"Unmounted Butterfly/Nymphalidae - Cethosia biblis perakana, male, Malaysia",https://www.ebay.com/itm/264502650380?hash=item3d9596260c:g:BZAAAOSwy6ddqXPn,https://i.ebayimg.com/thumbs/images/g/BZAAAOSwy6ddqXPn/s-l225.jpg,$2.28,Oct-10 12:32,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,12,
item25af9c347b,West Nusa Tenggara set 2 coins Spotted Purple and Cethosia biblis butterfly 2015,https://www.ebay.com/itm/161860039803?hash=item25af9c347b:g:9s0AAOSwqtpdfBJo,https://i.ebayimg.com/thumbs/images/g/9s0AAOSwqtpdfBJo/s-l225.jpg,$23.71,Oct-07 12:29,"Kyiv, Ukraine",coinsberg,https://www.ebay.com/usr/coinsberg?_trksid=p2047675.l2559,Instant,0,9,
item3dc3bc3e77,"Real Butterfly Cethosia Biblis, Glass Dome Display,taxidermy,terrarium,art",https://www.ebay.com/itm/265276898935?hash=item3dc3bc3e77:g:XPAAAOSwUL1hH-fx,https://i.ebayimg.com/thumbs/images/g/XPAAAOSwUL1hH-fx/s-l225.jpg,$68.00,Oct-05 09:07,"Burlington, Wyoming, United States",509sundancingeagles,https://www.ebay.com/usr/509sundancingeagles?_trksid=p2047675.l2559,Instant,0,1,
item48f6843ff3,Nymphalidae. 3 x Cethosia biblis buruana.  Buru Is,https://www.ebay.com/itm/313373507571?hash=item48f6843ff3:g:9P0AAOSw4RJf97Oz,https://i.ebayimg.com/thumbs/images/g/9P0AAOSw4RJf97Oz/s-l225.jpg,$10.00,Oct-04 19:15,"Karridale, WA, Australia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,1,
item56cb1db27d,"BUTTEFLIES  OF MALVIDES,-BRAHMACA,-TEINOPALPUS,-CETHOSIA BIBLIS, MNH 70s",https://www.ebay.com/itm/372774908541?hash=item56cb1db27d:g:T1wAAOSwzvZbrOKi,https://i.ebayimg.com/thumbs/images/g/T1wAAOSwzvZbrOKi/s-l225.jpg,$0.99,Oct-04 10:28,"Kissimmee, Florida, United States",cartago1946,https://www.ebay.com/usr/cartago1946?_trksid=p2047675.l2559,Instant,0,7,
item2d03954245,Cethosia Biblis Butterfly Taxidermy REAL Insect (Unmounted),https://www.ebay.com/itm/193333641797?hash=item2d03954245:g:K8MAAOSwZedeO3If,https://i.ebayimg.com/thumbs/images/g/K8MAAOSwZedeO3If/s-l225.jpg,$3.00,Oct-04 09:43,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,8,
