id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item58c1d04cec,Cethosia hypsea verso REAL FRAMED BUTTERFLY RED ORANGE INDONESIA,https://www.ebay.com/itm/381208775916?hash=item58c1d04cec:g:wyYAAOSwGuJfLMsH,https://i.ebayimg.com/thumbs/images/g/wyYAAOSwGuJfLMsH/s-l225.jpg,$34.00,Nov-28 15:21,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,389,
item2d03953ecd,Cethosia Hypsea Butterfly Taxidermy REAL Insect (Unmounted),https://www.ebay.com/itm/193333640909?hash=item2d03953ecd:g:~OUAAOSwe0BeO3G9,https://i.ebayimg.com/thumbs/images/g/~OUAAOSwe0BeO3G9/s-l225.jpg,$3.95,Nov-20 08:54,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,24,
item1ce4a0ee06,"LEPIDOPTERA, NYMPHALIDAE, HELICONIINAE, CETHOSIA HYPSEA from PHILIPPINES",https://www.ebay.com/itm/124094836230?hash=item1ce4a0ee06:g:drgAAOSwIVdeUt2U,https://i.ebayimg.com/thumbs/images/g/drgAAOSwIVdeUt2U/s-l225.jpg,$3.92,Nov-19 14:50,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,1,
item343b6143fb,CETHOSIA HYPSEA AEOLE - unmounted butterfly,https://www.ebay.com/itm/224334529531?hash=item343b6143fb:g:I-kAAOSwCXBeAOBC,https://i.ebayimg.com/thumbs/images/g/I-kAAOSwCXBeAOBC/s-l225.jpg,$9.99,Nov-05 09:53,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,2,
item4006c9c156,Nymphalidae - Heliconiinae - Cethosia hypsea - female reverse - Philippines,https://www.ebay.com/itm/274991792470?hash=item4006c9c156:g:89YAAOSwafthIm58,https://i.ebayimg.com/thumbs/images/g/89YAAOSwafthIm58/s-l225.jpg,$5.07,Oct-26 10:56,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,1,1,"Oct 26, 2021

10:56:45 PDT"
item3b5783b2e9,Malay Lacewing Butterfly Cethosia hypsea hypsina Folded FAST FROM US,https://www.ebay.com/itm/254871319273?hash=item3b5783b2e9:g:pVsAAOSwE~RfmICQ,https://i.ebayimg.com/thumbs/images/g/pVsAAOSwE~RfmICQ/s-l225.jpg,$4.04,Oct-15 10:13,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,18,
item4908fe4b36,Nymphalidae. 4 x Cethosia hypsea. West Kalimantan (3),https://www.ebay.com/itm/313683495734?hash=item4908fe4b36:g:AQIAAOSwNGphSyN0,https://i.ebayimg.com/thumbs/images/g/AQIAAOSwNGphSyN0/s-l225.jpg,$7.05,Oct-03 02:10,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,3,1,"Oct 03, 2021

02:10:17 PDT"
item2b167dc0c3,Nymphalidae. 4 x Cethosia hypsea triocala. West Sumatra (1),https://www.ebay.com/itm/185060933827?hash=item2b167dc0c3:g:7JgAAOSwQm9hSEkY,https://i.ebayimg.com/thumbs/images/g/7JgAAOSwQm9hSEkY/s-l225.jpg,$12.01,Sep-29 02:00,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,6,1,"Sep 29, 2021

02:00:32 PDT"
item3b2e956069,"Butterfly - Nymphalidae- Cethosia hypsea hypsina (m) - Tapah, Malaysia (22-14)",https://www.ebay.com/itm/254184611945?hash=item3b2e956069:g:fEIAAOSwFGNWR-Sg,https://i.ebayimg.com/thumbs/images/g/fEIAAOSwFGNWR-Sg/s-l225.jpg,$7.98,Sep-20 21:33,"KUALA LUMPUR, Malaysia",tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,1,
item4b9ef19add,UNMOUNTED BUTTERFLY CETHOSIA HYPSEA 1 PAIR,https://www.ebay.com/itm/324789181149?hash=item4b9ef19add:g:~BMAAOSw1m1gyB0J,https://i.ebayimg.com/thumbs/images/g/~BMAAOSw1m1gyB0J/s-l225.jpg,$8.99,Sep-18 21:01,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Sep 18, 2021

21:01:13 PDT"
item1a8a79f98b,"LEPIDOPTERA, NYMPHALIDAE, HELICONIINAE, CETHOSIA HYPSEA from INDONESIA",https://www.ebay.com/itm/113992399243?hash=item1a8a79f98b:g:oeUAAOSwJfFd4AdS,https://i.ebayimg.com/thumbs/images/g/oeUAAOSwJfFd4AdS/s-l225.jpg,$3.92,Sep-14 21:50,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,4,
