id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54a95a263d,CETHOSIA PENTHESILEA DIFFUSA MALE FROM MOA ISL.,https://www.ebay.com/itm/363618510397?hash=item54a95a263d:g:HOYAAOSw9CRhjWmI,https://i.ebayimg.com/thumbs/images/g/HOYAAOSw9CRhjWmI/s-l225.jpg,$7.49,Nov-20 10:01,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Nov 20, 2021

10:01:11 PST"
item5707861d15,CETHOSIA PENTHESILEA EXSANGUIS FEMALE FROM SUMBA ISL.,https://www.ebay.com/itm/373788384533?hash=item5707861d15:g:B7wAAOSwqk1hjWml,https://i.ebayimg.com/thumbs/images/g/B7wAAOSwqk1hjWml/s-l225.jpg,$8.50,Nov-20 10:00,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Nov 20, 2021

10:00:23 PST"
item5707861fee,CETHOSIA PENTHESILEA EXSANGUIS MALE FROM SUMBA ISL.,https://www.ebay.com/itm/373788385262?hash=item5707861fee:g:GhwAAOSwVkhhjWnP,https://i.ebayimg.com/thumbs/images/g/GhwAAOSwVkhhjWnP/s-l225.jpg,$6.69,Nov-20 09:59,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Nov 20, 2021

09:59:19 PST"
item57078622bd,CETHOSIA PENTHESILEA PENTHESILEA FEMALE FROM JAVA ISL.,https://www.ebay.com/itm/373788385981?hash=item57078622bd:g:GnIAAOSwVkhhjWn1,https://i.ebayimg.com/thumbs/images/g/GnIAAOSwVkhhjWn1/s-l225.jpg,$3.80,Nov-20 09:58,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Nov 20, 2021

09:58:50 PST"
item5707862885,CETHOSIA PENTHESILEA PENTHESILEA MALE FROM JAVA ISL.,https://www.ebay.com/itm/373788387461?hash=item5707862885:g:9PAAAOSwICZhjWoP,https://i.ebayimg.com/thumbs/images/g/9PAAAOSwICZhjWoP/s-l225.jpg,$5.50,Nov-20 09:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Nov 20, 2021

09:57:24 PST"
item54a95a2ee4,CETHOSIA PENTHESILEA SSP. FEMALE FROM WETAR ISL.,https://www.ebay.com/itm/363618512612?hash=item54a95a2ee4:g:8A4AAOSwf-ZhjWot,https://i.ebayimg.com/thumbs/images/g/8A4AAOSwf-ZhjWot/s-l225.jpg,$6.50,Nov-20 09:56,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"Nov 20, 2021

09:56:11 PST"
item5707862cab,CETHOSIA PENTHESILEA SSP. MALE FROM WETAR ISL.,https://www.ebay.com/itm/373788388523?hash=item5707862cab:g:FjcAAOSwIIthjWpF,https://i.ebayimg.com/thumbs/images/g/FjcAAOSwIIthjWpF/s-l225.jpg,$5.50,Nov-20 09:55,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Nov 20, 2021

09:55:14 PST"
item54a700b15c,CETHOSIA PENTHESILEA EXSANGUIS MALE FROM SUMBA ISL.,https://www.ebay.com/itm/363579093340?hash=item54a700b15c:g:LocAAOSw7JthZw-5,https://i.ebayimg.com/thumbs/images/g/LocAAOSw7JthZw-5/s-l225.jpg,$12.50,Oct-23 10:40,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Oct 23, 2021

10:40:26 PDT"
item57058a87b0,CETHOSIA PENTHESILEA SSP. FEMALE FROM WETAR ISL.,https://www.ebay.com/itm/373755119536?hash=item57058a87b0:g:yb0AAOSwCyBhZw-O,https://i.ebayimg.com/thumbs/images/g/yb0AAOSwCyBhZw-O/s-l225.jpg,$8.50,Oct-23 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Oct 23, 2021

10:39:43 PDT"
item54a700ac5b,CETHOSIA PENTHESILEA PENTHESILEA FEMALE FROM JAVA ISL.,https://www.ebay.com/itm/363579092059?hash=item54a700ac5b:g:24oAAOSwiDxhZw9k,https://i.ebayimg.com/thumbs/images/g/24oAAOSwiDxhZw9k/s-l225.jpg,$10.50,Oct-23 10:38,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Oct 23, 2021

10:38:10 PDT"
item54a700a6e3,CETHOSIA PENTHESILEA PENTHESILEA MALE FROM JAVA ISL.,https://www.ebay.com/itm/363579090659?hash=item54a700a6e3:g:VIYAAOSwuUthZw8-,https://i.ebayimg.com/thumbs/images/g/VIYAAOSwuUthZw8-/s-l225.jpg,$11.00,Oct-23 10:37,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"Oct 23, 2021

10:37:15 PDT"
