id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2b1a52655e,Butterfly  x1 female Charaxes druceanus teita (Kenya),https://www.ebay.com/itm/185125201246?hash=item2b1a52655e:g:ny8AAOSwTRphdTd2,https://i.ebayimg.com/thumbs/images/g/ny8AAOSwTRphdTd2/s-l225.jpg,$5.98,Oct-31 12:54,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

12:54:33 PDT"
item28be5204ed,Butterfly  x1 male Charaxes druceanus teita (Kenya),https://www.ebay.com/itm/174991738093?hash=item28be5204ed:g:d4kAAOSwPhNhdTdB,https://i.ebayimg.com/thumbs/images/g/d4kAAOSwPhNhdTdB/s-l225.jpg,$5.25,Oct-31 12:52,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

12:52:13 PDT"
item28be5202c3,Butterfly  x1 female Charaxes druceanus katamayu (Kenya),https://www.ebay.com/itm/174991737539?hash=item28be5202c3:g:iL0AAOSw9plhdTb3,https://i.ebayimg.com/thumbs/images/g/iL0AAOSw9plhdTb3/s-l225.jpg,$7.31,Oct-31 12:50,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"Oct 31, 2021

12:50:07 PDT"
item2b1a52537a,Butterfly  x1 male Charaxes druceanus katamayu (Kenya),https://www.ebay.com/itm/185125196666?hash=item2b1a52537a:g:iCsAAOSw9plhdTa~,https://i.ebayimg.com/thumbs/images/g/iCsAAOSw9plhdTa~/s-l225.jpg,$5.25,Oct-31 12:48,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

12:48:02 PDT"
item4dcf54b62a,Butterfly - 1 x mounted female SCARCE Charaxes druceanus teita (Good A1-),https://www.ebay.com/itm/334190917162?hash=item4dcf54b62a:g:psIAAOSwPKthctow,https://i.ebayimg.com/thumbs/images/g/psIAAOSwPKthctow/s-l225.jpg,$8.64,Oct-31 12:27,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

12:27:23 PDT"
item4dcf54b42d,Butterfly - 1 x mounted male SCARCE Charaxes druceanus teita (Good A1-),https://www.ebay.com/itm/334190916653?hash=item4dcf54b42d:g:e38AAOSwg0thctnn,https://i.ebayimg.com/thumbs/images/g/e38AAOSwg0thctnn/s-l225.jpg,$7.31,Oct-31 12:26,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,2,1,"Oct 31, 2021

12:26:01 PDT"
item1f2d7469b3,"+ ENTOMOLOGY, BUTTERFLY: CHARAXES DRUCEANUS SSP ? HISTORICAL PAIR EX 1914 ! +++",https://www.ebay.com/itm/133906590131?hash=item1f2d7469b3:g:cC8AAOSwEpxhbGR7,https://i.ebayimg.com/thumbs/images/g/cC8AAOSwEpxhbGR7/s-l225.jpg,$23.50,Oct-24 10:59,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,13,1,"Oct 24, 2021

10:59:44 PDT"
item448c0a0ec9,Butterfly : RARE Charaxes druceanus obscura from Burundi,https://www.ebay.com/itm/294407245513?hash=item448c0a0ec9:g:X3MAAOSw94NgABWZ,https://i.ebayimg.com/thumbs/images/g/X3MAAOSw94NgABWZ/s-l225.jpg,$16.90,Oct-20 18:52,"Montigny - le - Tilleul, Belgium",africanentomology,https://www.ebay.com/usr/africanentomology?_trksid=p2047675.l2559,Instant,0,1,
item4dcdf62b15,Butterfly - 1 x mounted female SCARCE Charaxes druceanus teita (Good A1-),https://www.ebay.com/itm/334167943957?hash=item4dcdf62b15:g:CmsAAOSwiC5hWIYi,https://i.ebayimg.com/thumbs/images/g/CmsAAOSwiC5hWIYi/s-l225.jpg,$22.59,Oct-10 12:18,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,4,1,"Oct 10, 2021

12:18:54 PDT"
item4dcdf62c8a,Butterfly - 1 x mounted male SCARCE Charaxes druceanus teita (Good A1-),https://www.ebay.com/itm/334167944330?hash=item4dcdf62c8a:g:1MMAAOSwrqRhWIZ0,https://i.ebayimg.com/thumbs/images/g/1MMAAOSwrqRhWIZ0/s-l225.jpg,$6.25,Oct-10 12:16,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,2,1,"Oct 10, 2021

12:16:52 PDT"
