id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item5de6aac86e,"Butterflie Charaxes smaragdalis toro SELDOM OFFER from Kibale forest, Uganda",https://www.ebay.com/itm/403301910638?hash=item5de6aac86e:g:RdwAAOSw56RhlRy7,https://i.ebayimg.com/thumbs/images/g/RdwAAOSw56RhlRy7/s-l225.jpg,$29.90,Nov-28 13:13,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,1,1,"Nov 28, 2021

13:13:53 PST"
item4494a9b0e9,Real Dried Insect/Butterfly/Moth Non set B7612 Blue Charaxes smaragdalis Africa,https://www.ebay.com/itm/294551924969?hash=item4494a9b0e9:g:TKgAAOSw-1VhJZKq,https://i.ebayimg.com/thumbs/images/g/TKgAAOSw-1VhJZKq/s-l225.jpg,$3.88,Nov-25 01:15,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,7,
item3b4a798aba,Western Blue Charaxes Butterfly Charaxes smaragdalis Male Folded FAST FROM USA,https://www.ebay.com/itm/254652549818?hash=item3b4a798aba:g:69YAAOSw0LldzsVy,https://i.ebayimg.com/thumbs/images/g/69YAAOSw0LldzsVy/s-l225.jpg,$5.66,Nov-24 16:23,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,69,
item3daadec941,Lot of 10 Western Blue Charaxes Butterfly Charaxes smaragdalis Male Folded USA,https://www.ebay.com/itm/264859732289?hash=item3daadec941:g:69YAAOSw0LldzsVy,https://i.ebayimg.com/thumbs/images/g/69YAAOSw0LldzsVy/s-l225.jpg,$51.99,Nov-24 06:50,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,4,
item592cca9190,Charaxes smaragdalis ONE REAL BUTTERFLY BLUE RCA AFRICA,https://www.ebay.com/itm/383003562384?hash=item592cca9190:g:e6MAAOSwPqRdAZcL,https://i.ebayimg.com/thumbs/images/g/e6MAAOSwPqRdAZcL/s-l225.jpg,$6.00,Nov-21 14:05,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,19,
item263c87b5c2,CHARAXES SMARAGDALIS,https://www.ebay.com/itm/164224284098?hash=item263c87b5c2:g:80gAAOSw4Ste0Xji,https://i.ebayimg.com/thumbs/images/g/80gAAOSw4Ste0Xji/s-l225.jpg,$12.96,Nov-08 12:12,"Worksop, United Kingdom",leclaire1985,https://www.ebay.com/usr/leclaire1985?_trksid=p2047675.l2559,Instant,0,3,
item4488e7c464,Real Insect/Butterfly/Moth Set Spread B7662 Rare Large Blue Charaxes smaragdalis,https://www.ebay.com/itm/294354666596?hash=item4488e7c464:g:8VwAAOSw2ghhJCtN,https://i.ebayimg.com/thumbs/images/g/8VwAAOSw2ghhJCtN/s-l225.jpg,$9.14,Nov-05 03:49,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item2f4e0a0510,Western blue charaxe (Charaxes smaragdalis) MALE REAL Unmounted butterfly,https://www.ebay.com/itm/203172742416?hash=item2f4e0a0510:g:VWIAAOSwN4ZfqCnL,https://i.ebayimg.com/thumbs/images/g/VWIAAOSwN4ZfqCnL/s-l225.jpg,$5.40,Oct-18 01:49,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,23,
item23fab8b2dd,"Charaxes smaragdalis Butler, 1865 male CAR 76mm98a",https://www.ebay.com/itm/154530263773?hash=item23fab8b2dd:g:55EAAOSw40BgitlQ,https://i.ebayimg.com/thumbs/images/g/55EAAOSw40BgitlQ/s-l225.jpg,$11.21,Oct-15 15:09,"Gotelp, Poland",owad261,https://www.ebay.com/usr/owad261?_trksid=p2047675.l2559,Instant,0,1,
item5de078d1d5,"Butterflie Charaxes smaragdalis toro VERY RARE  from Kibale forest, Uganda",https://www.ebay.com/itm/403197972949?hash=item5de078d1d5:g:JAQAAOSwNPBhVJAB,https://i.ebayimg.com/thumbs/images/g/JAQAAOSwNPBhVJAB/s-l225.jpg,$8.50,Oct-10 14:20,"Madrid, Spain",spainbutterflies,https://www.ebay.com/usr/spainbutterflies?_trksid=p2047675.l2559,Auction,6,1,"Oct 10, 2021

14:20:01 PDT"
