id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1ac4bd0d9d,Pure Herbs Camphor 100% Pure & Natural Cinnamomum camphora Essential Oil,https://www.ebay.com/itm/114969873821?hash=item1ac4bd0d9d:g:MaMAAOSwTRZhMxrE,https://i.ebayimg.com/thumbs/images/g/MaMAAOSwTRZhMxrE/s-l225.jpg,$6.17 to $46.93,Nov-30 01:15,"DELHI, DELHI, India",glamourhub,https://www.ebay.com/usr/glamourhub?_trksid=p2047675.l2559,Instant,0,7,
item4b98ac1c8e,Camphor Tree   Cinnamomum camphora   10 Seeds   (Free US Shipping),https://www.ebay.com/itm/324683963534?hash=item4b98ac1c8e:g:kxgAAOSwVx5bykh2,https://i.ebayimg.com/thumbs/images/g/kxgAAOSwVx5bykh2/s-l225.jpg,$8.90,Nov-28 20:00,"Gainesville, Florida, United States",gottliebraphael1,https://www.ebay.com/usr/gottliebraphael1?_trksid=p2047675.l2559,Instant,0,1,
item1a9429331f,Herbasense Camphor Edible Crystals - Cinnamomum camphora - Kachha or Pachha Karp,https://www.ebay.com/itm/114154877727?hash=item1a9429331f:g:-foAAOSwe-RedPjZ,https://i.ebayimg.com/thumbs/images/g/-foAAOSwe-RedPjZ/s-l225.jpg,$6.54 to $98.60,Nov-27 06:55,"Uxbridge Middlesex, United Kingdom",msn26,https://www.ebay.com/usr/msn26?_trksid=p2047675.l2559,Instant,0,95,
item5980fb85ab,Pure Herbs Camphor 100% Pure & Natural Cinnamomum camphora Essential Oil,https://www.ebay.com/itm/384416056747?hash=item5980fb85ab:g:s9gAAOSwNwhhUfdQ,https://i.ebayimg.com/thumbs/images/g/s9gAAOSwNwhhUfdQ/s-l225.jpg,$6.50 to $49.40,Nov-25 21:14,"DELHI, DELHI, India",24karat2019,https://www.ebay.com/usr/24karat2019?_trksid=p2047675.l2559,Instant,0,1,
item5d8ce94f2c,CAMPHOR LAUREL LEAVES 10g Cinnamomum Camphora MAGICKAL HERB Wicca Witch Pagan,https://www.ebay.com/itm/401796058924?hash=item5d8ce94f2c:g:g3sAAOSwo6hdEsrl,https://i.ebayimg.com/thumbs/images/g/g3sAAOSwo6hdEsrl/s-l225.jpg,$5.69,Nov-25 17:34,"Hunter Valley, NSW, Australia",aearthwise,https://www.ebay.com/usr/aearthwise?_trksid=p2047675.l2559,Instant,0,18,
item46d14dc9f2,Pure Herbs White Camphor 100% Pure & Natural Cinnamomum Camphora Essential Oil,https://www.ebay.com/itm/304159246834?hash=item46d14dc9f2:g:a14AAOSwpSthTflh,https://i.ebayimg.com/thumbs/images/g/a14AAOSwpSthTflh/s-l225.jpg,$6.47 to $63.65,Nov-23 04:02,"DELHI, India",essential2018,https://www.ebay.com/usr/essential2018?_trksid=p2047675.l2559,Instant,0,1,
item364b9e1ad4,"Cinnamomum Camphora Tree 10 Seeds Camphor Laurel, Medicinal Camphorwood",https://www.ebay.com/itm/233196886740?hash=item364b9e1ad4:g:bfcAAOSw9J9csZhZ,https://i.ebayimg.com/thumbs/images/g/bfcAAOSw9J9csZhZ/s-l225.jpg,$2.99,Nov-22 16:45,"Venice, Florida, United States",theplantattraction,https://www.ebay.com/usr/theplantattraction?_trksid=p2047675.l2559,Instant,0,9,
item368588570c,Cinnamomum camphora 25 Seeds - Camphor Tree,https://www.ebay.com/itm/234168538892?hash=item368588570c:g:2f8AAOSwKuxhMD3U,https://i.ebayimg.com/thumbs/images/g/2f8AAOSwKuxhMD3U/s-l225.jpg,$5.90,Nov-21 03:16,"Little Rock, Arkansas, United States",hunwil-61,https://www.ebay.com/usr/hunwil-61?_trksid=p2047675.l2559,Instant,0,4,
item4b9999de45,Camphor incense resin powder 300g-2kg - Cinnamomum camphora,https://www.ebay.com/itm/324699545157?hash=item4b9999de45:g:urIAAOSwzW5g3rU7,https://i.ebayimg.com/thumbs/images/g/urIAAOSwzW5g3rU7/s-l225.jpg,$31.95 to $154.27,Nov-17 10:54,"Patras, Greece",youherbit_greece,https://www.ebay.com/usr/youherbit_greece?_trksid=p2047675.l2559,Instant,0,12,
item48f14a6dc5,1 PLANT Cinnamomum camphora !! canfora CAMPHOR !! big tree evergreen**/PA,https://www.ebay.com/itm/313285832133?hash=item48f14a6dc5:g:PbgAAOSwxu5ZKTgz,https://i.ebayimg.com/thumbs/images/g/PbgAAOSwxu5ZKTgz/s-l225.jpg,$41.88,Nov-15 13:45,"Napoli, NA, Italy",botanical-archive,https://www.ebay.com/usr/botanical-archive?_trksid=p2047675.l2559,Instant,0,2,
