id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3ffe343582,"Organic Hawthorn Berry, Whole (Crataegus monogyna)",https://www.ebay.com/itm/274847774082?hash=item3ffe343582:g:iMEAAOSwBXJg2Hwf,https://i.ebayimg.com/thumbs/images/g/iMEAAOSwBXJg2Hwf/s-l225.jpg,$6.95 to $25.95,Nov-29 15:31,"Land O' Lakes, Florida, United States",grassrootsherbsupplyllc,https://www.ebay.com/usr/grassrootsherbsupplyllc?_trksid=p2047675.l2559,Instant,0,12,
item4b88ad0d09,Hawthorn Berry Whole Dried Bulk 1 lb to 5 lb ~ Crataegus Monogyna ~ 100% Premium,https://www.ebay.com/itm/324415589641?hash=item4b88ad0d09:g:xXgAAOSwUZdfFI3D,https://i.ebayimg.com/thumbs/images/g/xXgAAOSwUZdfFI3D/s-l225.jpg,$4.95 to $75.95,Nov-28 13:17,"CA, United States",selldiystore,https://www.ebay.com/usr/selldiystore?_trksid=p2047675.l2559,Instant,0,61,
item4b3e3da251,Greek Hawthorn Leaves & Flowers Loose Herbal Tea 300g-2kg - Crataegus Monogyna,https://www.ebay.com/itm/323166773841?epid=1656991609&hash=item4b3e3da251:g:tXYAAOSwIxxatjhh,https://i.ebayimg.com/thumbs/images/g/tXYAAOSwIxxatjhh/s-l225.jpg,$15.89 to $42.68,Nov-27 15:37,"Internet only, Greece",youherbit_greece,https://www.ebay.com/usr/youherbit_greece?_trksid=p2047675.l2559,Instant,0,38,
item422d763b94,"Single Seed English Hawthorn, Crataegus monogyna, Tree Seeds (Showy, Hardy)",https://www.ebay.com/itm/284230564756?hash=item422d763b94:g:RxMAAOxyW1NRFP3l,https://i.ebayimg.com/thumbs/images/g/RxMAAOxyW1NRFP3l/s-l225.jpg,$2.00 to $42.00,Nov-27 07:18,"Elko, Nevada, United States",treeseedsplus,https://www.ebay.com/usr/treeseedsplus?_trksid=p2047675.l2559,Instant,0,26,
item342ac235fb,"Hawthorn Berry, whole (Crataegus monogyna) - 2 oz. Dried",https://www.ebay.com/itm/224055670267?hash=item342ac235fb:g:IL0AAOSwUGlhbzZX,https://i.ebayimg.com/thumbs/images/g/IL0AAOSwUGlhbzZX/s-l225.jpg,$7.00,Nov-24 17:47,"Idaho Falls, Idaho, United States",silveroak83402,https://www.ebay.com/usr/silveroak83402?_trksid=p2047675.l2559,Instant,0,35,
item422d0be9fb,Hawthorn Leaves & Flowers Tea Premium Organic Dried Loose Tea Crataegus monogyna,https://www.ebay.com/itm/284223597051?hash=item422d0be9fb:g:Y-cAAOSwlztgUpjH,https://i.ebayimg.com/thumbs/images/g/Y-cAAOSwlztgUpjH/s-l225.jpg,$6.10 to $16.87,Nov-23 07:42,"European Union (EU), Bulgaria",organictas,https://www.ebay.com/usr/organictas?_trksid=p2047675.l2559,Instant,0,19,
item4234897523,"Organic Hawthorn Leaf & Flower, c/s (Crataegus monogyna)",https://www.ebay.com/itm/284349265187?hash=item4234897523:g:ecEAAOSw-ixg2HyF,https://i.ebayimg.com/thumbs/images/g/ecEAAOSw-ixg2HyF/s-l225.jpg,$7.95 to $31.95,Nov-21 08:20,"Land O' Lakes, Florida, United States",grassrootsherbsupplyllc,https://www.ebay.com/usr/grassrootsherbsupplyllc?_trksid=p2047675.l2559,Instant,0,10,
item3b66adac1e,Crataegus monogyna Forest Hawthorn Seeds Healthy Forest Fruit,https://www.ebay.com/itm/255125728286?hash=item3b66adac1e:g:6TAAAOSwsXRhN5bY,https://i.ebayimg.com/thumbs/images/g/6TAAAOSwsXRhN5bY/s-l225.jpg,$4.99,Nov-18 06:31,"Zenica, Bosnia and Herzegovina",mercury_trade,https://www.ebay.com/usr/mercury_trade?_trksid=p2047675.l2559,Instant,0,6,
item283947f2da,400 Gram HAWTHORN BERRIES POWDER -  Crataegus monogyna - FREE POST - Quality,https://www.ebay.com/itm/172759708378?hash=item283947f2da:g:MTIAAOSwbtVZWFiU,https://i.ebayimg.com/thumbs/images/g/MTIAAOSwbtVZWFiU/s-l225.jpg,$18.49,Nov-13 21:38,"Clyde, VIC, Australia",abonline2017,https://www.ebay.com/usr/abonline2017?_trksid=p2047675.l2559,Instant,0,55,
item283947f3d7,25 Gram HAWTHORN BERRIES POWDER -  Crataegus monogyna - FREE POST - Quality,https://www.ebay.com/itm/172759708631?hash=item283947f3d7:g:MTIAAOSwbtVZWFiU,https://i.ebayimg.com/thumbs/images/g/MTIAAOSwbtVZWFiU/s-l225.jpg,$3.55,Nov-13 16:26,"Clyde, VIC, Australia",abonline2017,https://www.ebay.com/usr/abonline2017?_trksid=p2047675.l2559,Instant,0,19,
item23ccca2406,Hawthorn Berries (Crataegus monogyna) dried fruits herbl tea (loose) 3 oz/90gr,https://www.ebay.com/itm/153759654918?hash=item23ccca2406:g:5ogAAOSwxD1eVuyL,https://i.ebayimg.com/thumbs/images/g/5ogAAOSwxD1eVuyL/s-l225.jpg,$9.80,Nov-13 07:07,"Miami, Florida, United States",teliamedusa,https://www.ebay.com/usr/teliamedusa?_trksid=p2047675.l2559,Instant,0,16,
item283947f174,200 Gram HAWTHORN BERRIES POWDER -  Crataegus monogyna - FREE POST - Quality,https://www.ebay.com/itm/172759708020?hash=item283947f174:g:MTIAAOSwbtVZWFiU,https://i.ebayimg.com/thumbs/images/g/MTIAAOSwbtVZWFiU/s-l225.jpg,$10.32,Nov-12 01:00,"Clyde, VIC, Australia",abonline2017,https://www.ebay.com/usr/abonline2017?_trksid=p2047675.l2559,Instant,0,91,
item1a7a8ca5cd,Gluten Free Hawthorn Berry Tincture Extract Organic Crataegus monogyna,https://www.ebay.com/itm/113725187533?hash=item1a7a8ca5cd:g:zuMAAOSwLN5Wka6R,https://i.ebayimg.com/thumbs/images/g/zuMAAOSwLN5Wka6R/s-l225.jpg,$11.99 to $33.99,Nov-08 13:58,"Winterport, Maine, United States",ecstaticearthessentials,https://www.ebay.com/usr/ecstaticearthessentials?_trksid=p2047675.l2559,Instant,0,2,
item3ac35e557d,Dried Herbs: HAWTHORN BERRY - crushed (Crataegus monogyna)    50g,https://www.ebay.com/itm/252385842557?hash=item3ac35e557d:g:SEYAAOSwl-FXMtiZ,https://i.ebayimg.com/thumbs/images/g/SEYAAOSwl-FXMtiZ/s-l225.jpg,$5.27,Nov-06 08:54,"Brisbane, QLD, Australia",jon6362,https://www.ebay.com/usr/jon6362?_trksid=p2047675.l2559,Instant,0,13,
item26713c6fa2,Plant - Crataegus monogyna (Hawthorn),https://www.ebay.com/itm/165108543394?hash=item26713c6fa2:g:qIIAAOSwBJphW2gL,https://i.ebayimg.com/thumbs/images/g/qIIAAOSwBJphW2gL/s-l225.jpg,$21.19,Oct-30 09:40,"Dominguiso, Portugal",rustydiorama1950,https://www.ebay.com/usr/rustydiorama1950?_trksid=p2047675.l2559,Instant,0,3,
item3d61a39540,Dried Herbs: HAWTHORN BERRY  Crataegus monogyna   200g (Pouch),https://www.ebay.com/itm/263631115584?hash=item3d61a39540:g:NgUAAOSwZQxW4Tw3,https://i.ebayimg.com/thumbs/images/g/NgUAAOSwZQxW4Tw3/s-l225.jpg,$15.12,Oct-25 21:57,"Brisbane, QLD, Australia",jon6362,https://www.ebay.com/usr/jon6362?_trksid=p2047675.l2559,Instant,0,2,
item3a64d6a677,Dried Herbs: HAWTHORN BERRY  POWDER Crataegus monogyna    50g,https://www.ebay.com/itm/250799892087?hash=item3a64d6a677:g:sAoAAMXQAEFSHCuB,https://i.ebayimg.com/thumbs/images/g/sAoAAMXQAEFSHCuB/s-l225.jpg,$6.08,Oct-18 07:23,"Victoria Point, QLD, Australia",jon6362,https://www.ebay.com/usr/jon6362?_trksid=p2047675.l2559,Instant,0,64,
item5980853063,"Hawthorn: Crataegus Monogyna (In a Nutshell) (In a Nutshell: Healing Herbs), Dav",https://www.ebay.com/itm/384408301667?epid=90447072&hash=item5980853063:g:ppkAAOSwGwFhS3PG,https://i.ebayimg.com/thumbs/images/g/ppkAAOSwGwFhS3PG/s-l225.jpg,$2.91,Oct-14 14:11,Unknown,Unknown,Unknown,Instant,0,1,
item218b929c37,"HAWTHORN Flower Dried ORGANIC Bulk Herb,Crataegus monogyna Flos",https://www.ebay.com/itm/144075562039?hash=item218b929c37:g:~SIAAOSwMP1gx3q2,https://i.ebayimg.com/thumbs/images/g/~SIAAOSwMP1gx3q2/s-l225.jpg,$6.14 to $81.66,Oct-14 14:11,"Burgas, Bulgaria",stark0457,https://www.ebay.com/usr/stark0457?_trksid=p2047675.l2559,Instant,0,2,
item4b88b051c8,Hawthorn Berries Whole Dried 25g-200g - Crataegus monogyna,https://www.ebay.com/itm/324415803848?hash=item4b88b051c8:g:CIIAAOSwkm1fcxx4,https://i.ebayimg.com/thumbs/images/g/CIIAAOSwkm1fcxx4/s-l225.jpg,$7.78 to $16.14,Oct-10 08:55,"Patras, Greece",youherbit_greece,https://www.ebay.com/usr/youherbit_greece?_trksid=p2047675.l2559,Instant,0,2,
item3443aec68c,Hawthorn leaves greek & grass flowers 300g-2kg - Crataegus monogyna,https://www.ebay.com/itm/224473826956?hash=item3443aec68c:g:57wAAOSwt1xgrNEN,https://i.ebayimg.com/thumbs/images/g/57wAAOSwt1xgrNEN/s-l225.jpg,$14.82 to $39.78,Oct-06 01:55,"Patras, Greece",youherbit_greece,https://www.ebay.com/usr/youherbit_greece?_trksid=p2047675.l2559,Instant,0,2,
item5900f269e1,"Hawthorn: Crataegus Monogyna (In a Nutshel... by Davies, Jill Rosemar 1862045577",https://www.ebay.com/itm/382267976161?epid=934222&hash=item5900f269e1:g:xKwAAOSwE6ReocmA,https://i.ebayimg.com/thumbs/images/g/xKwAAOSwE6ReocmA/s-l225.jpg,$6.88,Oct-02 23:48,"Florida, United States",worldofbooksusa,https://www.ebay.com/usr/worldofbooksusa?_trksid=p2047675.l2559,Instant,0,3,
