id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item44963163a2,Real Dried Insect/Butterfly/Moth Non set B7683 Colourful Danaus chrysippus x 1,https://www.ebay.com/itm/294577595298?hash=item44963163a2:g:HOQAAOSwvgdhMtFO,https://i.ebayimg.com/thumbs/images/g/HOQAAOSwvgdhMtFO/s-l225.jpg,$3.45,Nov-27 23:03,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,3,
item2f6dce3abc,2 Real MOUNTED BUTTERFLIES Framed Under Glass Taxidermy Danaus Chrysippus,https://www.ebay.com/itm/203705694908?hash=item2f6dce3abc:g:75QAAOSwPuZhlwyM,https://i.ebayimg.com/thumbs/images/g/75QAAOSwPuZhlwyM/s-l225.jpg,$19.99,Nov-25 07:44,"Dalton, Georgia, United States",dss113,https://www.ebay.com/usr/dss113?_trksid=p2047675.l2559,Instant,0,1,
item46cfb688ae,Real Insect/Butterfly/Moth Set Spread B7693 Colourful Danaus chrysippus,https://www.ebay.com/itm/304132556974?hash=item46cfb688ae:g:BeIAAOSw~Z9hMs9H,https://i.ebayimg.com/thumbs/images/g/BeIAAOSw~Z9hMs9H/s-l225.jpg,$7.01,Nov-11 21:43,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item4d8e9cd00d,Danaus chrysippus A1 Papered Specimen Ex Philippines,https://www.ebay.com/itm/333105123341?hash=item4d8e9cd00d:g:6zcAAOSwNlldvI9N,https://i.ebayimg.com/thumbs/images/g/6zcAAOSwNlldvI9N/s-l225.jpg,$1.46,Nov-07 11:44,"Burgess Hill , United Kingdom",the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,108,
item2b1a4fc40e,Butterfly  x1 male Danaus chrysippus (Ghana)   form alcippus,https://www.ebay.com/itm/185125028878?hash=item2b1a4fc40e:g:3soAAOSw3D1hdRMr,https://i.ebayimg.com/thumbs/images/g/3soAAOSw3D1hdRMr/s-l225.jpg,$3.59,Oct-31 11:24,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"Oct 31, 2021

11:24:24 PDT"
item28be4fe48d,Butterfly  x1 male Danaus chrysippus (Kenya)   form dorippus,https://www.ebay.com/itm/174991598733?hash=item28be4fe48d:g:rAIAAOSwlPBhdRL5,https://i.ebayimg.com/thumbs/images/g/rAIAAOSwlPBhdRL5/s-l225.jpg,$3.32,Oct-31 11:22,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

11:22:04 PDT"
item28be4fe1a2,Butterfly  x1 female Danaus chrysippus (Kenya)   form dorippus,https://www.ebay.com/itm/174991597986?hash=item28be4fe1a2:g:PkcAAOSwQuJhdRLA,https://i.ebayimg.com/thumbs/images/g/PkcAAOSwQuJhdRLA/s-l225.jpg,$3.32,Oct-31 11:20,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Oct 31, 2021

11:20:19 PDT"
item46cf552199,Real Dried Insect/Butterfly/Moth Non set B7683 Colourful Danaus chrysippus x 1,https://www.ebay.com/itm/304126173593?hash=item46cf552199:g:HOQAAOSwvgdhMtFO,https://i.ebayimg.com/thumbs/images/g/HOQAAOSwvgdhMtFO/s-l225.jpg,$3.45,Oct-27 20:54,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,19,
item2b19479a09,Danaidae. 12 x Danaus chrysippus bataviana. Bali Is (9),https://www.ebay.com/itm/185107716617?hash=item2b19479a09:g:-RwAAOSwi4xhaSn1,https://i.ebayimg.com/thumbs/images/g/-RwAAOSwi4xhaSn1/s-l225.jpg,$7.50,Oct-24 02:40,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,2,1,"Oct 24, 2021

02:40:09 PDT"
item5959b72ade,Danaus chrysippus ONE REAL BUTTERFLY MONARCH MIMIC WINGS CLOSED AFRICA,https://www.ebay.com/itm/383757265630?hash=item5959b72ade:g:GksAAOSw6a5ff5V9,https://i.ebayimg.com/thumbs/images/g/GksAAOSw6a5ff5V9/s-l225.jpg,$6.00,Oct-22 12:14,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,15,
