id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item34512a8146,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224700039494?hash=item34512a8146:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.45,Nov-29 18:31,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item34512a8371,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224700040049?hash=item34512a8371:g:esMAAOSwxe1gVvJD,https://i.ebayimg.com/thumbs/images/g/esMAAOSwxe1gVvJD/s-l225.jpg,$23.45,Nov-29 18:30,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item46c56bf249,Real Butterfly/Insect/Moth Non Set B7221 Large Blue/Red Graphium milon,https://www.ebay.com/itm/303959896649?hash=item46c56bf249:g:7Z0AAOSwIr5gej~c,https://i.ebayimg.com/thumbs/images/g/7Z0AAOSwIr5gej~c/s-l225.jpg,$3.45,Nov-28 16:39,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,43,
item1d0c28d858,Milons Swallowtail Butterfly in Box Frame (Graphium milon),https://www.ebay.com/itm/124758055000?hash=item1d0c28d858:g:~yAAAOSwYK1gujp1,https://i.ebayimg.com/thumbs/images/g/~yAAAOSwYK1gujp1/s-l225.jpg,$46.52,Nov-20 07:29,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,2,
item344fdcb483,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224678163587?hash=item344fdcb483:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.45,Nov-18 16:16,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item344ef006dc,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224662652636?hash=item344ef006dc:g:esMAAOSwxe1gVvJD,https://i.ebayimg.com/thumbs/images/g/esMAAOSwxe1gVvJD/s-l225.jpg,$23.45,Nov-15 16:21,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item3ff1add78f,Milon blue Swallowtail butterfly Graphium milon SET x1 A- Specimen NOT PERFECT.,https://www.ebay.com/itm/274637641615?hash=item3ff1add78f:g:a6wAAOSw859gW1me,https://i.ebayimg.com/thumbs/images/g/a6wAAOSw859gW1me/s-l225.jpg,$9.91,Nov-10 06:24,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,16,
item344f2dbaf7,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224666696439?hash=item344f2dbaf7:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.45,Nov-04 04:21,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item46ce55b477,Real Insect/Butterfly/Moth Set Spread B7604 Large Bright Blue Graphium milon,https://www.ebay.com/itm/304109433975?hash=item46ce55b477:g:60MAAOSwILVhG1dD,https://i.ebayimg.com/thumbs/images/g/60MAAOSwILVhG1dD/s-l225.jpg,$8.15,Oct-27 17:19,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item4db2249c59,Blue winged butterfly real specimen Graphium milon BAGM,https://www.ebay.com/itm/333701225561?hash=item4db2249c59:g:v3QAAOSwIjxfRwAV,https://i.ebayimg.com/thumbs/images/g/v3QAAOSwIjxfRwAV/s-l225.jpg,$56.93,Oct-17 19:11,"Robina, Queensland, Australia",bitsandbugs,https://www.ebay.com/usr/bitsandbugs?_trksid=p2047675.l2559,Instant,0,1,
item2b1698c903,Papilionidae. 12 x Graphium milon. Central Sulawesi. Luwuk,https://www.ebay.com/itm/185062705411?hash=item2b1698c903:g:GHgAAOSwLP1hDkER,https://i.ebayimg.com/thumbs/images/g/GHgAAOSwLP1hDkER/s-l225.jpg,$10.00,Oct-04 19:20,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,1,
item344b075f8a,"Real Blue Bottle Butterfly, Graphium milon anthedon Insect Taxidermy",https://www.ebay.com/itm/224597073802?hash=item344b075f8a:g:jtYAAOSwYoNgXB6u,https://i.ebayimg.com/thumbs/images/g/jtYAAOSwYoNgXB6u/s-l225.jpg,$23.45,Sep-29 19:24,"CHELTENHAM, Australia",paulydamerchant,https://www.ebay.com/usr/paulydamerchant?_trksid=p2047675.l2559,Instant,0,1,
item46ce55df39,Real Insect/Butterfly/Moth Set Spread B7608 Large Bright Blue Graphium milon,https://www.ebay.com/itm/304109444921?hash=item46ce55df39:g:anIAAOSwUG9hG1pf,https://i.ebayimg.com/thumbs/images/g/anIAAOSwUG9hG1pf/s-l225.jpg,$8.15,Sep-24 18:26,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item218b2ceb99,Real Butterfly Blue Graphium Milon Mount Frame Shadow Box Taxidermy Insect RARE,https://www.ebay.com/itm/144068897689?hash=item218b2ceb99:g:Oo4AAOSw5t5gv8aj,https://i.ebayimg.com/thumbs/images/g/Oo4AAOSw5t5gv8aj/s-l225.jpg,$49.95,Sep-10 09:09,"Las Vegas, Nevada, United States",googletons,https://www.ebay.com/usr/googletons?_trksid=p2047675.l2559,Instant,0,1,
