id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item424004ae18,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284541890072?hash=item424004ae18:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Nov-29 14:38,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Nov 29, 2021

14:38:50 PST"
item54a9bc55a5,"MARPESIA HARMONIA SSP. FROM VERACRUZ, MEXICO",https://www.ebay.com/itm/363624945061?hash=item54a9bc55a5:g:YyEAAOSwe4lhlPyB,https://i.ebayimg.com/thumbs/images/g/YyEAAOSwe4lhlPyB/s-l225.jpg,$1.50,Nov-27 10:28,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Nov 27, 2021

10:28:33 PST"
item2d01dfd9cd,Marpesia harmonia Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/193304975821?hash=item2d01dfd9cd:g:3ZgAAOSwjzleO3Z~,https://i.ebayimg.com/thumbs/images/g/3ZgAAOSwjzleO3Z~/s-l225.jpg,$4.25,Nov-13 22:58,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,4,
item54a78e23e1,"MARPESIA HARMONIA SSP. FROM VERACRUZ, MEXICO",https://www.ebay.com/itm/363588363233?hash=item54a78e23e1:g:fNMAAOSwcKlhcFLo,https://i.ebayimg.com/thumbs/images/g/fNMAAOSwcKlhcFLo/s-l225.jpg,$1.25,Oct-30 10:46,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Oct 30, 2021

10:46:14 PDT"
item423d689ae3,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284498107107?hash=item423d689ae3:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Oct-26 15:09,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Oct 26, 2021

15:09:27 PDT"
item423ceed1aa,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284490125738?hash=item423ceed1aa:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Oct-20 15:46,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Oct 20, 2021

15:46:43 PDT"
item423be4ac44,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284472683588?hash=item423be4ac44:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.25,Oct-06 15:56,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"Oct 06, 2021

15:56:08 PDT"
item423b782a41,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284465572417?hash=item423b782a41:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Sep-30 17:30,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Sep 30, 2021

17:30:49 PDT"
item423abaf1b6,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284453171638?hash=item423abaf1b6:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Sep-25 15:26,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Sep 25, 2021

15:26:07 PDT"
item423a33ed1d,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284444323101?hash=item423a33ed1d:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Sep-13 15:24,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Sep 13, 2021

15:24:02 PDT"
item42399cad9a,"marpesia harmonia PAIR,seldom offered",https://www.ebay.com/itm/284434410906?hash=item42399cad9a:g:Xe0AAOSwRZRgibLX,https://i.ebayimg.com/thumbs/images/g/Xe0AAOSwRZRgibLX/s-l225.jpg,$3.00,Sep-06 15:32,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Sep 06, 2021

15:32:57 PDT"
