id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item33f4e802f5,Morpho aurora ONE REAL BUTTERFLY BLUE PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/223152177909?hash=item33f4e802f5:g:DdwAAOSwnktc2j~o,https://i.ebayimg.com/thumbs/images/g/DdwAAOSwnktc2j~o/s-l225.jpg,$22.00,Nov-29 09:17,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,61,
item1f2f89c4f6,"+ ENTOMOLOGY, BUTTERFLY: MORPHO AURORA AURORA MALE BOLIVIA +++ RARE",https://www.ebay.com/itm/133941544182?hash=item1f2f89c4f6:g:~f8AAOSw3WNhmo6x,https://i.ebayimg.com/thumbs/images/g/~f8AAOSw3WNhmo6x/s-l225.jpg,$13.00,Nov-28 10:23,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,6,1,"Nov 28, 2021

10:23:58 PST"
item344541e6de,Morpho aurora blue butterfly Peru framed,https://www.ebay.com/itm/224500246238?hash=item344541e6de:g:-SMAAOSwBv1gyqqI,https://i.ebayimg.com/thumbs/images/g/-SMAAOSwBv1gyqqI/s-l225.jpg,$42.00,Nov-25 09:56,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,1,
item34509a64e9,MORPHO AURORA LAMASI FEMALE | IQUITOS PERU | AS PICTURED  | UK21--598 | RARE,https://www.ebay.com/itm/224690595049?hash=item34509a64e9:g:j7sAAOSw8GZhfhY7,https://i.ebayimg.com/thumbs/images/g/j7sAAOSw8GZhfhY7/s-l225.jpg,$46.54,Nov-21 12:44,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,22,1,"Nov 21, 2021

12:44:14 PST"
item34509accfd,MORPHO AURORA LAMASI | IQUITOS PERU | AS PICTURED  | UK21--318 | MALE,https://www.ebay.com/itm/224690621693?hash=item34509accfd:g:unIAAOSwQb5hfhXb,https://i.ebayimg.com/thumbs/images/g/unIAAOSwQb5hfhXb/s-l225.jpg,$25.26,Nov-21 12:29,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,8,1,"Nov 21, 2021

12:29:45 PST"
item1f2f210619,"+ ENTOMOLOGY, BUTTERFLY: MORPHO AURORA AUREOLA MALE PERU +++",https://www.ebay.com/itm/133934679577?hash=item1f2f210619:g:EFQAAOSwJixhkU~8,https://i.ebayimg.com/thumbs/images/g/EFQAAOSwJixhkU~8/s-l225.jpg,$16.21,Nov-21 10:06,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,8,1,"Nov 21, 2021

10:06:05 PST"
item3b6cadc480,Faulty Huawei P20 Pro CLT-L09C - Morpho Aurora - Sold As Seen - For Parts,https://www.ebay.com/itm/255226397824?hash=item3b6cadc480:g:abEAAOSwSz1hj84i,https://i.ebayimg.com/thumbs/images/g/abEAAOSwSz1hj84i/s-l225.jpg,$35.90,Nov-20 06:47,"london, United Kingdom",wzrdtechshop,https://www.ebay.com/usr/wzrdtechshop?_trksid=p2047675.l2559,Auction,14,1,"Nov 20, 2021

06:47:28 PST"
item5de5618548,"MORPHO AURORA female (San Martin, Peru)",https://www.ebay.com/itm/403280332104?hash=item5de5618548:g:6LsAAOSwfyBhgS0K,https://i.ebayimg.com/thumbs/images/g/6LsAAOSwfyBhgS0K/s-l225.jpg,$90.00,Nov-16 04:51,"StPetersburg, Russian Federation",insec84,https://www.ebay.com/usr/insec84?_trksid=p2047675.l2559,Auction,1,1,"Nov 16, 2021

04:51:56 PST"
item3406e13d2a,Morpho aurora REAL FRAMED BUTTERFLY BLUE PERU,https://www.ebay.com/itm/223453723946?hash=item3406e13d2a:g:1A4AAOSwv5xbyUqr,https://i.ebayimg.com/thumbs/images/g/1A4AAOSwv5xbyUqr/s-l225.jpg,$42.00,Nov-14 14:49,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,14,
item1f2eb5047b,"+ ENTOMOLOGY, BUTTERFLY: MORPHO AURORA AUREOLA MALE PERU +++",https://www.ebay.com/itm/133927601275?hash=item1f2eb5047b:g:OSgAAOSw7qdhiBX0,https://i.ebayimg.com/thumbs/images/g/OSgAAOSw7qdhiBX0/s-l225.jpg,$10.61,Nov-14 10:07,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"Nov 14, 2021

10:07:59 PST"
