id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item219928a7ec,NYMPHALIDAE Panacea prola amazonica MALE from PERU mounted #391,https://www.ebay.com/itm/144303499244?hash=item219928a7ec:g:ng8AAOSwAm1hl8U-,https://i.ebayimg.com/thumbs/images/g/ng8AAOSwAm1hl8U-/s-l225.jpg,$2.25,Nov-30 11:20,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,2,1,"Nov 30, 2021

11:20:46 PST"
item2b0b392007,Red Flasher Butterfly (Panacea prola) Deep Box Frame Display Case Insect Bug,https://www.ebay.com/itm/184871886855?hash=item2b0b392007:g:lPEAAOSwzmRgu0n3,https://i.ebayimg.com/thumbs/images/g/lPEAAOSwzmRgu0n3/s-l225.jpg,$42.55,Nov-27 04:58,"Bournemouth, United Kingdom",the_butterfly_man,https://www.ebay.com/usr/the_butterfly_man?_trksid=p2047675.l2559,Instant,0,3,
item5936b757de,Panacea prola verso REAL BUTTERFLY RED CHRISTMAS ORNAMENT GIFT PERU,https://www.ebay.com/itm/383170074590?hash=item5936b757de:g:Nj4AAOSwLJZdiTj~,https://i.ebayimg.com/thumbs/images/g/Nj4AAOSwLJZdiTj~/s-l225.jpg,$36.00,Nov-22 21:30,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,2,
item3ffa520b10,Red Flasher Butterfly Panacea prola SET VERSO x1 A-  ANTENNA DAMAGE  Insect,https://www.ebay.com/itm/274782620432?hash=item3ffa520b10:g:RY8AAOSw-RNgjvYF,https://i.ebayimg.com/thumbs/images/g/RY8AAOSw-RNgjvYF/s-l225.jpg,$9.24,Nov-22 11:10,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,11,
item5903fb57fb,Panacea prola verso REAL FRAMED BUTTERFLY RED FLASHER PERU,https://www.ebay.com/itm/382318893051?hash=item5903fb57fb:g:6a8AAOSwFyhaQA1y,https://i.ebayimg.com/thumbs/images/g/6a8AAOSwFyhaQA1y/s-l225.jpg,$36.00,Nov-16 22:58,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,54,
item1d0ebfad30,Red Flasher in Box Frame (Panacea prola),https://www.ebay.com/itm/124801494320?hash=item1d0ebfad30:g:KkMAAOSwFMRg5XwI,https://i.ebayimg.com/thumbs/images/g/KkMAAOSwFMRg5XwI/s-l225.jpg,$38.55,Nov-16 14:45,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,1,
item4dd00e0030,Butterfly - 1 x mounted male Panacea prola (A1-),https://www.ebay.com/itm/334203060272?hash=item4dd00e0030:g:YVoAAOSwU9ZhgBOE,https://i.ebayimg.com/thumbs/images/g/YVoAAOSwU9ZhgBOE/s-l225.jpg,$7.31,Nov-07 11:16,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,4,1,"Nov 07, 2021

11:16:55 PST"
item58fcc979cc,Panacea prola ONE REAL BUTTERFLY BLUE PERU UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/382198184396?hash=item58fcc979cc:g:hUIAAOSwEkZfMhGA,https://i.ebayimg.com/thumbs/images/g/hUIAAOSwEkZfMhGA/s-l225.jpg,$16.00,Nov-05 20:59,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,95,
item1cd31a6859,"Panacea Prola Male EX DPT. boyava, Colombia n653a",https://www.ebay.com/itm/123800807513?hash=item1cd31a6859:g:5Y4AAOSwI5VbbrPk,https://i.ebayimg.com/thumbs/images/g/5Y4AAOSwI5VbbrPk/s-l225.jpg,$27.04,Nov-04 11:21,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1,
item1cb73e02c9,PANACEA PROLA - unmounted butterfly,https://www.ebay.com/itm/123333378761?hash=item1cb73e02c9:g:Xd8AAOSwLnBX58C7,https://i.ebayimg.com/thumbs/images/g/Xd8AAOSwLnBX58C7/s-l225.jpg,$3.49,Oct-31 10:10,"Salzburg, Austria",reisenpanama,https://www.ebay.com/usr/reisenpanama?_trksid=p2047675.l2559,Instant,0,15,
item3b67044aa8,Panacea prola red butterfly 10 pcs wholesale  good for artwork and collections,https://www.ebay.com/itm/255131404968?hash=item3b67044aa8:g:8GIAAOSwTLRfMrvo,https://i.ebayimg.com/thumbs/images/g/8GIAAOSwTLRfMrvo/s-l225.jpg,$33.00,Oct-31 06:05,"Alicante prov., Spain",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,1,
