id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1d1b7de0f3,THE MYTHICAL RADIANTHUS ABERRATION OF Papilio troilus A MALE FROM UNITED STATES,https://www.ebay.com/itm/125015286003?hash=item1d1b7de0f3:g:20QAAOSwE4Jhm-CQ,https://i.ebayimg.com/thumbs/images/g/20QAAOSwE4Jhm-CQ/s-l225.jpg,$565.00,Nov-29 11:30,"Boara Polesine, Italy",universal_butterflies,https://www.ebay.com/usr/universal_butterflies?_trksid=p2047675.l2559,Auction,17,1,"Nov 29, 2021

11:30:21 PST"
item5949dc4168,Papilio troilus ONE REAL BUTTERFLY BLUE BLACK SPICEBUSH SWALLOWTAIL WINGS CLOSED,https://www.ebay.com/itm/383491260776?hash=item5949dc4168:g:4HQAAOSwXGdfRIB~,https://i.ebayimg.com/thumbs/images/g/4HQAAOSwXGdfRIB~/s-l225.jpg,$10.00,Nov-17 11:51,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,15,
item1d18a1532a,Spicebush Swallowtail Butterfly Papilio troilus Papiliondae Lepidoptera IL K22,https://www.ebay.com/itm/124967277354?hash=item1d18a1532a:g:hY8AAOSwtSlhcKUi,https://i.ebayimg.com/thumbs/images/g/hY8AAOSwtSlhcKUi/s-l225.jpg,$4.00,Nov-09 17:49,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,1,1,"Nov 09, 2021

17:49:15 PST"
item23c085dd2d,A1 Unmounted Papilio troilus male - from USA - Collection Data Included,https://www.ebay.com/itm/153553853741?hash=item23c085dd2d:g:IAsAAOSwZHRdHtNw,https://i.ebayimg.com/thumbs/images/g/IAsAAOSwZHRdHtNw/s-l225.jpg,$5.00,Oct-28 18:06,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,11,
item342583cb39,Papilio troilus REAL FRAMED BUTTERFLY BLUE BLACK SPICEBUSH SWALLOWTAIL USA,https://www.ebay.com/itm/223967693625?hash=item342583cb39:g:opMAAOSwfzFe5uvq,https://i.ebayimg.com/thumbs/images/g/opMAAOSwfzFe5uvq/s-l225.jpg,$30.00,Oct-24 06:12,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,10,
item3b63ac8e16,REAL MOUNTED FRAMED BUTTERFLY - Papilio troilus - SPICEBUSH SWALLOWTAIL,https://www.ebay.com/itm/255075323414?hash=item3b63ac8e16:g:BZoAAOSw06NhCB3I,https://i.ebayimg.com/thumbs/images/g/BZoAAOSw06NhCB3I/s-l225.jpg,$17.16,Oct-17 23:56,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,1,
item1d175435f4,UNIQUE Papilio troilus MELANIC ABERRATION MALE from United States (mounted),https://www.ebay.com/itm/124945446388?hash=item1d175435f4:g:XVEAAOSw7c1hYv~X,https://i.ebayimg.com/thumbs/images/g/XVEAAOSw7c1hYv~X/s-l225.jpg,$192.50,Oct-17 08:30,"Boara Polesine, Italy",universal_butterflies,https://www.ebay.com/usr/universal_butterflies?_trksid=p2047675.l2559,Auction,13,1,"Oct 17, 2021

08:30:12 PDT"
item423047584f,Entomology couple papilio troilus-Canada - 227-blanket,https://www.ebay.com/itm/284277823567?hash=item423047584f:g:hT8AAOSwsxxgR5ZG,https://i.ebayimg.com/thumbs/images/g/hT8AAOSwsxxgR5ZG/s-l225.jpg,$27.04,Oct-15 06:53,"Paris, France",banacoquillages1,https://www.ebay.com/usr/banacoquillages1?_trksid=p2047675.l2559,Instant,0,1,
item57045aef7a,"PAPILIO TROILUS FROM UTAH, USA",https://www.ebay.com/itm/373735223162?hash=item57045aef7a:g:JPoAAOSw4tBhUJG9,https://i.ebayimg.com/thumbs/images/g/JPoAAOSw4tBhUJG9/s-l225.jpg,$23.00,Oct-03 10:23,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Oct 03, 2021

10:23:06 PDT"
item54a5316cdf,PAPILIO TROILUS FROM USA,https://www.ebay.com/itm/363548732639?hash=item54a5316cdf:g:G60AAOSwdbVhR1Qa,https://i.ebayimg.com/thumbs/images/g/G60AAOSwdbVhR1Qa/s-l225.jpg,$8.50,Sep-26 11:11,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Sep 26, 2021

11:11:28 PDT"
item49061ded54,1910 T48 Turkey Red Butterflies Papilio Troilus VG 49594,https://www.ebay.com/itm/313635237204?hash=item49061ded54:g:vLwAAOSwIyRhFFcv,https://i.ebayimg.com/thumbs/images/g/vLwAAOSwIyRhFFcv/s-l225.jpg,$4.00,Sep-13 16:29,"Mahomet, Illinois, United States",joesvintagesportscardsii,https://www.ebay.com/usr/joesvintagesportscardsii?_trksid=p2047675.l2559,Instant,0,1,
