id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item440f3f6e0c,"1 Large Sweet Ruby Supreme Guava Tree, Psidium guajava  Live Tree App. 10""",https://www.ebay.com/itm/292313591308?hash=item440f3f6e0c:g:N1AAAOSwQD1hZx60,https://i.ebayimg.com/thumbs/images/g/N1AAAOSwQD1hZx60/s-l225.jpg,$12.99,Nov-29 20:32,"Temple City, California, United States",mclady01,https://www.ebay.com/usr/mclady01?_trksid=p2047675.l2559,Instant,0,238,
item2187f9f09e,Barbie Pink Guava Tree - Pink Guava Plant - Psidium Guajava - Guava Leaf Tea,https://www.ebay.com/itm/144015224990?hash=item2187f9f09e:g:fQUAAOSwE1FfhdFl,https://i.ebayimg.com/thumbs/images/g/fQUAAOSwE1FfhdFl/s-l225.jpg,$22.77,Nov-29 01:02,"San Diego, California, United States",sddarkman619,https://www.ebay.com/usr/sddarkman619?_trksid=p2047675.l2559,Instant,0,10,
item3b6c3c652f,2 Guava Fruit Tree Yellow w/Pink Flesh 6+” Live Plants Psidium guajava Hawaiian,https://www.ebay.com/itm/255218967855?hash=item3b6c3c652f:g:h3UAAOSw1FBhe0O~,https://i.ebayimg.com/thumbs/images/g/h3UAAOSw1FBhe0O~/s-l225.jpg,$9.60,Nov-28 18:51,"Kailua Kona, Hawaii, United States",ladyloveboutiquehawaii,https://www.ebay.com/usr/ladyloveboutiquehawaii?_trksid=p2047675.l2559,Instant,0,1,
item58ef1bbb39,Psidium guajava Pink Apple Guava 15 seeds,https://www.ebay.com/itm/381968694073?hash=item58ef1bbb39:g:-YEAAOxyyF5RI9v~,https://i.ebayimg.com/thumbs/images/g/-YEAAOxyyF5RI9v~/s-l225.jpg,$9.88,Nov-28 01:38,"Claxton, Georgia, United States",georgiavines,https://www.ebay.com/usr/georgiavines?_trksid=p2047675.l2559,Instant,0,20,
item423fb314ba,10 Pink Guava Seeds Psidium guajava Free Shipping,https://www.ebay.com/itm/284536542394?hash=item423fb314ba:g:MK0AAOSwxUBhmR2E,https://i.ebayimg.com/thumbs/images/g/MK0AAOSwxUBhmR2E/s-l225.jpg,$2.99,Nov-28 00:16,"Bois D Arc, Missouri, United States",momshomeandgarden,https://www.ebay.com/usr/momshomeandgarden?_trksid=p2047675.l2559,Instant,0,1,
item448e82cca8,Guava Leaf Psidium Guajava Extract Powder Blood Sugar 180 Caps (2 Bottles)5000mg,https://www.ebay.com/itm/294448712872?hash=item448e82cca8:g:DZMAAOSwHv9hYV1f,https://i.ebayimg.com/thumbs/images/g/DZMAAOSwHv9hYV1f/s-l225.jpg,$15.39,Nov-26 20:22,"DELHI, DELHI, India",herbonutra,https://www.ebay.com/usr/herbonutra?_trksid=p2047675.l2559,Instant,0,2,
item218a02c967,Peruvian White Guava – Large Fruit - Psidium Guajava,https://www.ebay.com/itm/144049359207?hash=item218a02c967:g:1hwAAOSwCj9gqqKN,https://i.ebayimg.com/thumbs/images/g/1hwAAOSwCj9gqqKN/s-l225.jpg,$20.87,Nov-26 20:17,"San Diego, California, United States",sddarkman619,https://www.ebay.com/usr/sddarkman619?_trksid=p2047675.l2559,Instant,0,4,
item468eb2aa4b,40+ seeds psidium guajava guava' ' pink Goyave tree seeds,https://www.ebay.com/itm/303041784395?hash=item468eb2aa4b:g:EXcAAOSw-V1cS-XZ,https://i.ebayimg.com/thumbs/images/g/EXcAAOSw-V1cS-XZ/s-l225.jpg,$1.34,Nov-26 19:56,"Mantes la jolie, France",garden-area,https://www.ebay.com/usr/garden-area?_trksid=p2047675.l2559,Instant,0,75,
item34321e6fe9,Guava 100 Fresh Leaves Hojas de Guayaba Guayabo Psidium Guajava Loose Leaf,https://www.ebay.com/itm/224179154921?hash=item34321e6fe9:g:3N0AAOSwAf5fd79v,https://i.ebayimg.com/thumbs/images/g/3N0AAOSwAf5fd79v/s-l225.jpg,$14.99,Nov-26 17:22,"San Sebastian, Puerto Rico, United States",coco_vw,https://www.ebay.com/usr/coco_vw?_trksid=p2047675.l2559,Instant,0,259,
item3db96747e5,JUICY SWEET GUAVA SEEDS PSIDIUM GUAJAVA 20 PCS,https://www.ebay.com/itm/265103558629?hash=item3db96747e5:g:A1IAAOSwra9ff40Y,https://i.ebayimg.com/thumbs/images/g/A1IAAOSwra9ff40Y/s-l225.jpg,$3.99,Nov-26 15:33,"Fontana, California, United States",staffthings,https://www.ebay.com/usr/staffthings?_trksid=p2047675.l2559,Instant,0,45,
item468eabb599,200+ seeds psidium guajava guava' ' pink Goyave tree seeds,https://www.ebay.com/itm/303041328537?hash=item468eabb599:g:-DYAAOSwydZcS-UB,https://i.ebayimg.com/thumbs/images/g/-DYAAOSwydZcS-UB/s-l225.jpg,$4.50,Nov-26 09:47,"Mantes la jolie, France",garden-area,https://www.ebay.com/usr/garden-area?_trksid=p2047675.l2559,Instant,0,15,
item4402815f0f,"50+ Ruby Fragrant Tropical Guava, Psidium Guajava, Seeds",https://www.ebay.com/itm/292099809039?hash=item4402815f0f:g:KLwAAOSwNRdX7ehy,https://i.ebayimg.com/thumbs/images/g/KLwAAOSwNRdX7ehy/s-l225.jpg,$5.99,Nov-26 01:03,"Temple City, California, United States",mclady01,https://www.ebay.com/usr/mclady01?_trksid=p2047675.l2559,Instant,0,90,
item4402815626,"50+ Asia Cream White Large Sweet Tropical Guava Psidium guajava Seeds,",https://www.ebay.com/itm/292099806758?hash=item4402815626:g:lQAAAOSw8axZ7f-n,https://i.ebayimg.com/thumbs/images/g/lQAAAOSw8axZ7f-n/s-l225.jpg,$8.99,Nov-25 13:09,"Temple City, California, United States",mclady01,https://www.ebay.com/usr/mclady01?_trksid=p2047675.l2559,Instant,0,69,
item549a640bf9,Pink Guava Plant - Barbie Pink Guava Tree - Large Fruit - Psidium Guajava,https://www.ebay.com/itm/363367500793?hash=item549a640bf9:g:R-UAAOSwYb5fhdFa,https://i.ebayimg.com/thumbs/images/g/R-UAAOSwYb5fhdFa/s-l225.jpg,$17.07,Nov-25 09:45,"San Diego, California, United States",sddarkman619,https://www.ebay.com/usr/sddarkman619?_trksid=p2047675.l2559,Instant,0,8,
item4dcc90f49a,Guava 100 PCS Seeds Bonsai Psidium Guajava Thailand Pink Fruit Home Garden Plant,https://www.ebay.com/itm/334144533658?hash=item4dcc90f49a:g:-IAAAOSwedVhPGl2,https://i.ebayimg.com/thumbs/images/g/-IAAAOSwedVhPGl2/s-l225.jpg,$3.99,Nov-24 23:12,"RF, Russian Federation",hybab_28,https://www.ebay.com/usr/hybab_28?_trksid=p2047675.l2559,Instant,0,18,
item43fcb36fea,"1 Asia Cream White Tropical Guava Fruit Tree Psidium Guajava Live Tree App 10""",https://www.ebay.com/itm/292002426858?hash=item43fcb36fea:g:ZzIAAOSw9T5hgy4R,https://i.ebayimg.com/thumbs/images/g/ZzIAAOSw9T5hgy4R/s-l225.jpg,$12.99,Nov-24 12:55,"Temple City, California, United States",mclady01,https://www.ebay.com/usr/mclady01?_trksid=p2047675.l2559,Instant,0,321,
