id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item34509a69cd,PTEROURUS GARAMAS SSP.  ABDERUS MALE | OAXACA MEXICO | VERY RARE | UK21-61,https://www.ebay.com/itm/224690596301?hash=item34509a69cd:g:W9kAAOSw2HZha7op,https://i.ebayimg.com/thumbs/images/g/W9kAAOSw2HZha7op/s-l225.jpg,$19.28,Nov-21 12:55,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,6,1,"Nov 21, 2021

12:55:32 PST"
item34509acc51,PTEROURUS GARAMAS ELECTRYON MALE | VERACRUZ MEXICO | AS PICTURED | UK21-374 HUGE,https://www.ebay.com/itm/224690621521?hash=item34509acc51:g:8-oAAOSwatBg89Dn,https://i.ebayimg.com/thumbs/images/g/8-oAAOSwatBg89Dn/s-l225.jpg,$14.98,Nov-21 12:02,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,7,1,"Nov 21, 2021

12:02:00 PST"
item344f51132b,PTEROURUS GARAMAS SSP.  ABDERUS MALE | OAXACA MEXICO | VERY RARE | UK21-61,https://www.ebay.com/itm/224669012779?hash=item344f51132b:g:W9kAAOSw2HZha7op,https://i.ebayimg.com/thumbs/images/g/W9kAAOSw2HZha7op/s-l225.jpg,$27.62,Nov-07 11:37,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,9,1,"Nov 07, 2021

11:37:46 PST"
item344f5281a7,PTEROURUS GARAMAS ELECTRYON MALE | VERACRUZ MEXICO | AS PICTURED | UK21-374 HUGE,https://www.ebay.com/itm/224669106599?hash=item344f5281a7:g:8-oAAOSwatBg89Dn,https://i.ebayimg.com/thumbs/images/g/8-oAAOSwatBg89Dn/s-l225.jpg,$33.24,Nov-07 11:15,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,10,1,"Nov 07, 2021

11:15:31 PST"
item344e342daa,PTEROURUS GARAMAS SSP.  ABDERUS MALE | OAXACA MEXICO | VERY RARE | UK21-61,https://www.ebay.com/itm/224650341802?hash=item344e342daa:g:W9kAAOSw2HZha7op,https://i.ebayimg.com/thumbs/images/g/W9kAAOSw2HZha7op/s-l225.jpg,$27.62,Oct-24 12:32,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,7,1,"Oct 24, 2021

12:32:19 PDT"
item344e33c345,PTEROURUS GARAMAS SSP.  ELECTRYON MALE | GUERRERO MEXICO | UK21-61,https://www.ebay.com/itm/224650314565?hash=item344e33c345:g:7ogAAOSw1xFha6-J,https://i.ebayimg.com/thumbs/images/g/7ogAAOSw1xFha6-J/s-l225.jpg,$21.27,Oct-24 11:58,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,9,1,"Oct 24, 2021

11:58:31 PDT"
item344d231f31,PTEROURUS GARAMAS SSP.  ABDERUS FEMALE | OAXACA MEXICO | VERY RARE | UK21-375,https://www.ebay.com/itm/224632446769?hash=item344d231f31:g:A68AAOSwGMNhWMEa,https://i.ebayimg.com/thumbs/images/g/A68AAOSwGMNhWMEa/s-l225.jpg,$61.16,Oct-10 12:18,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,35,1,"Oct 10, 2021

12:18:34 PDT"
item344d23ea3b,PTEROURUS GARAMAS ELECTRYON MALE | VERACRUZ MEXICO | AS PICTURED | UK21-2 HUGE,https://www.ebay.com/itm/224632498747?hash=item344d23ea3b:g:Wk0AAOSw9gRhWNNw,https://i.ebayimg.com/thumbs/images/g/Wk0AAOSw9gRhWNNw/s-l225.jpg,$29.92,Oct-10 12:08,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,12,1,"Oct 10, 2021

12:08:50 PDT"
item344c16ef92,PTEROURUS GARAMAS ELECTRYON MALE | VERACRUZ MEXICO | AS PICTURED | UK21-374 HUGE,https://www.ebay.com/itm/224614870930?hash=item344c16ef92:g:8-oAAOSwatBg89Dn,https://i.ebayimg.com/thumbs/images/g/8-oAAOSwatBg89Dn/s-l225.jpg,$25.25,Sep-26 13:24,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,10,1,"Sep 26, 2021

13:24:19 PDT"
item344b0ace9f,PTEROURUS GARAMAS ELECTRYON MALE | VERACRUZ MEXICO | AS PICTURED | UK21-374 HUGE,https://www.ebay.com/itm/224597298847?hash=item344b0ace9f:g:8-oAAOSwatBg89Dn,https://i.ebayimg.com/thumbs/images/g/8-oAAOSwatBg89Dn/s-l225.jpg,$9.93,Sep-12 14:08,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,5,1,"Sep 12, 2021

14:08:49 PDT"
