id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item219928c24f,CETONIDAE Stephanorrhina adelpha PAIR from Camerun #238,https://www.ebay.com/itm/144303505999?hash=item219928c24f:g:xkEAAOSw-4thnTqk,https://i.ebayimg.com/thumbs/images/g/xkEAAOSw-4thnTqk/s-l225.jpg,$3.75,Nov-30 13:20,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,2,1,"Nov 30, 2021

13:20:07 PST"
item219928c23c,CETONIDAE Stephanorrhina adelpha PAIR from Camerun #491,https://www.ebay.com/itm/144303505980?hash=item219928c23c:g:Bs4AAOSwTmBhnTsT,https://i.ebayimg.com/thumbs/images/g/Bs4AAOSwTmBhnTsT/s-l225.jpg,$10.50,Nov-30 13:19,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,9,1,"Nov 30, 2021

13:19:27 PST"
item598491e9e3,Adelpha eulalia Arizona sister butterfly Arizona USA unmounted wings closed,https://www.ebay.com/itm/384476244451?hash=item598491e9e3:g:k1UAAOSw9T5hfxZR,https://i.ebayimg.com/thumbs/images/g/k1UAAOSw9T5hfxZR/s-l225.jpg,$16.00,Nov-29 16:21,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,1,
item1f2f89fddc,"+ ENTOMOLOGY, BUTTERFLY: ADELPHA BREDLOWII EULALIA FEMALE ARIZ USA +++ RARE",https://www.ebay.com/itm/133941558748?hash=item1f2f89fddc:g:QC8AAOSwYGlhmpJX,https://i.ebayimg.com/thumbs/images/g/QC8AAOSwYGlhmpJX/s-l225.jpg,$4.99,Nov-28 10:39,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Nov 28, 2021

10:39:39 PST"
item44960bbd99,Real Dried Insect/Butterfly/Moth Non set B7913 Rare Pink Adelpha lara Peru,https://www.ebay.com/itm/294575127961?hash=item44960bbd99:g:o4AAAOSwYVRhncMX,https://i.ebayimg.com/thumbs/images/g/o4AAAOSwYVRhncMX/s-l225.jpg,$4.16,Nov-27 23:07,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,6,
item54a9bc326b,"ADELPHA SP. FROM VERACRUZ, MEXICO",https://www.ebay.com/itm/363624936043?hash=item54a9bc326b:g:gfUAAOSwmvBhlPkE,https://i.ebayimg.com/thumbs/images/g/gfUAAOSwmvBhlPkE/s-l225.jpg,$10.50,Nov-27 10:02,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Nov 27, 2021

10:02:53 PST"
item54a9bc31b2,"ADELPHA LARA SSP. FROM JOINVILLE, BRAZIL",https://www.ebay.com/itm/363624935858?hash=item54a9bc31b2:g:4rIAAOSwYZdhlPjr,https://i.ebayimg.com/thumbs/images/g/4rIAAOSwYZdhlPjr/s-l225.jpg,$2.50,Nov-27 10:01,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Nov 27, 2021

10:01:28 PST"
item34509b0508,ADELPHA PHYLACA |  HUANUCO PERU | AS PICTURED | UK21--198,https://www.ebay.com/itm/224690636040?hash=item34509b0508:g:kXoAAOSwtldhfgum,https://i.ebayimg.com/thumbs/images/g/kXoAAOSwtldhfgum/s-l225.jpg,$6.38,Nov-21 11:24,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 21, 2021

11:24:24 PST"
item34509ac373,ADELPHA MESENTINA |  HUANUCO PERU | AS PICTURED | UK21--409,https://www.ebay.com/itm/224690619251?hash=item34509ac373:g:~k4AAOSwbbVhfgx7,https://i.ebayimg.com/thumbs/images/g/~k4AAOSwbbVhfgx7/s-l225.jpg,$2.93,Nov-21 11:23,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 21, 2021

11:23:42 PST"
item34509ac4a0,"ADELPHA DELINITA | HUANUCO, PERU | AS PICTURED | UK21--543",https://www.ebay.com/itm/224690619552?hash=item34509ac4a0:g:hzAAAOSwU4Rhfg1x,https://i.ebayimg.com/thumbs/images/g/hzAAAOSwU4Rhfg1x/s-l225.jpg,$2.93,Nov-21 11:14,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 21, 2021

11:14:45 PST"
item34509ae3fd,ADELPHA ALALA NEGRA |  HUANUCO PERU | AS PICTURED | UK21--199,https://www.ebay.com/itm/224690627581?hash=item34509ae3fd:g:5mYAAOSwGU1hfgxE,https://i.ebayimg.com/thumbs/images/g/5mYAAOSwGU1hfgxE/s-l225.jpg,$6.38,Nov-21 11:09,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 21, 2021

11:09:57 PST"
item34509b29d0,ADELPHA THESSALIA |  HUANUCO PERU | AS PICTURED | UK21--170,https://www.ebay.com/itm/224690645456?hash=item34509b29d0:g:mNIAAOSwvNRhfgvY,https://i.ebayimg.com/thumbs/images/g/mNIAAOSwvNRhfgvY/s-l225.jpg,$2.93,Nov-21 10:52,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 21, 2021

10:52:06 PST"
item21984eb80b,"Cerambycidae: Helladia adelpha  A1, 11 mm, Mounted, 1 pc",https://www.ebay.com/itm/144289216523?hash=item21984eb80b:g:dlwAAOSw05Nhj8mv,https://i.ebayimg.com/thumbs/images/g/dlwAAOSw05Nhj8mv/s-l225.jpg,$11.00,Nov-20 15:20,"Pribram, Czech Republic, Czech Republic",insectstradecz,https://www.ebay.com/usr/insectstradecz?_trksid=p2047675.l2559,Auction,1,1,"Nov 20, 2021

15:20:17 PST"
item5707940329,Adelpha bredowii ssp californica (male) from Rogue River S.W. Oregon,https://www.ebay.com/itm/373789295401?hash=item5707940329:g:K1sAAOSwa-Zhjl2r,https://i.ebayimg.com/thumbs/images/g/K1sAAOSwa-Zhjl2r/s-l225.jpg,$13.28,Nov-20 11:54,"Pershore, United Kingdom",julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,1,1,"Nov 20, 2021

11:54:15 PST"
item1ac665fbe8,"LEPIDOPTERA, NYMPHALIDAE, LIMENITIDINAE, ADELPHA ARICIA from PERU",https://www.ebay.com/itm/114997722088?hash=item1ac665fbe8:g:grsAAOSwGEFhRdho,https://i.ebayimg.com/thumbs/images/g/grsAAOSwGEFhRdho/s-l225.jpg,$5.25,Nov-19 14:50,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,1,
item1acb6373af,"COLEOPTERA, CERAMBYCIDAE, GLENEA ADELPHA from CAMEROON",https://www.ebay.com/itm/115081442223?hash=item1acb6373af:g:NKAAAOSwuNxhhVPL,https://i.ebayimg.com/thumbs/images/g/NKAAAOSwuNxhhVPL/s-l225.jpg,$6.58,Nov-08 09:10,"Santiago de Compostela (A Coruña), Spain",insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,1,
item344f52df32,ADELPHA PHYLACA |  HUANUCO PERU | AS PICTURED | UK21--198,https://www.ebay.com/itm/224669130546?hash=item344f52df32:g:kXoAAOSwtldhfgum,https://i.ebayimg.com/thumbs/images/g/kXoAAOSwtldhfgum/s-l225.jpg,$2.93,Nov-07 10:47,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 07, 2021

10:47:57 PST"
item344f52e718,ADELPHA ALALA NEGRA |  HUANUCO PERU | AS PICTURED | UK21--199,https://www.ebay.com/itm/224669132568?hash=item344f52e718:g:5mYAAOSwGU1hfgxE,https://i.ebayimg.com/thumbs/images/g/5mYAAOSwGU1hfgxE/s-l225.jpg,$2.50,Nov-07 10:11,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Nov 07, 2021

10:11:13 PST"
item344f5274f9,ADELPHA MESENTINA |  HUANUCO PERU | AS PICTURED | UK21--409,https://www.ebay.com/itm/224669103353?hash=item344f5274f9:g:~k4AAOSwbbVhfgx7,https://i.ebayimg.com/thumbs/images/g/~k4AAOSwbbVhfgx7/s-l225.jpg,$2.50,Nov-07 10:08,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Nov 07, 2021

10:08:49 PST"
item344f52f50c,"ADELPHA DELINITA | HUANUCO, PERU | AS PICTURED | UK21--543",https://www.ebay.com/itm/224669136140?hash=item344f52f50c:g:hzAAAOSwU4Rhfg1x,https://i.ebayimg.com/thumbs/images/g/hzAAAOSwU4Rhfg1x/s-l225.jpg,$2.50,Nov-07 09:49,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Nov 07, 2021

09:49:51 PST"
item546c22d5c8,A5258 Women's Banana Republic Adelpha Black Silky Leather Boots US 7 M,https://www.ebay.com/itm/362591475144?hash=item546c22d5c8:g:nxQAAOSw53hbxjNJ,https://i.ebayimg.com/thumbs/images/g/nxQAAOSw53hbxjNJ/s-l225.jpg,$35.00,Nov-05 08:03,"Nolensville, Tennessee, United States",shopshoedeals,https://www.ebay.com/usr/shopshoedeals?_trksid=p2047675.l2559,Instant,0,1,
item5dd6347ebf,Noritake Teapot China  Adelpha 4036 Floral Pattern Gold Trimmed Tea Pot,https://www.ebay.com/itm/403025723071?hash=item5dd6347ebf:g:fYwAAOSwSnJhAT-2,https://i.ebayimg.com/thumbs/images/g/fYwAAOSwSnJhAT-2/s-l225.jpg,$50.00,Nov-03 18:39,"Las Vegas, Nevada, United States",storageauctionswestcoast,https://www.ebay.com/usr/storageauctionswestcoast?_trksid=p2047675.l2559,Instant,0,1,
item3ff06b66ea,Stephanorrhina adelpha molleti REAL RED Male beetle x1  A1- entomology insect,https://www.ebay.com/itm/274616510186?hash=item3ff06b66ea:g:y7cAAOSwr4JgW1md,https://i.ebayimg.com/thumbs/images/g/y7cAAOSwr4JgW1md/s-l225.jpg,$10.57,Oct-31 09:54,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,3,
item21968fd648,CETONIDAE Stephanorrhina adelpha PAIR from Camerun #530,https://www.ebay.com/itm/144259929672?hash=item21968fd648:g:c5IAAOSwE0VhbzIW,https://i.ebayimg.com/thumbs/images/g/c5IAAOSwE0VhbzIW/s-l225.jpg,$1.99,Oct-30 12:36,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Oct 30, 2021

12:36:25 PDT"
item54a78e0cfa,"ADELPHA FESSONIA FESSONIA FROM VERACRUZ, MEXICO",https://www.ebay.com/itm/363588357370?hash=item54a78e0cfa:g:UL4AAOSwrahhcFD8,https://i.ebayimg.com/thumbs/images/g/UL4AAOSwrahhcFD8/s-l225.jpg,$2.25,Oct-30 10:30,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Oct 30, 2021

10:30:30 PDT"
item219609ed61,"+ ENTOMOLOGY, BUTTERFLY: ADELPHA BREDLOWII EULALIA MALE ARIZONA USA +++",https://www.ebay.com/itm/144251153761?hash=item219609ed61:g:TI0AAOSwhrFhbGEi,https://i.ebayimg.com/thumbs/images/g/TI0AAOSwhrFhbGEi/s-l225.jpg,$10.00,Oct-24 10:45,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,6,1,"Oct 24, 2021

10:45:17 PDT"
item3dc6290cee,Stephanorrhina Adelpha Molleti SET x1 REAL Female Beetle A- Uganda Entomology.,https://www.ebay.com/itm/265317584110?hash=item3dc6290cee:g:r6MAAOSwz7thRKY3,https://i.ebayimg.com/thumbs/images/g/r6MAAOSwz7thRKY3/s-l225.jpg,$9.24,Oct-18 07:45,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,1,
item1d179c0a54,GLENEA ADELPHA MALE AMAZING!!! CERAMBYCIDAE CERAMBYCIIDAE CAMEROON,https://www.ebay.com/itm/124950153812?hash=item1d179c0a54:g:eLEAAOSw5-lhZvF4,https://i.ebayimg.com/thumbs/images/g/eLEAAOSw5-lhZvF4/s-l225.jpg,$55.55,Oct-17 14:47,"Brest, France",lb29200,https://www.ebay.com/usr/lb29200?_trksid=p2047675.l2559,Auction,19,1,"Oct 17, 2021

14:47:13 PDT"
