id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item3fc0640952,Speckled Wood butterfly Pararge aegeria SET x PAIR British Butterfly #j01,https://www.ebay.com/itm/273810721106?hash=item3fc0640952:g:wsMAAOSw6itgXf-7,https://i.ebayimg.com/thumbs/images/g/wsMAAOSw6itgXf-7/s-l225.jpg,$21.21,Nov-26 10:29,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,9,
item344665393d,Stance Women's Speckled Wood Outdoor Socks,https://www.ebay.com/itm/224519338301?var=523301744276&hash=item344665393d:g:OFIAAOSwJ8Jg33P6,https://i.ebayimg.com/thumbs/images/g/OFIAAOSwJ8Jg33P6/s-l225.jpg,$10.00,Nov-21 06:50,"Garland, Utah, United States",sockseller,https://www.ebay.com/usr/sockseller?_trksid=p2047675.l2559,Instant,0,3,
item46d53cc40a,"Seasalt Speckled Wood stripe jumper, size 10",https://www.ebay.com/itm/304225240074?hash=item46d53cc40a:g:lb0AAOSw2S1hkTDb,https://i.ebayimg.com/thumbs/images/g/lb0AAOSw2S1hkTDb/s-l225.jpg,$6.63,Nov-20 23:08,"York, United Kingdom",fireapple82,https://www.ebay.com/usr/fireapple82?_trksid=p2047675.l2559,Auction,1,1,"Nov 20, 2021

23:08:11 PST"
item2f6cd032f3,Pair Speckled Wood Butterflies Scilly Isles Moth Insect Lepidoptera Taxidermy,https://www.ebay.com/itm/203689046771?hash=item2f6cd032f3:g:LrYAAOSwa5VhiCWk,https://i.ebayimg.com/thumbs/images/g/LrYAAOSwa5VhiCWk/s-l225.jpg,$6.63,Nov-14 11:15,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,1,1,"Nov 14, 2021

11:15:40 PST"
item5ba5f52924,ELLO 16oz Aspen Ceramic Travel Mug W/Lid White Speckled Wood Base,https://www.ebay.com/itm/393626331428?hash=item5ba5f52924:g:1nkAAOSw1LNhZleU,https://i.ebayimg.com/thumbs/images/g/1nkAAOSw1LNhZleU/s-l225.jpg,$7.00,Nov-09 09:54,"Salt Lake City, Utah, United States",shatrav_0,https://www.ebay.com/usr/shatrav_0?_trksid=p2047675.l2559,Instant,0,1,
item3fcdf4981c,"Fine Art Quality Postcard, Speckled Wood Butterfly Photo by Ian Rabjohns CK8",https://www.ebay.com/itm/274038298652?hash=item3fcdf4981c:g:AYQAAOSw1EZe22Pw,https://i.ebayimg.com/thumbs/images/g/AYQAAOSw1EZe22Pw/s-l225.jpg,$3.32,Nov-06 09:58,"Barnsley, United Kingdom",cavalierpostcards,https://www.ebay.com/usr/cavalierpostcards?_trksid=p2047675.l2559,Instant,0,68,
item2f6b6bdd3a,Pair Speckled Wood Butterflies Scilly Isles Moth Insect Lepidoptera Taxidermy,https://www.ebay.com/itm/203665694010?hash=item2f6b6bdd3a:g:dOUAAOSw4vdhdZpO,https://i.ebayimg.com/thumbs/images/g/dOUAAOSw4vdhdZpO/s-l225.jpg,$6.90,Oct-31 11:08,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,2,1,"Oct 31, 2021

11:08:08 PDT"
item2aec54dfad,EDDIE BAUER Women Angora-Blend Sweater Vest Sz M Orange Speckled Wood Buttons,https://www.ebay.com/itm/184353611693?hash=item2aec54dfad:g:XqAAAOSwYDZeDOPR,https://i.ebayimg.com/thumbs/images/g/XqAAAOSwYDZeDOPR/s-l225.jpg,$11.39,Oct-29 10:57,"Morganton, North Carolina, United States",amfinchu8,https://www.ebay.com/usr/amfinchu8?_trksid=p2047675.l2559,Instant,0,1,
item344958c9ec,Vtg JOHN WRIGHT Cast Iron Blue Speckled Wood Stove Humidifier Steamer PRICE DROP,https://www.ebay.com/itm/224568855020?hash=item344958c9ec:g:LN0AAOSwJG5hFHBr,https://i.ebayimg.com/thumbs/images/g/LN0AAOSwJG5hFHBr/s-l225.jpg,$25.99,Oct-25 07:49,"Sycamore, Illinois, United States",maac54,https://www.ebay.com/usr/maac54?_trksid=p2047675.l2559,Instant,0,1,
item4b6e0cbc30,PHILLIPS-BRITISH BUTTERFLIES No.1 ISSUE-#18- SPECKLED WOOD OR BROWN ARGUS,https://www.ebay.com/itm/323968875568?hash=item4b6e0cbc30:g:R4sAAOSwR8hdvy3Z,https://i.ebayimg.com/thumbs/images/g/R4sAAOSwR8hdvy3Z/s-l225.jpg,$3.31,Oct-25 03:25,"Colne, United Kingdom",collectabilia.is.back,https://www.ebay.com/usr/collectabilia.is.back?_trksid=p2047675.l2559,Instant,0,1,
item2f69c3de8d,Pair Speckled Wood Butterflies Scilly Isles Moth Insect Lepidoptera Taxidermy,https://www.ebay.com/itm/203637907085?hash=item2f69c3de8d:g:xz4AAOSwKrZhWfR1,https://i.ebayimg.com/thumbs/images/g/xz4AAOSwKrZhWfR1/s-l225.jpg,$22.71,Oct-10 11:21,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,4,1,"Oct 10, 2021

11:21:31 PDT"
item1d1631f382,EDDIE BAUER Women Angora-Blend Sweater Vest Sz XL Orange Speckled Wood Buttons,https://www.ebay.com/itm/124926423938?hash=item1d1631f382:g:TvsAAOSwGM5fkHYU,https://i.ebayimg.com/thumbs/images/g/TvsAAOSwGM5fkHYU/s-l225.jpg,$7.49,Oct-06 18:38,"Wartburg, Tennessee, United States",rosebuddiden,https://www.ebay.com/usr/rosebuddiden?_trksid=p2047675.l2559,Auction,1,1,"Oct 06, 2021

18:38:02 PDT"
item5703b3a7a0,Target Bullseye Playground 12ct Speckled Wood Egg Decoration Easter,https://www.ebay.com/itm/373724260256?hash=item5703b3a7a0:g:MVgAAOSwXptgobnr,https://i.ebayimg.com/thumbs/images/g/MVgAAOSwXptgobnr/s-l225.jpg,$24.99,Sep-24 15:38,"Blackwood, New Jersey, United States",jeanine0928,https://www.ebay.com/usr/jeanine0928?_trksid=p2047675.l2559,Instant,0,2,
item448acec9d0,Free Form Unique Speckled Wood Trinket Bowl MCM Vintage Boho Decor Splatter Ware,https://www.ebay.com/itm/294386584016?hash=item448acec9d0:g:qLQAAOSwC6ZhOh6n,https://i.ebayimg.com/thumbs/images/g/qLQAAOSwC6ZhOh6n/s-l225.jpg,$29.25,Sep-24 07:36,"Barnsley, United Kingdom",jgo321,https://www.ebay.com/usr/jgo321?_trksid=p2047675.l2559,Instant,0,1,
