id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item1edbbcd766,Very good 19C Meiji Japanese Sometsuke Arita Arita Plate with Toy Horse Figures,https://www.ebay.com/itm/132535605094?hash=item1edbbcd766:g:QzgAAOSwdjRapoWs,$298.50,"Amsterdam, Netherlands",https://i.ebayimg.com/thumbs/images/g/QzgAAOSwdjRapoWs/s-l225.jpg,theceramics_and_collectibles,https://www.ebay.com/usr/theceramics_and_collectibles?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 04, 2019 10:31:38 PST"
item1d1068e4b9,VINTAGE Fukagawa China  Arita  OVAL SERVING BOWL Platinum Trim 900P Handpainted,https://www.ebay.com/itm/124829361337?hash=item1d1068e4b9:g:rcMAAOSwJg5hAbTy,$30.00,"Victorville, California, United States",https://i.ebayimg.com/thumbs/images/g/rcMAAOSwJg5hAbTy/s-l225.jpg,capricornalley,https://www.ebay.com/usr/capricornalley?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item262a055efe,Antique Japanese Arita/Arita-Style Inban Blue and White Transfer Porcelain Bowl,https://www.ebay.com/itm/163913752318?hash=item262a055efe:g:-GsAAOSwWR5drbwX,$89.26,"March, United Kingdom",https://i.ebayimg.com/thumbs/images/g/-GsAAOSwWR5drbwX/s-l225.jpg,gemini-jo,https://www.ebay.com/usr/gemini-jo?_trksid=p2047675.l2559,Instant,0,0,1,"Oct 21, 2019 07:20:32 PDT"
item28b99235b0,Arita Arita-Yaki Tumbler,https://www.ebay.com/itm/174912058800?hash=item28b99235b0:g:OK8AAOSwFONhKX9m,$52.82,"Japan, Japan",https://i.ebayimg.com/thumbs/images/g/OK8AAOSwFONhKX9m/s-l225.jpg,saigakutaiso,https://www.ebay.com/usr/saigakutaiso?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2021 20:54:24 PDT"
item1d106c8a3b,"VINTAGE Fukagawa China  Arita  900P Round Serving BOWL 10"" Platinum Trim Japan",https://www.ebay.com/itm/124829600315?hash=item1d106c8a3b:g:oGgAAOSwjUVhAeK-,$30.00,"Victorville, California, United States",https://i.ebayimg.com/thumbs/images/g/oGgAAOSwjUVhAeK-/s-l225.jpg,capricornalley,https://www.ebay.com/usr/capricornalley?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b1cb61712,VINTAGE SET 4 Fukagawa China  Arita BERRY BOWLS Platinum Trim  Japan,https://www.ebay.com/itm/322604242706?hash=item4b1cb61712:g:pAQAAOSwF6dZcVyF,$24.95,"Hutchinson, Kansas, United States",https://i.ebayimg.com/thumbs/images/g/pAQAAOSwF6dZcVyF/s-l225.jpg,sunsettraders,https://www.ebay.com/usr/sunsettraders?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2017 17:19:03 PDT"
item4b1cb5fcf2,"VINTAGE Fukagawa China  Arita  OVAL SERVING BOWL 10.5"" Platinum Trim  Japan",https://www.ebay.com/itm/322604236018?hash=item4b1cb5fcf2:g:9pAAAOSwdLJZcVqL,$19.95,"Hutchinson, Kansas, United States",https://i.ebayimg.com/thumbs/images/g/9pAAAOSwdLJZcVqL/s-l225.jpg,sunsettraders,https://www.ebay.com/usr/sunsettraders?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2017 17:19:09 PDT"
item58fb337a5e,"VINTAGE Fukagawa China  Arita ROUND SERVING BOWL 9.25"" Platinum Trim  Japan",https://www.ebay.com/itm/382171576926?hash=item58fb337a5e:g:wiwAAOSwAtFZcVuf,$19.95,"Hutchinson, Kansas, United States",https://i.ebayimg.com/thumbs/images/g/wiwAAOSwAtFZcVuf/s-l225.jpg,sunsettraders,https://www.ebay.com/usr/sunsettraders?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2017 17:19:07 PDT"
item5b9f755c17,4x Fukagawa Hand Painted Plates,https://www.ebay.com/itm/393517292567?hash=item5b9f755c17:g:bqEAAOSwz01hHa8x,$570.00,"Arroyo Grande, California, United States",https://i.ebayimg.com/thumbs/images/g/bqEAAOSwz01hHa8x/s-l225.jpg,2ffdc57,https://www.ebay.com/usr/2ffdc57?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 30, 2021 01:54:11 PDT"
item2f548a0990,Japanese Arita Arita-ware Peony round platter w bowls blue & white press pattern,https://www.ebay.com/itm/203281795472?hash=item2f548a0990:g:JnsAAOSwc6VgIak8,$24.99,"Islip, New York, United States",https://i.ebayimg.com/thumbs/images/g/JnsAAOSwc6VgIak8/s-l225.jpg,in-kredible,https://www.ebay.com/usr/in-kredible?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 17, 2021 13:19:57 PDT"
