id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item4dba4611d8,"colores doble punta punta de pincel marcador 100 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/333837636056?hash=item4dba4611d8:g:RHUAAOSwePdf5FwB,$45.56,"Denver, Colorado, United States",https://i.ebayimg.com/thumbs/images/g/RHUAAOSwePdf5FwB/s-l225.jpg,ventas_mejores,https://www.ebay.com/usr/ventas_mejores?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 28, 2021 00:24:12 PDT"
item46c76159af,"Cone abrasive, Sapphire Punta, Punta, for Natural Nails and Skin",https://www.ebay.com/itm/303992756655?hash=item46c76159af:g:T08AAOSwRLZUIBKy,$19.27,"Bremen, Germany",https://i.ebayimg.com/thumbs/images/g/T08AAOSwRLZUIBKy/s-l225.jpg,cliniccare,https://www.ebay.com/usr/cliniccare?_trksid=p2047675.l2559,Instant,0,0,5,"Aug 10, 2021 10:52:46 PDT"
item343695e2cb,"colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/224254091979?hash=item343695e2cb:g:MtMAAOSwGLVfwfik,$33.27,"Riverside, California, United States",https://i.ebayimg.com/thumbs/images/g/MtMAAOSwGLVfwfik/s-l225.jpg,mercado.online,https://www.ebay.com/usr/mercado.online?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 05, 2021 09:23:03 PDT"
item4b87e70f9f,"Colores Doble Punta, Punta de Pincel Marcador 72 Fineliner de Arte 0.4 mm...",https://www.ebay.com/itm/324402614175?hash=item4b87e70f9f:g:958AAOSwOERfyFen,$31.98,"Hialeah, Florida, United States",https://i.ebayimg.com/thumbs/images/g/958AAOSwOERfyFen/s-l225.jpg,mercados_dbn,https://www.ebay.com/usr/mercados_dbn?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 14, 2021 02:52:32 PDT"
item448828e4b5,Onwon Selector de diamantes de imitación de uñas de doble punta punta de cera...,https://www.ebay.com/itm/294342157493?hash=item448828e4b5:g:-7wAAOSwyzVhHEAt,$8.83,"Phoenix, AZ, United States",https://i.ebayimg.com/thumbs/images/g/-7wAAOSwyzVhHEAt/s-l225.jpg,robman_1940,https://www.ebay.com/usr/robman_1940?_trksid=p2047675.l2559,Instant,0,0,Last one,"Aug 29, 2021 07:53:33 PDT"
item3d9b40ef12,Mechanical tools to clip tip connectors-Insulating tip 0.5 - 6 mqm,https://www.ebay.com/itm/264597729042?hash=item3d9b40ef12:g:hi8AAOSw5AZfLTE6,$288.85,"Reggello, Italy",https://i.ebayimg.com/thumbs/images/g/hi8AAOSw5AZfLTE6/s-l225.jpg,errebishop_com,https://www.ebay.com/usr/errebishop_com?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 30, 2021 05:59:23 PDT"
item5dc80ae892,"GC 72 colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm",https://www.ebay.com/itm/402788116626?hash=item5dc80ae892:g:W4gAAOSw0FRfrfG6,$47.83,"Bell, California, United States",https://i.ebayimg.com/thumbs/images/g/W4gAAOSw0FRfrfG6/s-l225.jpg,tapnhamstore,https://www.ebay.com/usr/tapnhamstore?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 16, 2021 18:16:06 PDT"
item46c91a7080,72253420 Natural _ del _ Este extremo de La Punta del Este Punta del Este _ del _ Este,https://www.ebay.com/itm/304021663872?hash=item46c91a7080:g:dtIAAOSwKPFgunMJ,$5.48,"79576, Germany",https://i.ebayimg.com/thumbs/images/g/dtIAAOSwKPFgunMJ/s-l225.jpg,my_postales,https://www.ebay.com/usr/my_postales?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item5dd60ed97f,"colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/403023255935?hash=item5dd60ed97f:g:ck4AAOSwmAhg~9rH,$31.99,"Tallahassee, Florida, United States",https://i.ebayimg.com/thumbs/images/g/ck4AAOSwmAhg~9rH/s-l225.jpg,antzahra_0,https://www.ebay.com/usr/antzahra_0?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 30, 2021 09:10:35 PDT"
item5ba043aba2,"Colores Doble Punta, Punta de Pincel Marcador 72 Fineliner de Arte 0.4 mm...",https://www.ebay.com/itm/393530813346?hash=item5ba043aba2:g:GokAAOSwfKJhJbcL,$30.99,"Birmingham, Alabama, United States",https://i.ebayimg.com/thumbs/images/g/GokAAOSwfKJhJbcL/s-l225.jpg,mashep9547,https://www.ebay.com/usr/mashep9547?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item524c3d268b,Pentel brush Sign Pen ses15c-Brush Punta-Fibre Tip - 24 colours,https://www.ebay.com/itm/353466394251?hash=item524c3d268b:g:q70AAOSw5RRe6I6E,$4.75 to $69.25,"Colchester, United Kingdom",https://i.ebayimg.com/thumbs/images/g/q70AAOSw5RRe6I6E/s-l225.jpg,omghowcheap,https://www.ebay.com/usr/omghowcheap?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 24, 2021 00:47:38 PDT"
item5dd626df9f,"colores doble punta punta de pincel marcador 100 colores de arte 0,4 mm.",https://www.ebay.com/itm/403024830367?hash=item5dd626df9f:g:45EAAOSw5FZhAMCw,$50.98,"Massapequa, New York, United States",https://i.ebayimg.com/thumbs/images/g/45EAAOSw5FZhAMCw/s-l225.jpg,carliepe79,https://www.ebay.com/usr/carliepe79?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 17, 2021 22:43:12 PDT"
item3b17fe28b1,Diamond engraver tip point for Dremel 290 9929 tool,https://www.ebay.com/itm/253805602993?hash=item3b17fe28b1:g:U6gAAOSw2vdba0qq,$15.53,"leicester, Leicestershire, United Kingdom",https://i.ebayimg.com/thumbs/images/g/U6gAAOSw2vdba0qq/s-l225.jpg,dnsonstoolsuk,https://www.ebay.com/usr/dnsonstoolsuk?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jul 09, 2019 07:06:13 PDT"
item5944e65a5c,Aidetek tip stainless steel needle tip multimeter probe test leads 4,https://www.ebay.com/itm/383408036444?hash=item5944e65a5c:g:OD8AAOSwuwRYLLvs,$11.77,"NJ or CA, United States",https://i.ebayimg.com/thumbs/images/g/OD8AAOSwuwRYLLvs/s-l225.jpg,smtzone,https://www.ebay.com/usr/smtzone?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Oct 18, 2020 15:38:58 PDT"
item42123371b8,Needle with Punta Punta multimeter probes test leads fluke tester 600v 1a 4mm Socket R,https://www.ebay.com/itm/283773202872?hash=item42123371b8:g:7xoAAOSwlMFZLRiy,$17.38,"NJ or CA, United States",https://i.ebayimg.com/thumbs/images/g/7xoAAOSwlMFZLRiy/s-l225.jpg,smtzone,https://www.ebay.com/usr/smtzone?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Apr 16, 2021 14:27:20 PDT"
item448692f072,"Saint Laurent Black Punta Punta Round Boots, UK 6 US 9 EU 39",https://www.ebay.com/itm/294315552882?hash=item448692f072:g:ZVsAAOSwKfBhC-~3,$212.14,"London, United Kingdom",https://i.ebayimg.com/thumbs/images/g/ZVsAAOSwKfBhC-~3/s-l225.jpg,haute-boutique,https://www.ebay.com/usr/haute-boutique?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 21, 2021 08:32:25 PDT"
item4212338d25,1mm Small Thin Needle with Punta Punta Multimeter Probes Test Leads for Fluke,https://www.ebay.com/itm/283773209893?hash=item4212338d25:g:TcEAAOSwrQRZriBW,$14.52,"NJ or CA, United States",https://i.ebayimg.com/thumbs/images/g/TcEAAOSwrQRZriBW/s-l225.jpg,smtzone,https://www.ebay.com/usr/smtzone?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Mar 15, 2020 09:51:24 PDT"
item56ef5611bb,"colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/373382582715?hash=item56ef5611bb:g:3bcAAOSw8MRfzuX-,$40.50,"Texas, United States",https://i.ebayimg.com/thumbs/images/g/3bcAAOSw8MRfzuX-/s-l225.jpg,ki-82813,https://www.ebay.com/usr/ki-82813?_trksid=p2047675.l2559,Instant,0,0,3,"Jan 12, 2021 19:35:53 PST"
item596b5e382f,"colores doble punta punta de pincel marcador 100 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/384053426223?hash=item596b5e382f:g:~YMAAOSwy7pgWbsR,$50.47,"Fort Myers, Florida, United States",https://i.ebayimg.com/thumbs/images/g/~YMAAOSwy7pgWbsR/s-l225.jpg,casseym0,https://www.ebay.com/usr/casseym0?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 29, 2021 01:35:01 PDT"
item448812e205,JUEGO PUNTA PUNTA FINAL INDICADOR DIGITAL / DIAL TÜRLEN Premium de 22 piezas,https://www.ebay.com/itm/294340715013?epid=5037962893&hash=item448812e205:g:rhwAAOSw7LthGzOd,$11.50,"US, United States",https://i.ebayimg.com/thumbs/images/g/rhwAAOSw7LthGzOd/s-l225.jpg,all.bargains.shop8,https://www.ebay.com/usr/all.bargains.shop8?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 18, 2021 12:05:57 PDT"
item1cff1bb55a,"ROTHENBERGER Industrial Soldering Iron 230 V 15 w shape to Punta, Tip 1500000544",https://www.ebay.com/itm/124539090266?epid=3012326174&hash=item1cff1bb55a:g:g8EAAOSwG3tgCeM3,$34.65,"Cabonara di Nola, Italy",https://i.ebayimg.com/thumbs/images/g/g8EAAOSwG3tgCeM3/s-l225.jpg,eeemarket,https://www.ebay.com/usr/eeemarket?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 30, 2021 13:19:00 PDT"
item5944e65e06,Aidetek stainless steel needle with Punta Punta Multimeter Probes Test Leads 4 Fluke,https://www.ebay.com/itm/383408037382?hash=item5944e65e06:g:OD8AAOSwuwRYLLvs,$8.38,"NJ or CA, United States",https://i.ebayimg.com/thumbs/images/g/OD8AAOSwuwRYLLvs/s-l225.jpg,smtzone,https://www.ebay.com/usr/smtzone?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Mar 15, 2020 23:10:37 PDT"
item3432ca8572,Pa-851 - Postcard SAUZE d' oulx Torino Piedmont Punta Punta Sommelier,https://www.ebay.com/itm/224190432626?hash=item3432ca8572:g:8gUAAOSw-wJfg1nm,$23.57,"TORINO, Italy",https://i.ebayimg.com/thumbs/images/g/8gUAAOSw-wJfg1nm/s-l225.jpg,collezionare900,https://www.ebay.com/usr/collezionare900?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item5dd6bc7064,"colores doble punta punta de pincel marcador 100 colores de arte 0,4 mm.",https://www.ebay.com/itm/403034632292?hash=item5dd6bc7064:g:gaUAAOSwF59hBhHA,$46.99,"Collinsville, Illinois, United States",https://i.ebayimg.com/thumbs/images/g/gaUAAOSwF59hBhHA/s-l225.jpg,bresha-482,https://www.ebay.com/usr/bresha-482?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item446b553c6b,"ROTHENBERGER Industrial Stylus Soldering 230 V 25 w shape to Punta, Tip 35951",https://www.ebay.com/itm/293858524267?hash=item446b553c6b:g:C9UAAOSwIUBfwC4y,$33.12,"Cabonara di Nola, Italy",https://i.ebayimg.com/thumbs/images/g/C9UAAOSwIUBfwC4y/s-l225.jpg,eeemarket,https://www.ebay.com/usr/eeemarket?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 30, 2021 13:19:00 PDT"
item3d6fc42253,Dremel Carbide tip engraving tip for 290 tool 9924 solid carbide (2),https://www.ebay.com/itm/263868129875?hash=item3d6fc42253:g:yqIAAOSwAwVbybXg,$7.88,"leicester, Leicestershire, United Kingdom",https://i.ebayimg.com/thumbs/images/g/yqIAAOSwAwVbybXg/s-l225.jpg,dnsonstoolsuk,https://www.ebay.com/usr/dnsonstoolsuk?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 25, 2019 16:54:20 PDT"
item5dd0c15c72,"Colores Doble Punta, Punta de Pincel Marcador 72 Fineliner de Arte 0.4 mm...",https://www.ebay.com/itm/402934291570?hash=item5dd0c15c72:g:pzUAAOSwI8dgz2pE,$36.99,"Collinsville, Illinois, United States",https://i.ebayimg.com/thumbs/images/g/pzUAAOSwI8dgz2pE/s-l225.jpg,bresha-482,https://www.ebay.com/usr/bresha-482?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b0b1f3cfb,"4 Needle Needles tatting DMC without Punta Round Toe cm 12,50 3 - 5 - 7 - 8.",https://www.ebay.com/itm/253589667067?hash=item3b0b1f3cfb:g:ZesAAOSwpiFa5FAT,$4.71,"Miglianico, Italy",https://i.ebayimg.com/thumbs/images/g/ZesAAOSwpiFa5FAT/s-l225.jpg,all-buyers2,https://www.ebay.com/usr/all-buyers2?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 25, 2021 08:47:32 PST"
item4905edb372,"colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/313632076658?hash=item4905edb372:g:vCcAAOSw7yVhEPo1,$29.99,"West Palm Beach, Florida, United States",https://i.ebayimg.com/thumbs/images/g/vCcAAOSw7yVhEPo1/s-l225.jpg,bakshim_86,https://www.ebay.com/usr/bakshim_86?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item49008c8f71,"colores doble punta punta de pincel marcador 72 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/313541824369?hash=item49008c8f71:g:SbkAAOSwUPFgrKnX,$30.58,"Eatontown, New Jersey, United States",https://i.ebayimg.com/thumbs/images/g/SbkAAOSwUPFgrKnX/s-l225.jpg,chubee_81,https://www.ebay.com/usr/chubee_81?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 29, 2021 01:55:19 PDT"
item4905171376,"colores doble punta punta de pincel marcador 100 marcadores de arte 0,4 mm.",https://www.ebay.com/itm/313618010998?hash=item4905171376:g:J9UAAOSw9ethAD8M,$46.99,"West Palm Beach, Florida, United States",https://i.ebayimg.com/thumbs/images/g/J9UAAOSw9ethAD8M/s-l225.jpg,bakshim_86,https://www.ebay.com/usr/bakshim_86?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46477bab8d,Staedtler Marsmatic 750 0.5mm 750 m05 Punta Punta BOCETOS Punta para 700,https://www.ebay.com/itm/301846997901?hash=item46477bab8d:g:ZLMAAOxycD9TXNnM,$12.10,"Bristol, Avon, United Kingdom",https://i.ebayimg.com/thumbs/images/g/ZLMAAOxycD9TXNnM/s-l225.jpg,plot-it-uk,https://www.ebay.com/usr/plot-it-uk?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Nov 28, 2018 19:58:40 PST"
