id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item54a3a38844,CHARAXES BERNARDUS BALIENSIS MALE FROM BALI ISL.,https://www.ebay.com/itm/363522656324?hash=item54a3a38844:g:PRsAAOSwGENhKjsl,$1.25,"Munich, Germany",https://i.ebayimg.com/thumbs/images/g/PRsAAOSwGENhKjsl/s-l225.jpg,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2b13b01211,Nymphalidae. 12 x Charaxes bernardus repetitus. West Kalimantan,https://www.ebay.com/itm/185013899793?hash=item2b13b01211:g:ShAAAOSwWyBhJGiQ,$10.00,"Jakarta, Indonesia",https://i.ebayimg.com/thumbs/images/g/ShAAAOSwWyBhJGiQ/s-l225.jpg,batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 29, 2021 17:06:31 PDT"
item3b63abf4fa,"Unmounted Butterfly / Nymphalidae - Charaxes bernardus hierax, male, A-",https://www.ebay.com/itm/255075284218?hash=item3b63abf4fa:g:7JUAAOSwyDlhCBV0,$1.35,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/7JUAAOSwyDlhCBV0/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 27, 2021 07:17:33 PDT"
item56c39d6ba4,BUTTERFLY -Charaxes bernardus crepax (m) aka Twany Rajah Butterfly (30-11)-M'sia,https://www.ebay.com/itm/372649061284?hash=item56c39d6ba4:g:lvsAAOSwsB9WA~Wb,$4.98,"KUALA LUMPUR, Malaysia",https://i.ebayimg.com/thumbs/images/g/lvsAAOSwsB9WA~Wb/s-l225.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 09, 2021 02:41:22 PDT"
item23c65caa44,N12292. Unmounted butterflies: Charaxes bernardus. South Vietnam.,https://www.ebay.com/itm/153651817028?hash=item23c65caa44:g:5hQAAOSwhABdeeyo,$14.00,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/5hQAAOSwhABdeeyo/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 10, 2020 20:45:50 PDT"
item56c529a4a2,N7748. Unmounted butterflies: Charaxes bernardus. South Vietnam.,https://www.ebay.com/itm/372675028130?hash=item56c529a4a2:g:Zq4AAOSwAWNcgOEq,$15.00,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/Zq4AAOSwAWNcgOEq/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 10, 2020 21:01:30 PDT"
item23c65caa30,N12091. Unmounted butterflies: Charaxes bernardus. South Vietnam.,https://www.ebay.com/itm/153651817008?hash=item23c65caa30:g:3YIAAOSwF0xdefSi,$14.00,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/3YIAAOSwF0xdefSi/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 10, 2020 20:46:59 PDT"
item56cb512c32,N12118. Unmounted butterflies: Charaxes bernardus. South Vietnam.,https://www.ebay.com/itm/372778282034?hash=item56cb512c32:g:UXUAAOSwOOpdefRm,$11.00,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/UXUAAOSwOOpdefRm/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 10, 2020 21:27:04 PDT"
item4b5e27c55b,COLLECTION unmounted butterfly Nymphalidae charaxes bernardus CHINA A1,https://www.ebay.com/itm/323702211931?hash=item4b5e27c55b:g:~9YAAOSwYkJcbNcd,$1.49,"mainland, China",https://i.ebayimg.com/thumbs/images/g/~9YAAOSwYkJcbNcd/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,7,"May 07, 2020 00:42:09 PDT"
item56c30ab7f6,"N5668. Butterflies: Charaxes bernardus, Nymphalidae sp South Viet Nam",https://www.ebay.com/itm/372639447030?hash=item56c30ab7f6:g:HbAAAOSwsW9Y2htN,$15.00,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/HbAAAOSwsW9Y2htN/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 10, 2020 20:52:42 PDT"
item23de3dab24,N1877. Unmounted butterfly. Charaxes bernardus. South Vietnam. Female,https://www.ebay.com/itm/154052438820?hash=item23de3dab24:g:ih0AAOSwh5JfM6Rz,$4.50,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/ih0AAOSwh5JfM6Rz/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 30, 2021 03:14:18 PDT"
item56e1c5490e,N7789. Unmounted butterfly. Charaxes bernardus. South Vietnam. Female,https://www.ebay.com/itm/373154990350?hash=item56e1c5490e:g:ZL4AAOSwm8ZfM6Ut,$12.50,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/ZL4AAOSwm8ZfM6Ut/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 30, 2021 02:53:17 PDT"
item23de3dab07,N2183. Unmounted butterfly: Charaxes bernardus. South Vietnam. Female,https://www.ebay.com/itm/154052438791?hash=item23de3dab07:g:KkkAAOSwm0BfM6dS,$6.50,"Forest, Vietnam",https://i.ebayimg.com/thumbs/images/g/KkkAAOSwm0BfM6dS/s-l225.jpg,vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 30, 2021 03:14:24 PDT"
