id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item28700129fe,"Bog Bilberry, Bog Blueberry (Vaccinium uliginosum) 300 seeds",https://www.ebay.com/itm/173677816318?hash=item28700129fe:g:dx4AAOSwT2BcCLy2,$4.30,"630051, Russian Federation, Novosibirsk, Russian Federation",https://i.ebayimg.com/thumbs/images/g/dx4AAOSwT2BcCLy2/s-l225.jpg,kirsanovss,https://www.ebay.com/usr/kirsanovss?_trksid=p2047675.l2559,Instant,0,0,13 lots (300 items per lot),"Aug 12, 2021 22:29:48 PDT"
item2158681dea,"Rush Berry (Vaccinium uliginosum), also trunkelbeere Thome Lithograph 1890",https://www.ebay.com/itm/143217139178?hash=item2158681dea:g:-FAAAOSw~o5aYLIR,$11.73,"Buchhorst , Germany",https://i.ebayimg.com/thumbs/images/g/-FAAAOSw~o5aYLIR/s-l225.jpg,ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 04, 2021 08:10:31 PST"
item52541e3f79,Antique Print Vaccinium Uliginosum Smith Sowerby 1847 British Plants Botany,https://www.ebay.com/itm/353598586745?hash=item52541e3f79:g:v4IAAOSwKcJhBCKU,$20.62,"HR6 9HY, United Kingdom",https://i.ebayimg.com/thumbs/images/g/v4IAAOSwKcJhBCKU/s-l225.jpg,prints-4-all,https://www.ebay.com/usr/prints-4-all?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56c41294b1,Rush Berry-Vaccinium uliginosum colour printing of 1960 trunkelbeere Fog Berry,https://www.ebay.com/itm/372656739505?hash=item56c41294b1:g:3MwAAOSwymxVO3CO,$10.02,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/3MwAAOSwymxVO3CO/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,2,"Jul 09, 2021 05:07:44 PDT"
item2158681d2a,Rush Berry-Vaccinium uliginosum Swamp-Bilberry Color Printing 1959,https://www.ebay.com/itm/143217138986?hash=item2158681d2a:g:8~0AAOSwIcdZcG3P,$9.43,"Buchhorst, Germany",https://i.ebayimg.com/thumbs/images/g/8~0AAOSwIcdZcG3P/s-l225.jpg,ropi1958,https://www.ebay.com/usr/ropi1958?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 06, 2021 02:57:29 PDT"
item56c4128fe2,Rush Berry-Vaccinium uliginosum colour printing of 1960 trunkelbeere Moor Berry,https://www.ebay.com/itm/372656738274?hash=item56c4128fe2:g:g58AAMXQvEtQ4Il2,$10.02,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/g58AAMXQvEtQ4Il2/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,2,"Jul 09, 2021 05:07:36 PDT"
item265113d7d8,Offset printing 1960: Rush Berry Vaccinium uliginosum L. Trees Shrubs,https://www.ebay.com/itm/164569012184?hash=item265113d7d8:g:6poAAOSwokBfIz5j,$17.67,"Leipzig, Germany",https://i.ebayimg.com/thumbs/images/g/6poAAOSwokBfIz5j/s-l225.jpg,allesauspaper,https://www.ebay.com/usr/allesauspaper?_trksid=p2047675.l2559,Instant,0,0,1,"Apr 10, 2021 07:00:39 PDT"
item3aa3124552,Blueberry seeds Canadian nectar Голубика Vaccinium uliginosum 20 seeds,https://www.ebay.com/itm/251843986770?hash=item3aa3124552:g:XUwAAOSwNSxU4xMt,$4.74,"Europe, Ukraine",https://i.ebayimg.com/thumbs/images/g/XUwAAOSwNSxU4xMt/s-l225.jpg,andreir83,https://www.ebay.com/usr/andreir83?_trksid=p2047675.l2559,Instant,0,0,9,"Aug 17, 2021 05:54:22 PDT"
item486bfe0b82,Moor Blueberry Vaccinium uliginosum L. ALPINE Peat Alpine flora 298 Framed,https://www.ebay.com/itm/311049456514?hash=item486bfe0b82:g:baEAAOSwEK9T6x3d,$35.12,"Grabenstätt, Germany",https://i.ebayimg.com/thumbs/images/g/baEAAOSwEK9T6x3d/s-l225.jpg,billerantik,https://www.ebay.com/usr/billerantik?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 04:14:35 PDT"
item486bfe0b7e,"Moor Blueberry Vaccinium uliginosum L. Alpine region, Peat Alpine flora 298",https://www.ebay.com/itm/311049456510?hash=item486bfe0b7e:g:yD0AAOSwnDZT6x3Y,$17.44,"Grabenstätt, Germany",https://i.ebayimg.com/thumbs/images/g/yD0AAOSwnDZT6x3Y/s-l225.jpg,billerantik,https://www.ebay.com/usr/billerantik?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 04:14:32 PDT"
item19f8a81b76,1860 Dietrich-Forestry Plants Marsh Blueberry-Vaccinium uliginosum #59,https://www.ebay.com/itm/111545949046?hash=item19f8a81b76:g:dwsAAOSwD0lUij5y,$46.55,"DE, Germany",https://i.ebayimg.com/thumbs/images/g/dwsAAOSwD0lUij5y/s-l225.jpg,nordseeflunder,https://www.ebay.com/usr/nordseeflunder?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 16, 2015 15:34:48 PST"
