id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2d0395dbf9,Anaea fabius (Consul fabius) Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/193333681145?hash=item2d0395dbf9:g:o0EAAOSwq1NeO36m,$3.80,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/thumbs/images/g/o0EAAOSwq1NeO36m/s-l225.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item46c0e06bd6,"Consul Fabius albinotatus *** times *** COLOMBIA (papered, not pinned)",https://www.ebay.com/itm/303883643862?hash=item46c0e06bd6:g:qRkAAOSw-HlgJrIc,$15.20,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/qRkAAOSw-HlgJrIc/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,4,"Feb 12, 2021 08:51:49 PST"
item46c0e0708e,Consul Fabius albinotatus *** Female No 1 *** Colombia,https://www.ebay.com/itm/303883645070?hash=item46c0e0708e:g:KCAAAOSw0sxgLk3f,$15.20,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/KCAAAOSw0sxgLk3f/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Feb 18, 2021 03:23:39 PST"
item3b63b480b1,"MOUNTED SPREAD BUTTERFLY - Consul fabius bogotanus 1, male, Venezuela",https://www.ebay.com/itm/255075844273?hash=item3b63b480b1:g:oIkAAOSwWo1hCK05,$31.08,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/oIkAAOSwWo1hCK05/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2021 07:17:56 PDT"
item52538af36c,Entomology nymphalidae consul Fabius male peru-trigo maria,https://www.ebay.com/itm/353588933484?hash=item52538af36c:g:C6QAAOSwp-9g6WO~,$11.79,"Trosly-Breuil, France",https://i.ebayimg.com/thumbs/images/g/C6QAAOSwp-9g6WO~/s-l225.jpg,hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1ac2f3117c,Butterfly Consul fabius Botanical Herbarium Insect Nymphalidae Butterflies,https://www.ebay.com/itm/114939859324?hash=item1ac2f3117c:g:hksAAOSwyt9e2~f5,$18.00,"Europe, Ukraine",https://i.ebayimg.com/thumbs/images/g/hksAAOSwyt9e2~f5/s-l225.jpg,galochka-4,https://www.ebay.com/usr/galochka-4?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46a68686d6,Consul Fabius Cecrops * FEMALE * Costa Rica (unmounted),https://www.ebay.com/itm/303441544918?hash=item46a68686d6:g:qo8AAOSwzF9fDDe2,$17.56,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/qo8AAOSwzF9fDDe2/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,10,"Jan 03, 2021 09:24:34 PST"
item3b63abf42e,"MOUNTED SPREAD BUTTERFLY - Consul fabius bogotanus 2, male, Venezuela",https://www.ebay.com/itm/255075284014?hash=item3b63abf42e:g:ik0AAOSwgNNhCBVk,$31.06,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/ik0AAOSwgNNhCBVk/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 27, 2021 07:17:35 PDT"
item4451255dc3,"Consul Fabius diffusus * MALE * Ecuador, Napo (Unmounted/papered)",https://www.ebay.com/itm/293419179459?hash=item4451255dc3:g:ggAAAOSwtbBbZeHb,$47.03,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/ggAAAOSwtbBbZeHb/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,"Feb 06, 2021 12:06:32 PST"
item46a6869829,Consul Fabius Cecrops * PAIR * Costa Rica (unmounted),https://www.ebay.com/itm/303441549353?hash=item46a6869829:g:aCgAAOSwHHFY9333,$23.45,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/aCgAAOSwHHFY9333/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,10,"Jan 03, 2021 09:24:30 PST"
item4474fda112,Consul Fabius albinotatus *** Female No 2 *** Colombia,https://www.ebay.com/itm/294020555026?hash=item4474fda112:g:eSkAAOSw5FxgLk9c,$21.10,"Casares Costa (Malaga), Spain",https://i.ebayimg.com/thumbs/images/g/eSkAAOSw5FxgLk9c/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,3,Unknown
item4480ff40db,"Consul Fabius diffusus *** Female *** Napo, Ecuador",https://www.ebay.com/itm/294221988059?hash=item4480ff40db:g:MI4AAOSwVFxgw3FA,$57.75,"Miami Playa(Tarragona), Spain",https://i.ebayimg.com/thumbs/images/g/MI4AAOSwVFxgw3FA/s-l225.jpg,homerus61,https://www.ebay.com/usr/homerus61?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 11, 2021 07:21:51 PDT"
item447c9ec746,"Butterfly (Consul fabius drurii) Brazil 2008 Mi 3552, WAD 030.08, RHM 2750",https://www.ebay.com/itm/294148556614?hash=item447c9ec746:g:qvwAAOSw10Fd08-L,$0.99,"Curitiba, Brazil",https://i.ebayimg.com/thumbs/images/g/qvwAAOSw10Fd08-L/s-l225.jpg,rpasqual,https://www.ebay.com/usr/rpasqual?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 24, 2021 04:51:13 PDT"
item44834e53e2,Card image consul Fabius tiger leafwing mexico brazil butterfly butterfly 1964,https://www.ebay.com/itm/294260724706?hash=item44834e53e2:g:JvEAAOSwG3ldfJjG,$5.88,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/JvEAAOSwG3ldfJjG/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item44833690bb,Nymphalidae protogonius Cecrops consul Fabius butterfly butterfly image card,https://www.ebay.com/itm/294259167419?hash=item44833690bb:g:OxcAAOSwm-BdXU8W,$5.88,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/OxcAAOSwm-BdXU8W/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
