id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item46b7cf878b,Arugula Rocket Seeds (Eruca vesicaria),https://www.ebay.com/itm/303731541899?hash=item46b7cf878b:g:VEIAAOSw6Ahfi8fP,$0.99,"North Hollywood, California, United States",https://i.ebayimg.com/thumbs/images/g/VEIAAOSw6Ahfi8fP/s-l225.jpg,gothicserpent,https://www.ebay.com/usr/gothicserpent?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 17, 2021 13:46:26 PDT"
item344a073965,"Roquette Arugula (Eruca vesicaria var. sativa), or ""Rocket Arugula"" Seeds",https://www.ebay.com/itm/224580286821?hash=item344a073965:g:0H0AAOSwj0NhIEMo,$3.00,"Baldwin City, Kansas, United States",https://i.ebayimg.com/thumbs/images/g/0H0AAOSwj0NhIEMo/s-l225.jpg,ra_goods,https://www.ebay.com/usr/ra_goods?_trksid=p2047675.l2559,Instant,0,0,4,Unknown
item23a5b51dd1,"Arugula Rocket (Roquette) Eruca vesicaria sativa   10,000 seeds",https://www.ebay.com/itm/153103965649?hash=item23a5b51dd1:g:TB8AAOSwzUVc9o7x,$19.59,"Deford, Michigan, United States",https://i.ebayimg.com/thumbs/images/g/TB8AAOSwzUVc9o7x/s-l225.jpg,jhazz1,https://www.ebay.com/usr/jhazz1?_trksid=p2047675.l2559,Instant,0,0,5,"May 28, 2021 10:05:35 PDT"
item23a14d41ff,"Arugula Rocket (Roquette) Eruca vesicaria sativa    5,000 seeds",https://www.ebay.com/itm/153030050303?hash=item23a14d41ff:g:bawAAOSwm49c9o7T,$13.86,"Deford, Michigan, United States",https://i.ebayimg.com/thumbs/images/g/bawAAOSwm49c9o7T/s-l225.jpg,jhazz1,https://www.ebay.com/usr/jhazz1?_trksid=p2047675.l2559,Instant,0,0,5,"Jul 06, 2021 14:35:45 PDT"
item23faccd147,Arugula / roquette (Eruca vesicaria subspecies sativa) 1 gram Seeds for planting,https://www.ebay.com/itm/154531582279?hash=item23faccd147:g:OQIAAOSwFOtg8BZ4,$6.99,"Staten Island, New York, United States",https://i.ebayimg.com/thumbs/images/g/OQIAAOSwFOtg8BZ4/s-l225.jpg,iqmu01,https://www.ebay.com/usr/iqmu01?_trksid=p2047675.l2559,Instant,0,0,10,Unknown
item23fa546e0c,Arugula Red Vein Eruca vesicaria sativa    250 seeds,https://www.ebay.com/itm/154523692556?hash=item23fa546e0c:g:Q~kAAOSwP0Rg52o4,$15.21,"Portland, Tennessee, United States",https://i.ebayimg.com/thumbs/images/g/Q~kAAOSwP0Rg52o4/s-l225.jpg,jhazz1,https://www.ebay.com/usr/jhazz1?_trksid=p2047675.l2559,Instant,0,0,5,"Jul 31, 2021 14:41:32 PDT"
item23fa546e10,"Arugula Red Vein Eruca vesicaria sativa   1,000 seeds",https://www.ebay.com/itm/154523692560?hash=item23fa546e10:g:VFQAAOSw0Otg52o5,$34.70,"Portland, Tennessee, United States",https://i.ebayimg.com/thumbs/images/g/VFQAAOSw0Otg52o5/s-l225.jpg,jhazz1,https://www.ebay.com/usr/jhazz1?_trksid=p2047675.l2559,Instant,0,0,5,"Jul 31, 2021 14:41:22 PDT"
item1ef8c0a6a1,Fatty acids erucic vesicaria subsp. Sativa-Garden-senfrauke Thome Lithograph 1886,https://www.ebay.com/itm/133022394017?hash=item1ef8c0a6a1:g:EesAAOSw4UtWRPJz,$10.02,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/EesAAOSw4UtWRPJz/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Jul 08, 2021 10:51:07 PDT"
item2af5c30513,Wild Rocket - Rucola - Arugula - Eruca vesicaria -50+ seeds - Graines - Semillas,https://www.ebay.com/itm/184511825171?hash=item2af5c30513:g:gQoAAOSwhodfmyp~,$1.99,"Fót, Hungary",https://i.ebayimg.com/thumbs/images/g/gQoAAOSwhodfmyp~/s-l225.jpg,valeyracexotics,https://www.ebay.com/usr/valeyracexotics?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 26, 2021 07:54:03 PDT"
item2b112dc1dd,Wild Rocket - Rucola - Arugula - Eruca vesicaria -25+ seeds - Graines - Semillas,https://www.ebay.com/itm/184971805149?hash=item2b112dc1dd:g:gQoAAOSwhodfmyp~,$1.59,"Fót, Hungary",https://i.ebayimg.com/thumbs/images/g/gQoAAOSwhodfmyp~/s-l225.jpg,valeyracexotics,https://www.ebay.com/usr/valeyracexotics?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 26, 2021 07:54:11 PDT"
