id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2f60ca9b9b,Yujin Figure Butterfly Common Jay Graphium doson  import Japan,https://www.ebay.com/itm/203487353755?hash=item2f60ca9b9b:g:iqAAAOSwVopc-iRA,$14.99,"Kobe-shi, Hyogo-ken, Japan",https://i.ebayimg.com/thumbs/images/g/iqAAAOSwVopc-iRA/s-l225.jpg,kobe_one,https://www.ebay.com/usr/kobe_one?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 09, 2021 02:16:57 PDT"
item421e31fec0,collection unmounted butterfly Graphium doson postianum CHINA A1,https://www.ebay.com/itm/283974434496?hash=item421e31fec0:g:NukAAOSwKXFbMach,$1.29,"beijing, China",https://i.ebayimg.com/thumbs/images/g/NukAAOSwKXFbMach/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 07, 2021 03:47:21 PST"
item48db340a7e,collection 10 PCS unmounted butterfly Graphium doson postianum  CHINA A1  A1-,https://www.ebay.com/itm/312915266174?hash=item48db340a7e:g:NukAAOSwKXFbMach,$9.90,"beijing, China",https://i.ebayimg.com/thumbs/images/g/NukAAOSwKXFbMach/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,5,"Jan 07, 2021 03:51:12 PST"
item4b86c07b2d,COLLECTION unmounted butterfly papilionidae graphium doson yunnan CHINA,https://www.ebay.com/itm/324383308589?hash=item4b86c07b2d:g:osIAAOSwM4Rcigdh,$1.29,"mainland, China",https://i.ebayimg.com/thumbs/images/g/osIAAOSwM4Rcigdh/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,9,Unknown
item3db05065b5,PAPILIONIDAE Graphium doson postianus MALE Taiwan PAP0054,https://www.ebay.com/itm/264951063989?hash=item3db05065b5:g:6~MAAOSwhZFfvTze,$8.00,"Moscow, Russian Federation",https://i.ebayimg.com/thumbs/images/g/6~MAAOSwhZFfvTze/s-l225.jpg,dirktt50,https://www.ebay.com/usr/dirktt50?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 26, 2021 03:54:37 PDT"
item3406843160,COLLECTION unmounted butterfly papilionidae graphium doson yunnan CHINA,https://www.ebay.com/itm/223447626080?hash=item3406843160:g:osIAAOSwM4Rcigdh,$1.49,"mainland, China",https://i.ebayimg.com/thumbs/images/g/osIAAOSwM4Rcigdh/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,7,"May 07, 2020 00:42:08 PDT"
item48c928f397,COLLECTION 5 unmounted butterfly Graphium doson evemoides CHINA  A1  A1-,https://www.ebay.com/itm/312612549527?hash=item48c928f397:g:G9cAAMXQUaJRmtCY,$9.90,"beijing, China",https://i.ebayimg.com/thumbs/images/g/G9cAAMXQUaJRmtCY/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 07, 2021 03:51:12 PST"
item48ba012269,collection 5 unmounted butterfly Graphium doson postianum  A1  A1-,https://www.ebay.com/itm/312358281833?hash=item48ba012269:g:NukAAOSwKXFbMach,$6.80,"beijing, China",https://i.ebayimg.com/thumbs/images/g/NukAAOSwKXFbMach/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,Last one,"Jan 07, 2021 03:51:11 PST"
item4d97796178,Graphium doson A1 Papered Specimen Ex Philippines,https://www.ebay.com/itm/333253796216?hash=item4d97796178:g:Tf8AAOSw~wtdGiz~,$2.20,"Burgess Hill , United Kingdom",https://i.ebayimg.com/thumbs/images/g/Tf8AAOSw~wtdGiz~/s-l225.jpg,the_entomologist,https://www.ebay.com/usr/the_entomologist?_trksid=p2047675.l2559,Instant,0,0,7,"Jun 27, 2020 15:28:24 PDT"
item1cb2cb1441,"LEPIDOPTERA, PAPILIONIDAE, GRAPHIUM DOSON from CHINA",https://www.ebay.com/itm/123258737729?hash=item1cb2cb1441:g:WM4AAOSw~jpbT-L5,$4.06,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/thumbs/images/g/WM4AAOSw~jpbT-L5/s-l225.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,4,"Sep 05, 2018 10:08:13 PDT"
item1a47ff58fe,"LEPIDOPTERA, PAPILIONIDAE, GRAPHIUM DOSON from THAILAND",https://www.ebay.com/itm/112877066494?hash=item1a47ff58fe:g:AmUAAOSw-fNarrMC,$4.06,"Santiago de Compostela (A Coruña), Spain",https://i.ebayimg.com/thumbs/images/g/AmUAAOSw-fNarrMC/s-l225.jpg,insectpassion,https://www.ebay.com/usr/insectpassion?_trksid=p2047675.l2559,Instant,0,0,3,"Sep 05, 2018 10:08:16 PDT"
item25e90d7988,Butterflies framed real specimens- appias nero and graphium doson,https://www.ebay.com/itm/162823764360?hash=item25e90d7988:g:oQAAAOSwFyhaRGmi,$35.00,"Miami, Florida, United States",https://i.ebayimg.com/thumbs/images/g/oQAAAOSwFyhaRGmi/s-l225.jpg,durdan-7lhrjr,https://www.ebay.com/usr/durdan-7lhrjr?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2173b1a782,Common Jay Butterfly Graphium doson Specimen in Amber Clear Block,https://www.ebay.com/itm/143674943362?hash=item2173b1a782:g:qKUAAOSwv-NfK5Cd,$14.00,"Hong Kong, Hong Kong",https://i.ebayimg.com/thumbs/images/g/qKUAAOSwv-NfK5Cd/s-l225.jpg,gaofudev,https://www.ebay.com/usr/gaofudev?_trksid=p2047675.l2559,Instant,0,0,Last one,"Apr 15, 2021 01:58:41 PDT"
item5701222fb7,Graphium Doson Butterfly Paperweight Specimen For Science Education Book Office,https://www.ebay.com/itm/373681172407?hash=item5701222fb7:g:KUYAAOSwkFVhFDJp,$32.73,"Ruskin, Florida, United States",https://i.ebayimg.com/thumbs/images/g/KUYAAOSwkFVhFDJp/s-l225.jpg,bargainbin713,https://www.ebay.com/usr/bargainbin713?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 26, 2021 04:26:01 PDT"
item23fe47b380,Laminated Common Jay Graphium doson Butterfly 110 mm Square Clear Plastic Sheet,https://www.ebay.com/itm/154589967232?hash=item23fe47b380:g:InMAAOxy69JTA1SG,$9.99,"Hong Kong, Hong Kong",https://i.ebayimg.com/thumbs/images/g/InMAAOxy69JTA1SG/s-l225.jpg,selltotheworld,https://www.ebay.com/usr/selltotheworld?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b63ae3a35,"Unmounted Butterfly / Papilionidae - Graphium doson axion, male, Thailand",https://www.ebay.com/itm/255075433013?hash=item3b63ae3a35:g:EX0AAOSwnaBhCDX4,$2.16,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/EX0AAOSwnaBhCDX4/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 27, 2021 07:17:35 PDT"
item3b4c9b3166,Japan Scott 1293 50y Graphium Doson Albidum Mihon [specimen] with folder.,https://www.ebay.com/itm/254688309606?hash=item3b4c9b3166:g:RPQAAOSwy~NfN3oz,$7.50,"Las Vegas, Nevada, United States",https://i.ebayimg.com/thumbs/images/g/RPQAAOSwy~NfN3oz/s-l225.jpg,stamps-plus,https://www.ebay.com/usr/stamps-plus?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 27, 2020 11:01:27 PST"
item5b76ba9625,Japan Stamp Stamped 50y Butterfly Insect Graphium Doson Animal/1222,https://www.ebay.com/itm/392833963557?hash=item5b76ba9625:g:2~oAAOSwuh1e4dqW,$1.18,"Unna, Germany",https://i.ebayimg.com/thumbs/images/g/2~oAAOSwuh1e4dqW/s-l225.jpg,briefmarken_paradies,https://www.ebay.com/usr/briefmarken_paradies?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 01, 2021 05:49:25 PST"
item3af4d5e44e,Prioneria thestylis formosana & Graphium doson postianus,https://www.ebay.com/itm/253215761486?hash=item3af4d5e44e:g:oogAAOSwySlZ6HPO,$30.68,"Wien, Austria",https://i.ebayimg.com/thumbs/images/g/oogAAOSwySlZ6HPO/s-l225.jpg,kk-raritaeten-shop,https://www.ebay.com/usr/kk-raritaeten-shop?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 25, 2017 13:48:23 PST"
item3ff9a4b0b9,Attention TRADERS: 50 Piece Graphium Doson,https://www.ebay.com/itm/274771259577?hash=item3ff9a4b0b9:g:QH8AAOSwsIVgg4q-,$21.24,"Khon Kaen, Thailand",https://i.ebayimg.com/thumbs/images/g/QH8AAOSwsIVgg4q-/s-l225.jpg,cubathaifan,https://www.ebay.com/usr/cubathaifan?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 06, 2021 04:06:24 PDT"
item5256b79fd7,Butterfly In Resin Specimen Paperweight Collection Mini Gift Education Aid Decor,https://www.ebay.com/itm/353642192855?hash=item5256b79fd7:g:tCEAAOSwBSFhIG4l,$21.99 to $27.69,"Shanghai, China",https://i.ebayimg.com/thumbs/images/g/tCEAAOSwBSFhIG4l/s-l225.jpg,six-tealteal,https://www.ebay.com/usr/six-tealteal?_trksid=p2047675.l2559,Instant,0,0,10,"Aug 25, 2021 02:38:36 PDT"
