id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item54a36aeec2,"HAETERA PIERA FROM LORETO, PERU",https://www.ebay.com/itm/363518947010?hash=item54a36aeec2:g:qwEAAOSwTT1hJkBp,$3.25,"Munich, Germany",https://i.ebayimg.com/thumbs/images/g/qwEAAOSwTT1hJkBp/s-l225.jpg,ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item59540f1180,Haetera piera ONE REAL BUTTERFLY YELLOW CLEAR WING UNMOUNTED WINGS CLOSED PERU,https://www.ebay.com/itm/383662363008?hash=item59540f1180:g:qIwAAOSwfkNfJ4Ft,$6.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/qIwAAOSwfkNfJ4Ft/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 19, 2021 15:44:17 PDT"
item217aba58c4,LOT OF TEN HAETERA PIERA.A1. GOOD CONDITION.UNMOUNTED .CLEAR WINGS. IQUITOS-PERU,https://www.ebay.com/itm/143792953540?hash=item217aba58c4:g:yyYAAOSwJedfi1uV,$29.99,"Miami, Florida, United States",https://i.ebayimg.com/thumbs/images/g/yyYAAOSwJedfi1uV/s-l225.jpg,1103rada,https://www.ebay.com/usr/1103rada?_trksid=p2047675.l2559,Instant,0,0,7,Unknown
item3440b5d441,Haetera piera yellow clear wing butterfly Peru framed,https://www.ebay.com/itm/224423957569?hash=item3440b5d441:g:qToAAOSw73lgdkfx,$26.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/qToAAOSw73lgdkfx/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Apr 17, 2021 11:38:06 PDT"
item420b4780f1,"Haetera piera 5 A1 AMBER CLEARWING SPECIMENS , FOLDED - PERU",https://www.ebay.com/itm/283657076977?hash=item420b4780f1:g:igkAAOSwjqJdt1WI,$19.95,"Commack, New York, United States",https://i.ebayimg.com/thumbs/images/g/igkAAOSwjqJdt1WI/s-l225.jpg,limmerleps,https://www.ebay.com/usr/limmerleps?_trksid=p2047675.l2559,Instant,0,0,2 lots (5 items per lot),"Jan 21, 2020 14:28:51 PST"
item3b08aae208,"REAL BUTTERFLIES CITHAERIAS PIRETA, HAETERA PIERA & CITHAERIAS AURORINA, FRAMED",https://www.ebay.com/itm/253548487176?hash=item3b08aae208:g:B3UAAOSwIzBayiFR,$99.00,"Montana, United States",https://i.ebayimg.com/thumbs/images/g/B3UAAOSwIzBayiFR/s-l225.jpg,qualityauctions2018,https://www.ebay.com/usr/qualityauctions2018?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 16, 2019 10:14:10 PDT"
item1d0cbfcd80,The Amber Phantom Butterfly in Box Frame (Haetera piera) Entomology Frame,https://www.ebay.com/itm/124767948160?hash=item1d0cbfcd80:g:4FkAAOSwDIZfYJg2,$52.28,"Hitchin, United Kingdom",https://i.ebayimg.com/thumbs/images/g/4FkAAOSwDIZfYJg2/s-l225.jpg,minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 17, 2021 14:15:19 PDT"
item1f1e4504a8,Cithaerias aurorina & Haetera piera - Real Butterflies in Handmade Museum Frame,https://www.ebay.com/itm/133651825832?hash=item1f1e4504a8:g:YEkAAOSw~-dfMlA1,$53.65,"Monmouth, United Kingdom",https://i.ebayimg.com/thumbs/images/g/YEkAAOSw~-dfMlA1/s-l225.jpg,juancarlos2nd,https://www.ebay.com/usr/juancarlos2nd?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 15, 2021 05:35:17 PDT"
item46ce0d6e37,"Grenada 1991 MNH MS, Haetera piera, Amber Phantom, Butterflies & Insects",https://www.ebay.com/itm/304104697399?hash=item46ce0d6e37:g:nCMAAOSwQaZewfkH,$4.99,"BHIWANDI, MAHARASHTRA, India",https://i.ebayimg.com/thumbs/images/g/nCMAAOSwQaZewfkH/s-l225.jpg,kamalmedicine,https://www.ebay.com/usr/kamalmedicine?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item1f1e4504ec,"Haetera piera - Delicate Real Butterfly in Handmade, Museum-Quality Frame",https://www.ebay.com/itm/133651825900?hash=item1f1e4504ec:g:MVgAAOSwx8xfMEtr,$38.52,"Monmouth, United Kingdom",https://i.ebayimg.com/thumbs/images/g/MVgAAOSwx8xfMEtr/s-l225.jpg,juancarlos2nd,https://www.ebay.com/usr/juancarlos2nd?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 15, 2021 05:52:47 PDT"
item2f5ffabd93,Haetera piera Butterfly FOLDED REAL Insect Unmounted,https://www.ebay.com/itm/203473730963?hash=item2f5ffabd93:g:YCQAAOSwNeRgrvlR,$4.25,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/thumbs/images/g/YCQAAOSwNeRgrvlR/s-l225.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,Unknown
item28b95fc9b3,Grenada 1991 / Butterflies -  	Haetera piera / 1v ms,https://www.ebay.com/itm/174908754355?hash=item28b95fc9b3:g:UEQAAOSwoKthJnW5,$3.03,"Reading, United Kingdom",https://i.ebayimg.com/thumbs/images/g/UEQAAOSwoKthJnW5/s-l225.jpg,eliwag03,https://www.ebay.com/usr/eliwag03?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 25, 2021 09:59:44 PDT"
item3b63ad14d3,"Unmounted Butterfly / Nymphalidae - Haetera piera ssp., FEMALE, Peru",https://www.ebay.com/itm/255075357907?hash=item3b63ad14d3:g:bMQAAOSwJnJhCCkY,$6.75,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/bMQAAOSwJnJhCCkY/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,7,"Aug 27, 2021 07:17:40 PDT"
item3b63acc254,"Unmounted Butterfly / Nymphalidae - Haetera piera ssp., Male, Peru",https://www.ebay.com/itm/255075336788?hash=item3b63acc254:g:0xAAAOSwVtthCCKP,$4.05,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/0xAAAOSwVtthCCKP/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 27, 2021 07:17:36 PDT"
item3dc2368879,"Unmounted Butterfly / Nymphalidae - Haetera piera ssp., FEMALE, A-",https://www.ebay.com/itm/265251358841?hash=item3dc2368879:g:EX4AAOSw-kxhCLHP,$4.86,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/EX4AAOSw-kxhCLHP/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,8,"Aug 27, 2021 07:17:53 PDT"
item3dc231331b,"Unmounted Butterfly / Nymphalidae - Haetera piera ssp., Male, A-",https://www.ebay.com/itm/265251009307?hash=item3dc231331b:g:zEYAAOSwQuRhCDSr,$2.70,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/zEYAAOSwQuRhCDSr/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 27, 2021 07:17:28 PDT"
