id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item48debf6957,King Swallowtail Papilio thoas REAL Butterfly FAST FROM USA! A1 Unmounted,https://www.ebay.com/itm/312974731607?hash=item48debf6957:g:uCcAAOSw-rReMkwn,$4.99,"Estes Park, Colorado, United States",https://i.ebayimg.com/thumbs/images/g/uCcAAOSw-rReMkwn/s-l225.jpg,little_caterpillar_butterfly_art,https://www.ebay.com/usr/little_caterpillar_butterfly_art?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 29, 2021 22:11:00 PDT"
item3ab192ec01,Thoas King Swallowtail Butterfly Papilio thoas cinyras Male Folded FAST FROM USA,https://www.ebay.com/itm/252087299073?hash=item3ab192ec01:g:k3MAAOSwu4BV6wWu,$4.69,"Jupiter, Florida, United States",https://i.ebayimg.com/thumbs/images/g/k3MAAOSwu4BV6wWu/s-l225.jpg,ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,0,10,"Aug 27, 2021 06:17:28 PDT"
item5951aab960,Papilio thoas king swallowtail yellow black butterfly Peru verso framed,https://www.ebay.com/itm/383622232416?hash=item5951aab960:g:OgsAAOSwQpJfBTEQ,$32.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/OgsAAOSwQpJfBTEQ/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 19, 2021 15:44:17 PDT"
item5900c382e3,Papilio thoas king swallowtail yellow black butterfly Peru wings closed,https://www.ebay.com/itm/382264902371?hash=item5900c382e3:g:MEgAAOSwD-5egBS7,$12.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/MEgAAOSwD-5egBS7/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 19, 2021 15:44:50 PDT"
item3b4eed4f84,Yellow swallowtail Papilio thoas 10pcs wholesale for entomology artwork frames,https://www.ebay.com/itm/254727245700?hash=item3b4eed4f84:g:OsYAAOSwv-NWYBOB,$32.00,"Voronezh, Russian Federation",https://i.ebayimg.com/thumbs/images/g/OsYAAOSwv-NWYBOB/s-l225.jpg,maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 13, 2021 05:35:38 PDT"
item33d9b56ad3,Papilio thoas king swallowtail verso yellow black butterfly Peru wings closed,https://www.ebay.com/itm/222695877331?hash=item33d9b56ad3:g:3oIAAOSw5r9fBTD4,$12.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/3oIAAOSw5r9fBTD4/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 18, 2021 19:15:53 PDT"
item59070d1297,Papilio thoas king swallowtail yellow black butterfly Peru framed,https://www.ebay.com/itm/382370386583?hash=item59070d1297:g:Q74AAOSwkvdadRpe,$32.00,"Sahuarita, Arizona, United States",https://i.ebayimg.com/thumbs/images/g/Q74AAOSwkvdadRpe/s-l225.jpg,bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jun 19, 2021 15:44:50 PDT"
item448939f674,King Swallowtail Butterfly Papilio thoas pieces for craft 20 pieces,https://www.ebay.com/itm/294360053364?hash=item448939f674:g:3lQAAOSwp4hhJ-EC,$5.95,"Estes Park, Colorado, United States",https://i.ebayimg.com/thumbs/images/g/3lQAAOSwp4hhJ-EC/s-l225.jpg,happymondayart,https://www.ebay.com/usr/happymondayart?_trksid=p2047675.l2559,Instant,0,0,10,Unknown
item42391c024e,papilio thoas FEMALE in A1,https://www.ebay.com/itm/284425978446?hash=item42391c024e:g:-CAAAOSwWVFhJ-HB,$3.00,"zapopan, Mexico",https://i.ebayimg.com/thumbs/images/g/-CAAAOSwWVFhJ-HB/s-l225.jpg,prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4459e12d3c,"Papilio thoas form ruber (Levicky, 2017) Peru. Antennas after repair. RARE!",https://www.ebay.com/itm/293565705532?hash=item4459e12d3c:g:XAgAAOSwEwBdZtbQ,$89.00,"ruza, mosoblast, Russian Federation",https://i.ebayimg.com/thumbs/images/g/XAgAAOSwEwBdZtbQ/s-l225.jpg,roman-insects,https://www.ebay.com/usr/roman-insects?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item2d163b780d,"One Real Papilio Thoas Cinyras Butterfly, UNMOUNTED, WINGS CLOSED, Insect, Taxid",https://www.ebay.com/itm/193646524429?hash=item2d163b780d:g:VE8AAOSwgAFgT8Mb,$9.00,"Hampstead, North Carolina, United States",https://i.ebayimg.com/thumbs/images/g/VE8AAOSwgAFgT8Mb/s-l225.jpg,butterflywishshop,https://www.ebay.com/usr/butterflywishshop?_trksid=p2047675.l2559,Instant,0,0,3,"Mar 15, 2021 13:27:24 PDT"
item562802ed05,"BUTTERFLY - Papilionidae - Papilio Thoas cinyras (m) - Tingo Maria, Peru",https://www.ebay.com/itm/370038467845?hash=item562802ed05:g:nfYAAOSwKIpWA-D1,$5.98,"Malaysia , Malaysia",https://i.ebayimg.com/thumbs/images/g/nfYAAOSwKIpWA-D1/s-l225.jpg,tuliep9,https://www.ebay.com/usr/tuliep9?_trksid=p2047675.l2559,Instant,0,0,5,"Aug 09, 2021 02:42:22 PDT"
item3dc07fa511,REAL KING SWALLOWTAIL; PAPILIO THOAS BUTTERFLY IN FRAMED DISPLAY : TAXIDERMY,https://www.ebay.com/itm/265222595857?hash=item3dc07fa511:g:0AEAAOSw7R9gwIle,$42.00,"Chiang Mai, Thailand",https://i.ebayimg.com/thumbs/images/g/0AEAAOSw7R9gwIle/s-l225.jpg,bugs_r_us,https://www.ebay.com/usr/bugs_r_us?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item3b63ae20a7,"Unmounted Butterfly / Papilionidae - Papilio thoas cinyras, male, Peru",https://www.ebay.com/itm/255075426471?hash=item3b63ae20a7:g:8GUAAOSwMTVhCDSo,$4.05,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/8GUAAOSwMTVhCDSo/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 27, 2021 07:17:20 PDT"
item2cac4da1ef,Papilio thoas Folded Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/191869329903?hash=item2cac4da1ef:g:fFoAAOSwx0pagdhA,$4.00,"Sainte-Brigitte-de-Laval, Quebec, Canada",https://i.ebayimg.com/thumbs/images/g/fFoAAOSwx0pagdhA/s-l225.jpg,taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 06, 2021 09:57:37 PST"
item59676d86f1,Papilio thoas cinyras - A1 Male - Perù,https://www.ebay.com/itm/383987320561?hash=item59676d86f1:g:AUMAAOSwO9VgOnRk,$1.90,"Caserma del Gaudo, Italy",https://i.ebayimg.com/thumbs/images/g/AUMAAOSwO9VgOnRk/s-l225.jpg,moviesandbutterflies,https://www.ebay.com/usr/moviesandbutterflies?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jul 31, 2021 06:51:03 PDT"
item3b63acc24d,"Unmounted Butterfly / Papilionidae - Papilio thoas nealces, FEMALE, Colombia",https://www.ebay.com/itm/255075336781?hash=item3b63acc24d:g:LoAAAOSwweZhCCKP,$13.51,"Sieraków Wielkopolski, Poland",https://i.ebayimg.com/thumbs/images/g/LoAAAOSwweZhCCKP/s-l225.jpg,butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,0,4,"Aug 27, 2021 07:17:15 PDT"
