id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item218e31afe2,Limenitis camilla  1  m Russia Moscow region N0227,https://www.ebay.com/itm/144119541730?hash=item218e31afe2:g:N~YAAOSwfotg9e3~,$4.00,"Lubertsy, Moscow region, Russian Federation",https://i.ebayimg.com/thumbs/images/g/N~YAAOSwfotg9e3~/s-l225.jpg,aleks_brown,https://www.ebay.com/usr/aleks_brown?_trksid=p2047675.l2559,Instant,0,0,1,"Jul 29, 2021 14:19:27 PDT"
item1ef8c0e02c,White Forest Porter Chessboard colour printing of 1959 Limenitis camilla Butterfly,https://www.ebay.com/itm/133022408748?hash=item1ef8c0e02c:g:~ScAAOxycERRklTC,$10.02,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/~ScAAOxycERRklTC/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Jul 07, 2021 08:37:01 PDT"
item525659ccfc,Old Pyrameis Atalanta Limenitis Camilla Allen Nature Kirby Butterflie,https://www.ebay.com/itm/353636044028?hash=item525659ccfc:g:0zQAAOSwk7JhISOe,$21.99,"HR6 9HY, United Kingdom",https://i.ebayimg.com/thumbs/images/g/0zQAAOSwk7JhISOe/s-l225.jpg,prints-4-all,https://www.ebay.com/usr/prints-4-all?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item56e34d5dbb,Butterflies PYRAMEIS ATALANTA / LIMENITIS CAMILLA Original Victorian Print c1896,https://www.ebay.com/itm/373180685755?hash=item56e34d5dbb:g:6pkAAOSwFYVfS~SA,$17.52,"Staffordshire, United Kingdom",https://i.ebayimg.com/thumbs/images/g/6pkAAOSwFYVfS~SA/s-l225.jpg,pasttimepostcards,https://www.ebay.com/usr/pasttimepostcards?_trksid=p2047675.l2559,Instant,0,0,1,"Dec 16, 2020 03:34:38 PST"
item1f143108b0,White waldportier chessboard color print' 1959 butterfly limenitis camilla,https://www.ebay.com/itm/133482743984?hash=item1f143108b0:g:~ScAAOxycERRklTC,$11.23,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/~ScAAOxycERRklTC/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 23:57:13 PDT"
item46cb2490bc,Parnassius apollo limenitis camilla iphiclides podalirius butterfly print 1867,https://www.ebay.com/itm/304055881916?hash=item46cb2490bc:g:yoQAAOSw0xhdW9SV,$8.24,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/yoQAAOSw0xhdW9SV/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item46cb365c66,Card little sylvain limenitis camilla white admiral butterfly butterfly image 1963,https://www.ebay.com/itm/304057048166?hash=item46cb365c66:g:RNAAAOSw5M5deJ6D,$5.88,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/RNAAAOSw5M5deJ6D/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item44834e33c7,No. 13 little sylvain cerulean limenitis camilla white admiral butterfly card bonux,https://www.ebay.com/itm/294260716487?hash=item44834e33c7:g:nXgAAOSw5P9dsw8Y,$5.88,"Varna, Bulgaria",https://i.ebayimg.com/thumbs/images/g/nXgAAOSw5P9dsw8Y/s-l225.jpg,saintmichelfrance,https://www.ebay.com/usr/saintmichelfrance?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4905a0bb6a,Limenitis camilla White admiral butterfly insect vintage belgian postcard,https://www.ebay.com/itm/313627032426?hash=item4905a0bb6a:g:WQYAAOSwYuBhCqhP,$4.50,"Saint-Gilles, Belgium",https://i.ebayimg.com/thumbs/images/g/WQYAAOSwYuBhCqhP/s-l225.jpg,pierrelef,https://www.ebay.com/usr/pierrelef?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 07, 2021 23:47:34 PDT"
item56e09d3fe4,Chess board waldportier white color printing 1959 limenitis camilla,https://www.ebay.com/itm/373135589348?hash=item56e09d3fe4:g:~ScAAOxycERRklTC,$11.33,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/~ScAAOxycERRklTC/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 23:57:02 PDT"
item56e09d3fd6,White waldportier Chessboard colour printing of 1959 Limenitis Camilla butterfly,https://www.ebay.com/itm/373135589334?hash=item56e09d3fd6:g:~ScAAOxycERRklTC,$11.42,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/~ScAAOxycERRklTC/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 23:56:57 PDT"
item1f1434be64,White Waldportier Chess Board Colour Printing From 1959 Limenitis Camilla,https://www.ebay.com/itm/133482987108?hash=item1f1434be64:g:~ScAAOxycERRklTC,$11.16,"Kassel, Germany",https://i.ebayimg.com/thumbs/images/g/~ScAAOxycERRklTC/s-l225.jpg,005bond,https://www.ebay.com/usr/005bond?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 18, 2021 23:57:10 PDT"
