id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item266d405a5a,"PARNASSIUS ACTIUS FLORA? or ssp. nov?  Male, Matcha Mts.",https://www.ebay.com/itm/165041691226?hash=item266d405a5a:g:rAUAAOSwVbJgmCWT,$12.92,"Liptovska Kokava, Czech Republic",https://i.ebayimg.com/thumbs/images/g/rAUAAOSwVbJgmCWT/s-l225.jpg,parnassius26,https://www.ebay.com/usr/parnassius26?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item4b7ce92428,"Parnassius actius cato, male, A1- (Kirgizia)",https://www.ebay.com/itm/324218201128?hash=item4b7ce92428:g:WSwAAOSwsdJdlfUn,$10.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/WSwAAOSwsdJdlfUn/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item33fffad35e,COLLECTION PAIR unmounted butterfly Papilionidae Parnassius actius A1 #7,https://www.ebay.com/itm/223337960286?hash=item33fffad35e:g:FzMAAOSwK9ZcRp3N,$49.00,"mainland, China",https://i.ebayimg.com/thumbs/images/g/FzMAAOSwK9ZcRp3N/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2020 00:23:48 PDT"
item420a485a86,COLLECTION PAIR unmounted butterfly Papilionidae Parnassius actius A1 #3,https://www.ebay.com/itm/283640355462?hash=item420a485a86:g:RaEAAOSwYVpdoIfC,$49.00,"beijing, China",https://i.ebayimg.com/thumbs/images/g/RaEAAOSwYVpdoIfC/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 07, 2021 03:51:12 PST"
item33fffad670,COLLECTION PAIR unmounted butterfly Papilionidae Parnassius actius A1 #8,https://www.ebay.com/itm/223337961072?hash=item33fffad670:g:bI0AAOSwaSVcRp5V,$49.00,"mainland, China",https://i.ebayimg.com/thumbs/images/g/bI0AAOSwaSVcRp5V/s-l225.jpg,xzcyj,https://www.ebay.com/usr/xzcyj?_trksid=p2047675.l2559,Instant,0,0,1,"May 07, 2020 00:23:48 PDT"
item2b128c182d,7Insect Lepidoptera Papilionidae Parnassius actius flora Kyrgyzstan,https://www.ebay.com/itm/184994764845?hash=item2b128c182d:g:j6QAAOSwHfdhFQw3,$11.00,"Nizhny Novgorod, Russian Federation",https://i.ebayimg.com/thumbs/images/g/j6QAAOSwHfdhFQw3/s-l225.jpg,dpotanin,https://www.ebay.com/usr/dpotanin?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item41ff4b628c,ABERRANT unmounted butterfly Papilionidae Parnassius actius  #29,https://www.ebay.com/itm/283456004748?hash=item41ff4b628c:g:2HsAAOSw6EhUPIwb,$49.00,"beijing, China",https://i.ebayimg.com/thumbs/images/g/2HsAAOSw6EhUPIwb/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 07, 2021 03:33:44 PST"
item4b6c1ec69e,"Parnassius actius brutus, male, A1+ (Tajikistan)",https://www.ebay.com/itm/323936503454?hash=item4b6c1ec69e:g:gMIAAOSwWOJdlfYj,$25.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/gMIAAOSwWOJdlfYj/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,"Jun 17, 2020 07:09:27 PDT"
item48d45bd37e,COLLECTION PAIR unmounted butterfly Papilionidae Parnassius actius A1 #2,https://www.ebay.com/itm/312800433022?hash=item48d45bd37e:g:hMgAAOSwfCRdoIYd,$49.00,"beijing, China",https://i.ebayimg.com/thumbs/images/g/hMgAAOSwfCRdoIYd/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 07, 2021 03:51:11 PST"
item4b7f3f1707,"Parnassius actius cassius, male, A1- quality (Kirgizia)",https://www.ebay.com/itm/324257388295?hash=item4b7f3f1707:g:PjwAAOSw2oJZ02-2,$14.00,"Saratov, default, Russian Federation",https://i.ebayimg.com/thumbs/images/g/PjwAAOSw2oJZ02-2/s-l225.jpg,arctos16,https://www.ebay.com/usr/arctos16?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item41f8e18d23,COLLECTION PAIR unmounted butterfly Papilionidae Parnassius actius A1  #3,https://www.ebay.com/itm/283348405539?hash=item41f8e18d23:g:xRcAAOxyQyJRmbi~,$49.00,"beijing, China",https://i.ebayimg.com/thumbs/images/g/xRcAAOxyQyJRmbi~/s-l225.jpg,china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,0,1,"Jan 07, 2021 03:51:12 PST"
