id,title,link,price,origin,image,seller_name,seller_link,sell_type,num_bids,num_watchers,num_stock,date
item2339ace981,Roystonea Regia CUBAN ROYAL PALM tall tree ornamental palms plant seed 100 seeds,https://www.ebay.com/itm/151291488641?hash=item2339ace981:g:GkUAAOxy4YdTPwa4,$9.99,"Miami, Florida, United States",https://i.ebayimg.com/thumbs/images/g/GkUAAOxy4YdTPwa4/s-l225.jpg,exotic_cactus_collection,https://www.ebay.com/usr/exotic_cactus_collection?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Jan 29, 2021 21:46:39 PST"
item2b0afa69f5,Royal Palm (Roystonea regia) Live Seedling - **3 PACK!!**,https://www.ebay.com/itm/184867777013?hash=item2b0afa69f5:g:JUAAAOSwcddf19B3,$9.99,"Fort Lauderdale, Florida, United States",https://i.ebayimg.com/thumbs/images/g/JUAAAOSwcddf19B3/s-l225.jpg,moosetrx01,https://www.ebay.com/usr/moosetrx01?_trksid=p2047675.l2559,Instant,0,0,7,"Jul 06, 2021 11:10:02 PDT"
item4b6275817b,Royal Palm   Roystonea regia   Organic   10 Seeds   (Free US Shipping),https://www.ebay.com/itm/323774415227?hash=item4b6275817b:g:BPYAAOSw8Mxb6ZNx,$8.81,"Gainesville, Florida, United States",https://i.ebayimg.com/thumbs/images/g/BPYAAOSw8Mxb6ZNx/s-l225.jpg,gottliebraphael1,https://www.ebay.com/usr/gottliebraphael1?_trksid=p2047675.l2559,Instant,0,0,19,"Jun 12, 2021 11:28:02 PDT"
item54089660b5,"Roystonea Regia, CUBAN ROYAL PALM tree ornamental palms home plant seed 25 seeds",https://www.ebay.com/itm/360921325749?hash=item54089660b5:g:GkUAAOxy4YdTPwa4,$7.99,"Miami, Florida, United States",https://i.ebayimg.com/thumbs/images/g/GkUAAOxy4YdTPwa4/s-l225.jpg,exotic_cactus_collection,https://www.ebay.com/usr/exotic_cactus_collection?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Feb 28, 2021 16:43:15 PST"
item5ba09ae767,One 3gallon Cuban royal palm (Roystonea regia),https://www.ebay.com/itm/393536530279?hash=item5ba09ae767:g:9fwAAOSwnBthKWif,$38.79,"Fredericktown, Ohio, United States",https://i.ebayimg.com/thumbs/images/g/9fwAAOSwnBthKWif/s-l225.jpg,denda_9028,https://www.ebay.com/usr/denda_9028?_trksid=p2047675.l2559,Instant,0,0,1,Unknown
item5903df4dbb,Roystonea regia ROYAL PALM Seeds!,https://www.ebay.com/itm/382317055419?hash=item5903df4dbb:g:S-YAAOSwmwtaPdrQ,$4.99,"Walterboro, South Carolina, United States",https://i.ebayimg.com/thumbs/images/g/S-YAAOSwmwtaPdrQ/s-l225.jpg,greg17086,https://www.ebay.com/usr/greg17086?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Nov 05, 2020 15:33:28 PST"
item28b8544d0d,Cuban Royal Palm (Roystonea regia) 1 seedling,https://www.ebay.com/itm/174891224333?hash=item28b8544d0d:g:ryAAAOSwiZpfUT7v,$5.99,"Merritt Island, Florida, United States",https://i.ebayimg.com/thumbs/images/g/ryAAAOSwiZpfUT7v/s-l225.jpg,tanbeach,https://www.ebay.com/usr/tanbeach?_trksid=p2047675.l2559,Instant,0,0,8,Unknown
item2b0c1d250e,Royal Palm (Roystonea regia) - 25 Seeds,https://www.ebay.com/itm/184886830350?hash=item2b0c1d250e:g:JeIAAOSw8HRgxmcg,$6.99,"Fort Lauderdale, Florida, United States",https://i.ebayimg.com/thumbs/images/g/JeIAAOSw8HRgxmcg/s-l225.jpg,moosetrx01,https://www.ebay.com/usr/moosetrx01?_trksid=p2047675.l2559,Instant,0,0,1,"Aug 13, 2021 19:26:24 PDT"
item524fadc96c,ROYSTONEA REGIA ‘The Cuban Royal’ Palm Tree 1 Gallon NICE! 2’ - 3’ Tall,https://www.ebay.com/itm/353524107628?hash=item524fadc96c:g:tVoAAOSwWQNgu7TV,$70.00,"Opelika, Alabama, United States",https://i.ebayimg.com/thumbs/images/g/tVoAAOSwWQNgu7TV/s-l225.jpg,rayburnfarms4,https://www.ebay.com/usr/rayburnfarms4?_trksid=p2047675.l2559,Instant,0,0,2,"Aug 05, 2021 18:58:37 PDT"
item2f3b72c897,Roystonea Regia CUBAN ROYAL PALM tall tree ornamental palms plant seed 50 seeds,https://www.ebay.com/itm/202860841111?hash=item2f3b72c897:g:UD8AAOSw8S9eAArE,$4.98,"Lisboa, Portugal",https://i.ebayimg.com/thumbs/images/g/UD8AAOSw8S9eAArE/s-l225.jpg,quinta_dos_ouriques,https://www.ebay.com/usr/quinta_dos_ouriques?_trksid=p2047675.l2559,Instant,0,0,1,"Mar 12, 2021 01:01:35 PST"
item4dbd3b379d,Roystonea regia | Cuban Royal Palm | Florida Royal Palm | Royal Palm | 5 Seeds,https://www.ebay.com/itm/333887256477?hash=item4dbd3b379d:g:i8kAAOSwuB1gJf6f,$8.69,"San Francisco, California, United States",https://i.ebayimg.com/thumbs/images/g/i8kAAOSwuB1gJf6f/s-l225.jpg,plant_flower_seeds,https://www.ebay.com/usr/plant_flower_seeds?_trksid=p2047675.l2559,Instant,0,0,More than 10,"Aug 03, 2021 10:46:28 PDT"
