id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2b123789b5,AMAZING HYBRID AGRIAS CLAUDINA LUGENS X AGRIAS BEATIFICA MALE SPECIAL COLORS.,https://www.ebay.com/itm/184989223349?hash=item2b123789b5:g:5egAAOSwJG5fnNJJ,https://i.ebayimg.com/thumbs/images/g/5egAAOSwJG5fnNJJ/s-l225.jpg,$99.99,Aug-15 14:53,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

14:53:48 PDT"
item2b123793d3,AMAZING HYBRID AGRIAS CLAUDINA LUGENS X AGRIAS BEATIFICA MALE SPECIAL COLORS.,https://www.ebay.com/itm/184989225939?hash=item2b123793d3:g:ek8AAOSw4QRfm4rC,https://i.ebayimg.com/thumbs/images/g/ek8AAOSw4QRfm4rC/s-l225.jpg,$129.99,Aug-15 14:53,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

14:53:30 PDT"
item2b123797e2,SPECIAL HYBRID AGRIAS CLAUDINA LUGENS X AGRIAS BEATIFICA FEMALE SPECIAL COLORS.,https://www.ebay.com/itm/184989226978?hash=item2b123797e2:g:dckAAOSwMqtfPIPp,https://i.ebayimg.com/thumbs/images/g/dckAAOSwMqtfPIPp/s-l225.jpg,$199.99,Aug-15 14:53,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

14:53:02 PDT"
item2b1237a6c8,FANTASTIC HYBRID AGRIAS CLAUDINA LUGENS X AGRIAS BEATIFICA MALE SPECIAL COLORS.,https://www.ebay.com/itm/184989230792?hash=item2b1237a6c8:g:SOUAAOSw765fwBmN,https://i.ebayimg.com/thumbs/images/g/SOUAAOSw765fwBmN/s-l225.jpg,$199.99,Aug-15 14:52,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

14:52:36 PDT"
item1f29ab3079,"+ ENTOMOLOGY, BUTTERFLY: HYBRID AGRIAS CLAUDINA X PREPONA DEXAMENES MALE PERU",https://www.ebay.com/itm/133843071097?hash=item1f29ab3079:g:52QAAOSwGrphEBO3,https://i.ebayimg.com/thumbs/images/g/52QAAOSwGrphEBO3/s-l225.jpg,$73.00,Aug-15 10:26,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,24,1,"Aug 15, 2021

10:26:26 PDT"
item2f63b1913d,Pair Agrias Claudina sardanapalus Tropical Butterfly Moth Insect Lepidoptera,https://www.ebay.com/itm/203536044349?hash=item2f63b1913d:g:fxUAAOSwsOJg~V5-,https://i.ebayimg.com/thumbs/images/g/fxUAAOSwsOJg~V5-/s-l225.jpg,$61.85,Aug-01 11:22,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,11,1,"Aug 01, 2021

11:22:01 PDT"
item2f63b1a277,Pair Agrias Claudina 1986 1996 Peru Tropical Butterfly Moth Insect Lepidoptera,https://www.ebay.com/itm/203536048759?hash=item2f63b1a277:g:1AkAAOSwSjJg~WBV,https://i.ebayimg.com/thumbs/images/g/1AkAAOSwSjJg~WBV/s-l225.jpg,$254.25,Aug-01 11:19,"Westward Wigton, United Kingdom",bricker-brak,https://www.ebay.com/usr/bricker-brak?_trksid=p2047675.l2559,Auction,19,1,"Aug 01, 2021

11:19:02 PDT"
item2b1052c161,FANTASTIC HYBRID AGRIAS CLAUDINA LUGENS X AGRIAS BEATIFICA MALE SPECIAL COLORS.,https://www.ebay.com/itm/184957452641?hash=item2b1052c161:g:neAAAOSwQ5tfwBV7,https://i.ebayimg.com/thumbs/images/g/neAAAOSwQ5tfwBV7/s-l225.jpg,$199.99,Jul-28 14:37,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Jul 28, 2021

14:37:20 PDT"
item218e1c75c1,"+ ENTOMOLOGY, BUTTERFLY: HYBRID AGRIAS CLAUDINA X PREPONA DEXAMENES MALE +++",https://www.ebay.com/itm/144118150593?hash=item218e1c75c1:g:YgYAAOSwp-9g9GTU,https://i.ebayimg.com/thumbs/images/g/YgYAAOSwp-9g9GTU/s-l225.jpg,$64.00,Jul-25 10:29,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,19,1,"Jul 25, 2021

10:29:04 PDT"
item2b0f9d77fc,RARE HYBRID AGRIAS CLAUDINA LUGENS X PREPONA DEXAMENUS MALE SPECIAL COLORS,https://www.ebay.com/itm/184945571836?hash=item2b0f9d77fc:g:-JwAAOSwpUtgy2~4,https://i.ebayimg.com/thumbs/images/g/-JwAAOSwpUtgy2~4/s-l225.jpg,$79.99,Jul-18 13:57,"Miami, Florida, United States",eduentomology,https://www.ebay.com/usr/eduentomology?_trksid=p2047675.l2559,Auction,1,1,"Jul 18, 2021

13:57:14 PDT"
