id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item1d0f763c43,Black Ballerina in Box Frame (Atrophaneura semperi),https://www.ebay.com/itm/124813458499?hash=item1d0f763c43:g:rOQAAOSwYT1g5XG5,https://i.ebayimg.com/thumbs/images/g/rOQAAOSwYT1g5XG5/s-l225.jpg,$89.32,Aug-25 15:49,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,1,
item34499364fa,UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI PAIR.,https://www.ebay.com/itm/224572695802?hash=item34499364fa:g:QYUAAOSwOhNhGIol,https://i.ebayimg.com/thumbs/images/g/QYUAAOSwOhNhGIol/s-l225.jpg,$12.99,Aug-19 20:29,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,3,1,"Aug 19, 2021

20:29:55 PDT"
item344993638e,"UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI NO 1 , 1 PAIR.",https://www.ebay.com/itm/224572695438?hash=item344993638e:g:lU4AAOSwaDRhGInm,https://i.ebayimg.com/thumbs/images/g/lU4AAOSwaDRhGInm/s-l225.jpg,$14.49,Aug-19 20:28,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,5,1,"Aug 19, 2021

20:28:56 PDT"
item3449233683,UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI PAIR.,https://www.ebay.com/itm/224565343875?hash=item3449233683:g:R2MAAOSwfHphEKiD,https://i.ebayimg.com/thumbs/images/g/R2MAAOSwfHphEKiD/s-l225.jpg,$12.49,Aug-13 21:01,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,2,1,"Aug 13, 2021

21:01:23 PDT"
item3449233190,"UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI NO 1 , 1 PAIR.",https://www.ebay.com/itm/224565342608?hash=item3449233190:g:v4gAAOSwdklhEKgz,https://i.ebayimg.com/thumbs/images/g/v4gAAOSwdklhEKgz/s-l225.jpg,$12.49,Aug-13 21:00,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,2,1,"Aug 13, 2021

21:00:08 PDT"
item3448a972dd,"UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI NO 1 , 1 PAIR.",https://www.ebay.com/itm/224557363933?hash=item3448a972dd:g:XUMAAOSw2PxguEpl,https://i.ebayimg.com/thumbs/images/g/XUMAAOSw2PxguEpl/s-l225.jpg,$15.50,Aug-07 20:52,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,7,1,"Aug 07, 2021

20:52:54 PDT"
item4b9be6e3f9,UNMOUNTED BUTTERFLIES ATROPHANEURA SEMPERI PAIR.,https://www.ebay.com/itm/324738147321?hash=item4b9be6e3f9:g:MYkAAOSw21hguFCD,https://i.ebayimg.com/thumbs/images/g/MYkAAOSw21hguFCD/s-l225.jpg,$16.50,Aug-07 20:50,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,9,1,"Aug 07, 2021

20:50:34 PDT"
item1f26c46a8f,"+ ENTOMOLOGY, BUTTERFLY: ATROPHANEURA SEMPERI FEMALE MINDANAO +++",https://www.ebay.com/itm/133794392719?hash=item1f26c46a8f:g:gVoAAOSwGxNgz3gs,https://i.ebayimg.com/thumbs/images/g/gVoAAOSwGxNgz3gs/s-l225.jpg,$12.50,Jun-27 10:17,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Jun 27, 2021

10:17:40 PDT"
item367efaa3cd,Entomology Butterfly: Atrophaneura semperi ♂ Philippines #26,https://www.ebay.com/itm/234058589133?hash=item367efaa3cd:g:954AAOSwDwtgz12M,https://i.ebayimg.com/thumbs/images/g/954AAOSwDwtgz12M/s-l225.jpg,$7.86,Jun-27 10:02,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Jun 27, 2021

10:02:56 PDT"
item218b0b1101,"+ ENTOMOLOGY, BUTTERFLY: ATROPHANEURA SEMPERI A- MALE MINDANAO +++",https://www.ebay.com/itm/144066679041?hash=item218b0b1101:g:SxoAAOSwkG5gvRQT,https://i.ebayimg.com/thumbs/images/g/SxoAAOSwkG5gvRQT/s-l225.jpg,$2.99,Jun-13 11:29,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,1,1,"Jun 13, 2021

11:29:50 PDT"
