id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4237d12c4c,Calotropis Gigantea White | Giant Milkweed | Crown Flower | 5_Seeds,https://www.ebay.com/itm/284404296780?hash=item4237d12c4c:g:b1sAAOSwcFhhEu8B,https://i.ebayimg.com/thumbs/images/g/b1sAAOSwcFhhEu8B/s-l225.jpg,$9.95,Aug-27 13:37,"San Francisco, California, United States",buyrareseeds,https://www.ebay.com/usr/buyrareseeds?_trksid=p2047675.l2559,Instant,0,1,
item4b8f8c9d7b,Giant Milkweed  Crown Flower  Calotropis gigantea  10 Seeds  (Free US Shipping),https://www.ebay.com/itm/324530904443?hash=item4b8f8c9d7b:g:loQAAOSwivlgVkU9,https://i.ebayimg.com/thumbs/images/g/loQAAOSwivlgVkU9/s-l225.jpg,$9.79,Aug-24 20:24,"Gainesville, Florida, United States",gottliebraphael1,https://www.ebay.com/usr/gottliebraphael1?_trksid=p2047675.l2559,Instant,0,12,
item35f1175677,"Calotropis Gigantea Shrub 10 Seeds, Giant Milkweed Crown Flower For Butterflies",https://www.ebay.com/itm/231678105207?hash=item35f1175677:g:wP8AAOSwgQ9V63aG,https://i.ebayimg.com/thumbs/images/g/wP8AAOSwgQ9V63aG/s-l225.jpg,$4.99,Aug-28 01:47,"Venice, Florida, United States",theplantattraction,https://www.ebay.com/usr/theplantattraction?_trksid=p2047675.l2559,Instant,0,286,
item1a596e703d,Crown Flower Seeds Calotropis Gigantea Giant Calotrope Madar Non Gmo,https://www.ebay.com/itm/113169559613?hash=item1a596e703d:g:s5kAAOSwjW5bWcqu,https://i.ebayimg.com/thumbs/images/g/s5kAAOSwjW5bWcqu/s-l225.jpg,$4.00 to $7.00,Aug-22 23:39,"43000, Sri Lanka",premiumlanka,https://www.ebay.com/usr/premiumlanka?_trksid=p2047675.l2559,Instant,0,57,
item2f60699e2d,"Calotropis gigantea white - Giant Milkweed, Crown Flower - 5 Seeds",https://www.ebay.com/itm/203480997421?hash=item2f60699e2d:g:2CIAAOSwE2Bgt~Wf,https://i.ebayimg.com/thumbs/images/g/2CIAAOSwE2Bgt~Wf/s-l225.jpg,$1.18,Aug-22 16:48,"Lisboa, Portugal",quinta_dos_ouriques,https://www.ebay.com/usr/quinta_dos_ouriques?_trksid=p2047675.l2559,Instant,0,33,
item2ce5b501e9,SBL Calotropis Gigantea Mother Tincture Q 30ML,https://www.ebay.com/itm/192832405993?hash=item2ce5b501e9:g:3hgAAOSwjQVcHIb1,https://i.ebayimg.com/thumbs/images/g/3hgAAOSwjQVcHIb1/s-l225.jpg,$7.59,Aug-19 21:50,"Ambala, HARYANA, India",khwaish_multistore,https://www.ebay.com/usr/khwaish_multistore?_trksid=p2047675.l2559,Instant,0,1,
item59327fff56,Calotropis gigantea GIANT MILKWEED - CROWN FLOWER - Seeds!,https://www.ebay.com/itm/383099338582?hash=item59327fff56:g:Qr0AAOSwITZdUMND,https://i.ebayimg.com/thumbs/images/g/Qr0AAOSwITZdUMND/s-l225.jpg,$4.99,Aug-19 08:24,"Walterboro, South Carolina, United States",greg17086,https://www.ebay.com/usr/greg17086?_trksid=p2047675.l2559,Instant,0,45,
item2b074ceef7,Calotropis Gigantea Shrub 1 Cut 6+” Giant Milkweed Crown Flower For Butterflies,https://www.ebay.com/itm/184806076151?hash=item2b074ceef7:g:PVUAAOSwHI9gjZ4P,https://i.ebayimg.com/thumbs/images/g/PVUAAOSwHI9gjZ4P/s-l225.jpg,$14.99,Aug-18 21:23,"Altamonte Springs, Florida, United States",harwoodgardens,https://www.ebay.com/usr/harwoodgardens?_trksid=p2047675.l2559,Instant,0,15,
item3680600f43,Calotropis gigantea seeds Blue Crown Flower Important to Monarch Butterflies,https://www.ebay.com/itm/234082012995?hash=item3680600f43:g:i7UAAOSwxB5bv0er,https://i.ebayimg.com/thumbs/images/g/i7UAAOSwxB5bv0er/s-l225.jpg,$8.99,Aug-16 16:52,"Willis, Texas, United States",serendipityseed,https://www.ebay.com/usr/serendipityseed?_trksid=p2047675.l2559,Instant,0,2,
item4b1612d0c3,New!20 seeds Calotropis Gigantea Giant Milkweed White thai,https://www.ebay.com/itm/322492879043?hash=item4b1612d0c3:g:K-IAAOSwSypY~YMh,https://i.ebayimg.com/thumbs/images/g/K-IAAOSwSypY~YMh/s-l225.jpg,$5.50,Aug-12 06:52,"A. Chiang-Sean, CR, Thailand",kero-9513,https://www.ebay.com/usr/kero-9513?_trksid=p2047675.l2559,Instant,0,68,
item265efb9cbd,*UNCLE CHAN* 30 seeds Purple Calotropis Gigantea Giant Milkweed White,https://www.ebay.com/itm/164802305213?hash=item265efb9cbd:g:AGkAAOSwU21fR3KF,https://i.ebayimg.com/thumbs/images/g/AGkAAOSwU21fR3KF/s-l225.jpg,$4.00,Aug-07 17:22,"Maechan, Thailand",v-r-oneworld2020,https://www.ebay.com/usr/v-r-oneworld2020?_trksid=p2047675.l2559,Instant,0,1,
