id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item34498b4a43,DELIAS NINUS SHOUJI  | SERAM ISL. | AS PICTURED | MX-368,https://www.ebay.com/itm/224572164675?hash=item34498b4a43:g:2egAAOSwF8Vg859G,https://i.ebayimg.com/thumbs/images/g/2egAAOSwF8Vg859G/s-l225.jpg,$2.58,Aug-22 12:16,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Aug 22, 2021

12:16:19 PDT"
item49064e9010,Pieridae.  3 pairs Delias ninus shouji. West Kalimantan  (7),https://www.ebay.com/itm/313638424592?hash=item49064e9010:g:vIIAAOSwDAphF4On,https://i.ebayimg.com/thumbs/images/g/vIIAAOSwDAphF4On/s-l225.jpg,$5.00,Aug-22 08:30,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,1,1,"Aug 22, 2021

08:30:57 PDT"
item34489d128b,DELIAS NINUS SHOUJI  | SERAM ISL. | AS PICTURED | MX-368,https://www.ebay.com/itm/224556552843?hash=item34489d128b:g:2egAAOSwF8Vg859G,https://i.ebayimg.com/thumbs/images/g/2egAAOSwF8Vg859G/s-l225.jpg,$2.58,Aug-15 12:06,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

12:06:17 PDT"
item2b120aaaf3,Pieridae.  4 pairs Delias ninus shouji. West Kalimantan  (20),https://www.ebay.com/itm/184986282739?hash=item2b120aaaf3:g:Hj8AAOSw2jVhDgc-,https://i.ebayimg.com/thumbs/images/g/Hj8AAOSw2jVhDgc-/s-l225.jpg,$6.50,Aug-15 09:35,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,3,1,"Aug 15, 2021

09:35:32 PDT"
item2b112420a6,Pieridae.  3 pairs Delias ninus shouji. West Kalimantan  (20),https://www.ebay.com/itm/184971174054?hash=item2b112420a6:g:pwQAAOSwhE1hA3bL,https://i.ebayimg.com/thumbs/images/g/pwQAAOSwhE1hA3bL/s-l225.jpg,$16.05,Aug-08 09:35,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,7,1,"Aug 08, 2021

09:35:16 PDT"
item4902dcfc6a,Pieridae.  2 pairs Delias ninus shouji. West Kalimantan,https://www.ebay.com/itm/313580649578?hash=item4902dcfc6a:g:N-kAAOSwAgFg1owf,https://i.ebayimg.com/thumbs/images/g/N-kAAOSwAgFg1owf/s-l225.jpg,$10.00,Aug-06 20:58,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,2,
item3447899677,DELIAS NINUS SHOUJI  | SERAM ISL. | AS PICTURED | MX-368,https://www.ebay.com/itm/224538498679?hash=item3447899677:g:2egAAOSwF8Vg859G,https://i.ebayimg.com/thumbs/images/g/2egAAOSwF8Vg859G/s-l225.jpg,$2.58,Jul-25 10:08,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Jul 25, 2021

10:08:43 PDT"
item4dc8389839,Butterfly - 1 x mounted female Delias ninus schoujii (Good A1-),https://www.ebay.com/itm/334071633977?hash=item4dc8389839:g:svQAAOSwkrRgXhvH,https://i.ebayimg.com/thumbs/images/g/svQAAOSwkrRgXhvH/s-l225.jpg,$4.81,Jul-18 10:39,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1,"Jul 18, 2021

10:39:01 PDT"
item4dc71de3ab,Butterfly - 1 x mounted male Delias ninus schoujii  (A1-),https://www.ebay.com/itm/334053106603?hash=item4dc71de3ab:g:az4AAOSwIA1gXhuC,https://i.ebayimg.com/thumbs/images/g/az4AAOSwIA1gXhuC/s-l225.jpg,$4.81,Jul-04 11:03,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,1,1,"Jul 04, 2021

11:03:35 PDT"
item4231ff0cdf,Lepidoptera - Pieridae - Delias ninus shoujii - Kalimantan    Female,https://www.ebay.com/itm/284306640095?hash=item4231ff0cdf:g:c68AAOSwCu5grMaj,https://i.ebayimg.com/thumbs/images/g/c68AAOSwCu5grMaj/s-l225.jpg,$4.95,Jun-05 11:53,"South Shields, United Kingdom",0191stanhope,https://www.ebay.com/usr/0191stanhope?_trksid=p2047675.l2559,Auction,5,1,"Jun 05, 2021

11:53:04 PDT"
item4231ff0708,Lepidoptera - Pieridae - Delias ninus shoujii - Kalimantan    Male,https://www.ebay.com/itm/284306638600?hash=item4231ff0708:g:yE0AAOSwipdgrMYl,https://i.ebayimg.com/thumbs/images/g/yE0AAOSwipdgrMYl/s-l225.jpg,$4.85,Jun-05 11:52,"South Shields, United Kingdom",0191stanhope,https://www.ebay.com/usr/0191stanhope?_trksid=p2047675.l2559,Auction,4,1,"Jun 05, 2021

11:52:31 PDT"
item5968ffa13c,Delias ninus black yellow red butterfly Indonesia Framed,https://www.ebay.com/itm/384013672764?hash=item5968ffa13c:g:OAkAAOSwhdRgSmo~,https://i.ebayimg.com/thumbs/images/g/OAkAAOSwhdRgSmo~/s-l225.jpg,$26.00,Jun-05 01:27,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,4,
