id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item2f297267c4,Graphium antheus Large Striped Swordtail Butterfly Taxidermy REAL Unmounted,https://www.ebay.com/itm/202558826436?hash=item2f297267c4:g:w5kAAOSwJ3RcMkod,https://i.ebayimg.com/thumbs/images/g/w5kAAOSwJ3RcMkod/s-l225.jpg,$3.00,Aug-26 11:09,"Sainte-Brigitte-de-Laval, Quebec, Canada",taxentomo-store,https://www.ebay.com/usr/taxentomo-store?_trksid=p2047675.l2559,Instant,0,28,
item3da7035803,Lot of 2 Larger Striped Swordtail Butterfly Graphium antheus Male Folded FAST,https://www.ebay.com/itm/264795019267?hash=item3da7035803:g:StoAAOSw6eleE42q,https://i.ebayimg.com/thumbs/images/g/StoAAOSw6eleE42q/s-l225.jpg,$5.29,Aug-22 23:43,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,23,
item447ace9ac7,Real Butterfly/Insect/Moth Non Set B7213 Large Blue (Papilio) Graphium antheus,https://www.ebay.com/itm/294118136519?hash=item447ace9ac7:g:JoYAAOSwYHdgekEj,https://i.ebayimg.com/thumbs/images/g/JoYAAOSwYHdgekEj/s-l225.jpg,$3.54,Aug-22 18:56,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,12,
item1f29e697ce,Butterfly - Graphium antheus? x Male? Tanzania.,https://www.ebay.com/itm/133846964174?hash=item1f29e697ce:g:oKQAAOSwArpgntsc,https://i.ebayimg.com/thumbs/images/g/oKQAAOSwArpgntsc/s-l225.jpg,$2.27,Aug-22 15:11,"Hurst, Berkshire, United Kingdom",dh1255,https://www.ebay.com/usr/dh1255?_trksid=p2047675.l2559,Auction,1,1,"Aug 22, 2021

15:11:52 PDT"
item3b4a7852d1,Lot of 20 Larger Striped Swordtail Butterfly Graphium antheus Male Folded FAST,https://www.ebay.com/itm/254652469969?hash=item3b4a7852d1:g:StoAAOSw6eleE42q,https://i.ebayimg.com/thumbs/images/g/StoAAOSw6eleE42q/s-l225.jpg,$42.99,Aug-17 10:01,"Jupiter, Florida, United States",ynot601,https://www.ebay.com/usr/ynot601?_trksid=p2047675.l2559,Instant,0,1,
item54a1e0c973,GRAPHIUM ANTHEUS HALESUS MALE FROM BURU ISL.,https://www.ebay.com/itm/363493116275?hash=item54a1e0c973:g:j6kAAOSwMJ5hCo90,https://i.ebayimg.com/thumbs/images/g/j6kAAOSwMJ5hCo90/s-l225.jpg,$2.25,Aug-14 11:19,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Aug 14, 2021

11:19:44 PDT"
item590431215b,Graphium antheus ONE REAL BUTTERFLY BLUE GREEN SWALLOWTAIL WINGS CLOSED AFRICA,https://www.ebay.com/itm/382322418011?hash=item590431215b:g:rrUAAOSw2NhcgtfZ,https://i.ebayimg.com/thumbs/images/g/rrUAAOSw2NhcgtfZ/s-l225.jpg,$10.00,Aug-07 20:41,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,52,
item46ccbc932a,Real Insect/Butterfly/Moth Set Spread B7484 Blue Large Graphium antheus Peru,https://www.ebay.com/itm/304082621226?hash=item46ccbc932a:g:OlgAAOSwrIpg~2RC,https://i.ebayimg.com/thumbs/images/g/OlgAAOSwrIpg~2RC/s-l225.jpg,$7.19,Aug-06 19:22,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item447b4fb42b,Real Insect/Butterfly/Moth Set Spread B7236 Blue Large Graphium antheus Peru,https://www.ebay.com/itm/294126597163?hash=item447b4fb42b:g:odUAAOSwtyVgejmF,https://i.ebayimg.com/thumbs/images/g/odUAAOSwtyVgejmF/s-l225.jpg,$6.46,Jul-17 15:51,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item28b2777117,Butterfly  x1  female Graphium antheus (Kenya),https://www.ebay.com/itm/174792864023?hash=item28b2777117:g:Fp8AAOSwj1Jgu4pK,https://i.ebayimg.com/thumbs/images/g/Fp8AAOSwj1Jgu4pK/s-l225.jpg,$4.05,Jun-13 09:16,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,1,1,"Jun 13, 2021

09:16:17 PDT"
item2b0b3dbddb,Butterfly  x1  male Graphium antheus (Ghana),https://www.ebay.com/itm/184872189403?hash=item2b0b3dbddb:g:5VQAAOSw21hgu4of,https://i.ebayimg.com/thumbs/images/g/5VQAAOSw21hgu4of/s-l225.jpg,$3.71,Jun-13 09:14,"hamstall ridware, United Kingdom",ridware,https://www.ebay.com/usr/ridware?_trksid=p2047675.l2559,Auction,2,1,"Jun 13, 2021

09:14:18 PDT"
