id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item5dd9a39afa,"Nymphalidae, Morpho cisseis gahua, male, A1-/A2-, Peru",https://www.ebay.com/itm/403083336442?hash=item5dd9a39afa:g:31kAAOSwIdFhGsZ5,https://i.ebayimg.com/thumbs/images/g/31kAAOSwIdFhGsZ5/s-l225.jpg,$53.00,Aug-28 12:34,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,3,1,"Aug 28, 2021

12:34:09 PDT"
item5dd9a399e8,"Nymphalidae, Morpho cisseis gahua, male, A1-, Peru",https://www.ebay.com/itm/403083336168?hash=item5dd9a399e8:g:ELQAAOSwb~xhHVuv,https://i.ebayimg.com/thumbs/images/g/ELQAAOSwb~xhHVuv/s-l225.jpg,$34.00,Aug-28 12:33,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,7,1,"Aug 28, 2021

12:33:51 PDT"
item5dd9a3932c,"Nymphalidae, Morpho cisseis gahua, male, A1-, Peru",https://www.ebay.com/itm/403083334444?hash=item5dd9a3932c:g:KgkAAOSwJ0ZhHVwP,https://i.ebayimg.com/thumbs/images/g/KgkAAOSwJ0ZhHVwP/s-l225.jpg,$40.00,Aug-28 12:32,"Kiev, Ukraine",plmar36,https://www.ebay.com/usr/plmar36?_trksid=p2047675.l2559,Auction,5,1,"Aug 28, 2021

12:32:31 PDT"
item4487a7ae91,Insect/Butterfly Set 7590 V/Rare Orange Bi color Morpho Cisseis phanodemus gahua,https://www.ebay.com/itm/294333689489?hash=item4487a7ae91:g:JP8AAOSwFAJhFwHi,https://i.ebayimg.com/thumbs/images/g/JP8AAOSwFAJhFwHi/s-l225.jpg,$23.97,Aug-26 23:38,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item46cde63db5,Dried Insect/Butterfly Non set B7580 Rare Blue Morpho cisseis phanodemus gahua,https://www.ebay.com/itm/304102129077?hash=item46cde63db5:g:XBgAAOSwFddhE2i9,https://i.ebayimg.com/thumbs/images/g/XBgAAOSwFddhE2i9/s-l225.jpg,$26.15,Aug-24 18:28,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,4,
item3ff64b4dc2,Morpho cisseis gahua-Real Butterfly in Showcase behind glass,https://www.ebay.com/itm/274715069890?hash=item3ff64b4dc2:g:gGkAAOSw97RgSR7i,https://i.ebayimg.com/thumbs/images/g/gGkAAOSw97RgSR7i/s-l225.jpg,$104.90,Aug-22 23:48,"Riga, default, Latvia",bsb-framer,https://www.ebay.com/usr/bsb-framer?_trksid=p2047675.l2559,Instant,0,1,
item422c86a4f7,Morpho cisseis gahua panodemus-Real Butterfly in Showcase behind glass,https://www.ebay.com/itm/284214863095?hash=item422c86a4f7:g:RswAAOSwIXlgSRh9,https://i.ebayimg.com/thumbs/images/g/RswAAOSwIXlgSRh9/s-l225.jpg,$116.68,Aug-22 23:48,"Riga, default, Latvia",bsb-framer,https://www.ebay.com/usr/bsb-framer?_trksid=p2047675.l2559,Instant,0,1,
item54a27e4b7c,"MORPHO CISSEIS CISSEIS MALE FROM SANTAREM, PARA,, BRAZIL",https://www.ebay.com/itm/363503438716?hash=item54a27e4b7c:g:SbgAAOSwR91hFSSO,https://i.ebayimg.com/thumbs/images/g/SbgAAOSwR91hFSSO/s-l225.jpg,$66.60,Aug-22 10:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,17,1,"Aug 22, 2021

10:57:35 PDT"
item5255a4e567,Entomology morphinae morpho cisseis phanodemus male peru,https://www.ebay.com/itm/353624188263?hash=item5255a4e567:g:UwQAAOSwTqphF9TZ,https://i.ebayimg.com/thumbs/images/g/UwQAAOSwTqphF9TZ/s-l225.jpg,$22.39,Aug-21 07:36,"Trosly-Breuil, France",hexapoda60,https://www.ebay.com/usr/hexapoda60?_trksid=p2047675.l2559,Auction,1,1,"Aug 21, 2021

07:36:52 PDT"
item34490f8e10,"MORPHO CISSEIS GAHUA ORANGE M | HUANUCO, PERU | AS PICTURED |UK21-296 | HUGE",https://www.ebay.com/itm/224564055568?hash=item34490f8e10:g:wo4AAOSw7R5g2BOb,https://i.ebayimg.com/thumbs/images/g/wo4AAOSw7R5g2BOb/s-l225.jpg,$15.81,Aug-15 13:46,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,8,1,"Aug 15, 2021

13:46:37 PDT"
item57009e6525,"MORPHO CISSEIS PHANODEMUS FORM PRIAMEIS FROM TONANTINS, BRAZIL",https://www.ebay.com/itm/373672535333?hash=item57009e6525:g:7aUAAOSwGrphC~Ov,https://i.ebayimg.com/thumbs/images/g/7aUAAOSwGrphC~Ov/s-l225.jpg,$108.56,Aug-15 10:51,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Aug 15, 2021

10:51:02 PDT"
item448705f4eb,Morpho cisseis lilacinus M-Brazil,https://www.ebay.com/itm/294323090667?hash=item448705f4eb:g:xfAAAOSwuGFhD9SJ,https://i.ebayimg.com/thumbs/images/g/xfAAAOSwuGFhD9SJ/s-l225.jpg,$57.16,Aug-15 09:05,"Dittelbrunn, Germany",heliconius-3,https://www.ebay.com/usr/heliconius-3?_trksid=p2047675.l2559,Auction,21,1,"Aug 15, 2021

09:05:49 PDT"
item1d0ed9b3f3,Cisseis morpho Butterfly in Box Frame (Morpho cisseis),https://www.ebay.com/itm/124803199987?hash=item1d0ed9b3f3:g:j0wAAOSwf3pgT4B6,https://i.ebayimg.com/thumbs/images/g/j0wAAOSwf3pgT4B6/s-l225.jpg,$82.45,Aug-14 20:10,"Hitchin, United Kingdom",minibeastuk,https://www.ebay.com/usr/minibeastuk?_trksid=p2047675.l2559,Instant,0,1,
item4487503bc7,Dried Insect/Butterfly Nonset B7579 Rare Bicolor Morpho cisseis phanodemus gahua,https://www.ebay.com/itm/294327958471?hash=item4487503bc7:g:4bQAAOSwoYZhE2ft,https://i.ebayimg.com/thumbs/images/g/4bQAAOSwoYZhE2ft/s-l225.jpg,$21.05,Aug-12 02:53,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,2,
item448166e84e,Real Dried Insect/Butterfly Non set B7396 Rare Gold/Brown Morpho cisseis gahua,https://www.ebay.com/itm/294228781134?hash=item448166e84e:g:F18AAOSw0zFg0AkA,https://i.ebayimg.com/thumbs/images/g/F18AAOSw0zFg0AkA/s-l225.jpg,$20.32,Aug-11 14:16,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,7,
item218f3a6441,MORPHIDAE Morpho cisseis phanodemus Blue FEMALE !! 135mm Wingspan PERU #665,https://www.ebay.com/itm/144136889409?hash=item218f3a6441:g:bXUAAOSwHF1fp9-7,https://i.ebayimg.com/thumbs/images/g/bXUAAOSwHF1fp9-7/s-l225.jpg,$99.00,Aug-09 13:28,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Aug 09, 2021

13:28:31 PDT"
item54a1a6512b,"MORPHO CISSEIS PHANODEMUS FORM PRIAMEIS FROM TONANTINS, BRAZIL (glued)",https://www.ebay.com/itm/363489284395?hash=item54a1a6512b:g:kIMAAOSwXylhBtti,https://i.ebayimg.com/thumbs/images/g/kIMAAOSwXylhBtti/s-l225.jpg,$110.50,Aug-08 11:19,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"Aug 08, 2021

11:19:19 PDT"
item54a0f4973e,"MORPHO CISSEIS CISSEIS MALE FROM JURUTI PARA, BRAZIL",https://www.ebay.com/itm/363477636926?hash=item54a0f4973e:g:8pAAAOSweZZg-aNc,https://i.ebayimg.com/thumbs/images/g/8pAAAOSweZZg-aNc/s-l225.jpg,$52.50,Aug-01 11:10,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Aug 01, 2021

11:10:31 PDT"
item54a0a7620d,"MORPHO CISSEIS PHANODEMUS FORM PRIAMEIS MALE FROM TONANTINS, BRAZIL (repaired)",https://www.ebay.com/itm/363472577037?hash=item54a0a7620d:g:beMAAOSw3Plg2Ib1,https://i.ebayimg.com/thumbs/images/g/beMAAOSw3Plg2Ib1/s-l225.jpg,$104.62,Jul-25 10:59,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"Jul 25, 2021

10:59:36 PDT"
item4481afa56c,Real Insect/Butterfly/Moth Set Spread B7402 V/Rare Large Morpho cisseis gahua,https://www.ebay.com/itm/294233548140?hash=item4481afa56c:g:CQgAAOSwNrhgzS2o,https://i.ebayimg.com/thumbs/images/g/CQgAAOSwNrhgzS2o/s-l225.jpg,$23.67,Jul-18 07:25,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item46c2c2ea60,Real morpho cisseis in the frame of expensive clean wood.,https://www.ebay.com/itm/303915264608?hash=item46c2c2ea60:g:71sAAOSw~QdgSPFv,https://i.ebayimg.com/thumbs/images/g/71sAAOSw~QdgSPFv/s-l225.jpg,$18.00,Jul-16 15:18,"Tuchkovo, Mos. olast, Russian Federation",souvenir-insects,https://www.ebay.com/usr/souvenir-insects?_trksid=p2047675.l2559,Instant,0,1,
