id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item4237e346f3,"morpho theseus justitiae, in very good quality,A1/A1-",https://www.ebay.com/itm/284405483251?hash=item4237e346f3:g:m8QAAOSw8nJg-Gyc,https://i.ebayimg.com/thumbs/images/g/m8QAAOSw8nJg-Gyc/s-l225.jpg,$69.00,Aug-16 15:55,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,2,1,"Aug 16, 2021

15:55:45 PDT"
item4237e30cb5,"morpho theseus schertzerii male nice specimen ,sample pic,not actual",https://www.ebay.com/itm/284405468341?hash=item4237e30cb5:g:6mcAAOSwMftezYWt,https://i.ebayimg.com/thumbs/images/g/6mcAAOSwMftezYWt/s-l225.jpg,$5.00,Aug-16 15:12,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Aug 16, 2021

15:12:06 PDT"
item34490faee4,"MORPHO THESEUS SCHWEITZERI  MALE | VERACRUZ, MEXICO  | A1 TO A1-",https://www.ebay.com/itm/224564063972?hash=item34490faee4:g:WakAAOSwx8xgxUlD,https://i.ebayimg.com/thumbs/images/g/WakAAOSwx8xgxUlD/s-l225.jpg,$16.90,Aug-15 13:42,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,5,1,"Aug 15, 2021

13:42:48 PDT"
item4237397c36,"morpho theseus schertzerii male nice specimen ,sample pic,not actual",https://www.ebay.com/itm/284394355766?hash=item4237397c36:g:6mcAAOSwMftezYWt,https://i.ebayimg.com/thumbs/images/g/6mcAAOSwMftezYWt/s-l225.jpg,$5.00,Aug-07 15:39,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,1,1,"Aug 07, 2021

15:39:45 PDT"
item4236e35cfb,1 Morpho Theseus juturna in A- condition,https://www.ebay.com/itm/284388711675?hash=item4236e35cfb:g:emoAAOSwNjthAeZD,https://i.ebayimg.com/thumbs/images/g/emoAAOSwNjthAeZD/s-l225.jpg,$32.99,Aug-02 17:36,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,4,1,"Aug 02, 2021

17:36:16 PDT"
item56ffb8d021,"MORPHO THESEUS AQUARIUS MALE FROM GUAPILES, COSTA RICA",https://www.ebay.com/itm/373657489441?hash=item56ffb8d021:g:PggAAOSwDDZg-aL3,https://i.ebayimg.com/thumbs/images/g/PggAAOSwDDZg-aL3/s-l225.jpg,$38.00,Aug-01 11:08,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,14,1,"Aug 01, 2021

11:08:32 PDT"
item423697e0ee,"morpho theseus schertzerii male nice specimen ,sample pic,not actual",https://www.ebay.com/itm/284383764718?hash=item423697e0ee:g:6mcAAOSwMftezYWt,https://i.ebayimg.com/thumbs/images/g/6mcAAOSwMftezYWt/s-l225.jpg,$7.51,Jul-29 15:30,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,4,1,"Jul 29, 2021

15:30:19 PDT"
item1d101e37b6,"Satyrinae Morpho Theseus juturna, male   #17   FROM San Martin Region PERÚ",https://www.ebay.com/itm/124824467382?hash=item1d101e37b6:g:YQ8AAOSw8ztg~Hzn,https://i.ebayimg.com/thumbs/images/g/YQ8AAOSw8ztg~Hzn/s-l225.jpg,$29.51,Jul-29 13:49,"iquitos, Peru",yacareinsects,https://www.ebay.com/usr/yacareinsects?_trksid=p2047675.l2559,Auction,4,1,"Jul 29, 2021

13:49:58 PDT"
item1d101e319e,"Satyrinae Morpho Theseus juturna, male   #16   FROM San Martin Region PERÚ",https://www.ebay.com/itm/124824465822?hash=item1d101e319e:g:q-YAAOSwgSRg~HwP,https://i.ebayimg.com/thumbs/images/g/q-YAAOSwgSRg~HwP/s-l225.jpg,$41.50,Jul-29 13:46,"iquitos, Peru",yacareinsects,https://www.ebay.com/usr/yacareinsects?_trksid=p2047675.l2559,Auction,19,1,"Jul 29, 2021

13:46:33 PDT"
item42365f4a07,"morpho theseus schwertzerii, in very good quality, almost A1",https://www.ebay.com/itm/284380056071?hash=item42365f4a07:g:WHsAAOSwzt5g3Lty,https://i.ebayimg.com/thumbs/images/g/WHsAAOSwzt5g3Lty/s-l225.jpg,$15.00,Jul-26 15:17,"zapopan, Mexico",prepona3640,https://www.ebay.com/usr/prepona3640?_trksid=p2047675.l2559,Auction,4,1,"Jul 26, 2021

15:17:58 PDT"
