id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54a2e4817a,PAPILIO AEGEUS KEIANUS MALE FROM KEI ISL,https://www.ebay.com/itm/363510137210?hash=item54a2e4817a:g:9L4AAOSwzVphHK19,https://i.ebayimg.com/thumbs/images/g/9L4AAOSwzVphHK19/s-l225.jpg,$2.00,Aug-28 11:04,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Aug 28, 2021

11:04:09 PDT"
item2b107ffc81,Papilionidae. 1 pair Papilio aegeus ormenus. Timika. West Papua,https://www.ebay.com/itm/184960416897?hash=item2b107ffc81:g:AeoAAOSwJBNg-sKC,https://i.ebayimg.com/thumbs/images/g/AeoAAOSwJBNg-sKC/s-l225.jpg,$16.40,Aug-01 08:00,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Auction,3,1,"Aug 01, 2021

08:00:01 PDT"
item1cd4b4660b,"Papilio AEGEUS Onesimus Forma RARE, Irian Jaya, Indonesia, n54",https://www.ebay.com/itm/123827676683?hash=item1cd4b4660b:g:0nYAAOSw6XBdIftA,https://i.ebayimg.com/thumbs/images/g/0nYAAOSw6XBdIftA/s-l225.jpg,$110.79,Jul-29 22:14,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1,
item48fec7845d,Papilionidae. 20 x Papilio aegeus ormenus. Bintuni. West Papua,https://www.ebay.com/itm/313512133725?hash=item48fec7845d:g:ubMAAOSw0XheWgVp,https://i.ebayimg.com/thumbs/images/g/ubMAAOSw0XheWgVp/s-l225.jpg,$10.00,Jul-22 14:57,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,5,
item56fec6bd53,"PAPILIO AEGEUS ORMENUS FEMALE FORM ONESIMUS FROM ARFAK, IRIAN JAYA",https://www.ebay.com/itm/373641624915?hash=item56fec6bd53:g:BMsAAOSwuYRg5e1m,https://i.ebayimg.com/thumbs/images/g/BMsAAOSwuYRg5e1m/s-l225.jpg,$30.10,Jul-18 10:52,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,17,1,"Jul 18, 2021

10:52:39 PDT"
item56fec6bbcb,"PAPILIO AEGEUS ORMENUS FEMALE FORM LEPORINA FROM TIMIKA, IRIAN JAYA",https://www.ebay.com/itm/373641624523?hash=item56fec6bbcb:g:b9sAAOSw6ndg5e1G,https://i.ebayimg.com/thumbs/images/g/b9sAAOSw6ndg5e1G/s-l225.jpg,$12.80,Jul-18 10:51,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Jul 18, 2021

10:51:35 PDT"
item1f2795b1be,"+ ENTOMOLOGY, BUTTERFLY: PAPILIO AEGEUS KEIANUS FEMALE KEI ISL +++",https://www.ebay.com/itm/133808107966?hash=item1f2795b1be:g:cdgAAOSwr-dg4f3Z,https://i.ebayimg.com/thumbs/images/g/cdgAAOSwr-dg4f3Z/s-l225.jpg,$9.60,Jul-11 11:28,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,5,1,"Jul 11, 2021

11:28:56 PDT"
item447fc63a82,Real Insect/Butterfly/Moth Set Spread B7345 Papilio aegeus aegeus P.N.G.,https://www.ebay.com/itm/294201473666?hash=item447fc63a82:g:a~EAAOSw6Jxgstfy,https://i.ebayimg.com/thumbs/images/g/a~EAAOSw6Jxgstfy/s-l225.jpg,$8.35,Jul-09 15:33,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item1cdbac795b,"Papilio aegeus ormenus F. polydorina EX kerowagi, P.N.G., females n312",https://www.ebay.com/itm/123944597851?hash=item1cdbac795b:g:q0kAAOSwc9RdqePD,https://i.ebayimg.com/thumbs/images/g/q0kAAOSwc9RdqePD/s-l225.jpg,$70.72,Jun-23 17:04,"Brachbach, Germany",borboleta555,https://www.ebay.com/usr/borboleta555?_trksid=p2047675.l2559,Instant,0,1,
item23f7e45c62,"Papilionidae Papilio aegeus , mounted",https://www.ebay.com/itm/154482793570?hash=item23f7e45c62:g:0JwAAOSw9-5gvOXZ,https://i.ebayimg.com/thumbs/images/g/0JwAAOSw9-5gvOXZ/s-l225.jpg,$4.12,Jun-16 11:57,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,1,1,"Jun 16, 2021

11:57:22 PDT"
