id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item448154c68c,Real Butterfly/Insect/Moth Non Set B7268 X/Large Papilio gambrisius colossus,https://www.ebay.com/itm/294227592844?hash=item448154c68c:g:YTEAAOSwlspgjNpj,https://i.ebayimg.com/thumbs/images/g/YTEAAOSwlspgjNpj/s-l225.jpg,$4.27,Aug-27 21:22,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,6,
item595b77d72c,Papilio gambrisius black white butterfly Indonesia unmounted wings closed,https://www.ebay.com/itm/383786669868?hash=item595b77d72c:g:bDwAAOSwFfpgzoSy,https://i.ebayimg.com/thumbs/images/g/bDwAAOSwFfpgzoSy/s-l225.jpg,$6.00,Aug-25 07:56,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,6,
item34489d231f,"PAPILIO GAMBRISIUS MALE | SULAWESI, INDONESIA |  AS PICTURED |  UK21-266",https://www.ebay.com/itm/224556557087?hash=item34489d231f:g:OpgAAOSwBx9g86rK,https://i.ebayimg.com/thumbs/images/g/OpgAAOSwBx9g86rK/s-l225.jpg,$3.02,Aug-15 12:54,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Aug 15, 2021

12:54:57 PDT"
item2b003ea2e8,Papilio gambrisius in a frame of good breed Siberian wood !,https://www.ebay.com/itm/184687698664?hash=item2b003ea2e8:g:qNoAAOSwFqNZV7Sl,https://i.ebayimg.com/thumbs/images/g/qNoAAOSwFqNZV7Sl/s-l225.jpg,$14.00,Aug-08 09:02,"Tuchkovo, Mos.oblast, Russian Federation",handmade-rus,https://www.ebay.com/usr/handmade-rus?_trksid=p2047675.l2559,Instant,0,1,
item570035af6b,PAPILIO GAMBRISIUS GAMBRISIUS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/373665673067?hash=item570035af6b:g:leIAAOSwqklg30py,https://i.ebayimg.com/thumbs/images/g/leIAAOSwqklg30py/s-l225.jpg,$27.00,Aug-07 11:21,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"Aug 07, 2021

11:21:15 PDT"
item344789f247,"PAPILIO GAMBRISIUS MALE | SULAWESI, INDONESIA |  AS PICTURED |  UK21-266",https://www.ebay.com/itm/224538522183?hash=item344789f247:g:OpgAAOSwBx9g86rK,https://i.ebayimg.com/thumbs/images/g/OpgAAOSwBx9g86rK/s-l225.jpg,$3.02,Jul-25 12:22,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Jul 25, 2021

12:22:11 PDT"
item54a06ab26b,PAPILIO GAMBRISIUS BURUANUS FEMALE FROM BURU ISL.,https://www.ebay.com/itm/363468599915?hash=item54a06ab26b:g:z0MAAOSwfPdg7x2G,https://i.ebayimg.com/thumbs/images/g/z0MAAOSwfPdg7x2G/s-l225.jpg,$20.50,Jul-24 10:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Jul 24, 2021

10:57:31 PDT"
item56ff400c2e,PAPILIO GAMBRISIUS GAMBRISIUS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/373649574958?hash=item56ff400c2e:g:iWsAAOSwPAZg7x1k,https://i.ebayimg.com/thumbs/images/g/iWsAAOSwPAZg7x1k/s-l225.jpg,$26.00,Jul-24 10:56,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,10,1,"Jul 24, 2021

10:56:55 PDT"
item2afe0c02a1,Papilionidae. 3 x Papilio gambrisius gambrisius. Seram,https://www.ebay.com/itm/184650826401?hash=item2afe0c02a1:g:0pwAAOSw3~dfx1V4,https://i.ebayimg.com/thumbs/images/g/0pwAAOSw3~dfx1V4/s-l225.jpg,$10.00,Jul-24 06:13,"Jakarta, Indonesia",batavia-bugs,https://www.ebay.com/usr/batavia-bugs?_trksid=p2047675.l2559,Instant,0,3,
item21722201e7,Papilio gambrisius gambrisius big size FEMALE in frame of real wood. RARE!,https://www.ebay.com/itm/143648752103?hash=item21722201e7:g:gmoAAOSw4jRe~zft,https://i.ebayimg.com/thumbs/images/g/gmoAAOSw4jRe~zft/s-l225.jpg,$43.00,Jul-20 16:27,"ruza, mosoblast, Russian Federation",souvenirrus,https://www.ebay.com/usr/souvenirrus?_trksid=p2047675.l2559,Instant,0,1,
item447cddd613,Insect/Butterfly/Moth Set Spread B7279 Rare V/Large Papilio gambrisius colossus,https://www.ebay.com/itm/294152689171?hash=item447cddd613:g:HNsAAOSwZGRgjMcF,https://i.ebayimg.com/thumbs/images/g/HNsAAOSwZGRgjMcF/s-l225.jpg,$9.37,Jul-12 20:36,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item549fa2b418,PAPILIO GAMBRISIUS GAMBRISIUS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/363455493144?hash=item549fa2b418:g:leIAAOSwqklg30py,https://i.ebayimg.com/thumbs/images/g/leIAAOSwqklg30py/s-l225.jpg,$32.00,Jul-10 10:46,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,5,1,"Jul 10, 2021

10:46:31 PDT"
item34460a3978,UNMOUNTED BUTTERFLY PAPILIO GAMBRISIUS MALE 1 PC,https://www.ebay.com/itm/224513374584?hash=item34460a3978:g:GyYAAOSwUZhgWXU0,https://i.ebayimg.com/thumbs/images/g/GyYAAOSwUZhgWXU0/s-l225.jpg,$2.99,Jul-02 21:27,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Jul 02, 2021

21:27:45 PDT"
item56fd4dc786,PAPILIO GAMBRISIUS GAMBRISIUS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/373616920454?hash=item56fd4dc786:g:WFIAAOSw64tgyfNA,https://i.ebayimg.com/thumbs/images/g/WFIAAOSw64tgyfNA/s-l225.jpg,$19.50,Jun-26 10:39,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Jun 26, 2021

10:39:14 PDT"
