id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item46ce557055,Insect/Butterfly/Moth Set Spread B7595 Rare Bright Blue/Black Papilio paris,https://www.ebay.com/itm/304109416533?hash=item46ce557055:g:N2wAAOSwzxNhG1BM,https://i.ebayimg.com/thumbs/images/g/N2wAAOSwzxNhG1BM/s-l225.jpg,$12.29,Aug-27 21:10,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,1,
item23ea8d2310,Papilio paris - Indonesia - Unmounted - Ships from USA,https://www.ebay.com/itm/154258973456?hash=item23ea8d2310:g:G6kAAOSwsKxf45rq,https://i.ebayimg.com/thumbs/images/g/G6kAAOSwsKxf45rq/s-l225.jpg,$7.00,Aug-23 19:14,"Twin Falls, Idaho, United States",brlymkgit429,https://www.ebay.com/usr/brlymkgit429?_trksid=p2047675.l2559,Instant,0,5,
item23fc7228c8,Pa6322. Insects butterflies: Papilio paris. North Vietnam. Ha Giang,https://www.ebay.com/itm/154559195336?hash=item23fc7228c8:g:6SEAAOSwfUFhAiII,https://i.ebayimg.com/thumbs/images/g/6SEAAOSwfUFhAiII/s-l225.jpg,$3.00,Aug-20 05:50,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item420fe850de,COLLECTION unmounted butterfly Papilionidae papilio paris SPRING FORM A1,https://www.ebay.com/itm/283734724830?hash=item420fe850de:g:MYwAAOSw4NZbmHDH,https://i.ebayimg.com/thumbs/images/g/MYwAAOSw4NZbmHDH/s-l225.jpg,$3.99,Aug-19 15:26,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,25,
item4214ea5599,COLLECTION unmounted butterfly Papilionidae Papilio paris SPRING FORM yunnan A1-,https://www.ebay.com/itm/283818743193?hash=item4214ea5599:g:4FMAAOSw3utecZCD,https://i.ebayimg.com/thumbs/images/g/4FMAAOSw3utecZCD/s-l225.jpg,$3.85,Aug-19 15:26,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,19,
item3b63acb3ea,"Unmounted Butterfly / Papilionidae - Papilio paris gedeensis, male, A1 / A-",https://www.ebay.com/itm/255075333098?hash=item3b63acb3ea:g:i4MAAOSwAXBhCCD-,https://i.ebayimg.com/thumbs/images/g/i4MAAOSwAXBhCCD-/s-l225.jpg,$4.59,Aug-15 21:50,"Sieraków Wielkopolski, Poland",butterfly-shade,https://www.ebay.com/usr/butterfly-shade?_trksid=p2047675.l2559,Instant,0,5,
item34492366bc,UNMOUNTED BUTTERFLY PAPILIO PARIS BATTACORUM 1 PC .,https://www.ebay.com/itm/224565356220?hash=item34492366bc:g:m0MAAOSwB5phAMdE,https://i.ebayimg.com/thumbs/images/g/m0MAAOSwB5phAMdE/s-l225.jpg,$6.99,Aug-13 21:26,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Aug 13, 2021

21:26:41 PDT"
item344923639b,UNMOUNTED BUTTERFLY PAPILIO PARIS 1 PC .,https://www.ebay.com/itm/224565355419?hash=item344923639b:g:JVkAAOSwi3NgyBy6,https://i.ebayimg.com/thumbs/images/g/JVkAAOSwi3NgyBy6/s-l225.jpg,$5.50,Aug-13 21:24,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,3,1,"Aug 13, 2021

21:24:44 PDT"
item34492363a1,UNMOUNTED BUTTERFLY PAPILIO PARIS DETANI  1 PC,https://www.ebay.com/itm/224565355425?hash=item34492363a1:g:70IAAOSwnUlgyBt7,https://i.ebayimg.com/thumbs/images/g/70IAAOSwnUlgyBt7/s-l225.jpg,$4.99,Aug-13 21:24,"pattaya, chonburi, Thailand",wthongmai,https://www.ebay.com/usr/wthongmai?_trksid=p2047675.l2559,Auction,1,1,"Aug 13, 2021

21:24:44 PDT"
item23fb29c38f,PA7431. Insects butterflies: Papilio paris. North Vietnam. Ha Giang,https://www.ebay.com/itm/154537673615?hash=item23fb29c38f:g:CZ4AAOSwVJZg9o8X,https://i.ebayimg.com/thumbs/images/g/CZ4AAOSwVJZg9o8X/s-l225.jpg,$6.00,Jul-27 01:54,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Auction,7,1,"Jul 27, 2021

01:54:04 PDT"
