id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54a2dd0111,"PARNASSIUS EPAPHUS ALTYENSIS FEMALE FROM GANSU, CHINA",https://www.ebay.com/itm/363509645585?hash=item54a2dd0111:g:mR4AAOSwCMRhHAQx,https://i.ebayimg.com/thumbs/images/g/mR4AAOSwCMRhHAQx/s-l225.jpg,$10.00,Aug-28 10:57,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Aug 28, 2021

10:57:14 PDT"
item570013cd16,PARNASSIUS EPAPHUS PSEUDOSIKKIMENSIS MALE FROM TIBET,https://www.ebay.com/itm/373663452438?hash=item570013cd16:g:CrkAAOSwuuJhAYeb,https://i.ebayimg.com/thumbs/images/g/CrkAAOSwuuJhAYeb/s-l225.jpg,$12.06,Aug-07 11:16,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Aug 07, 2021

11:16:50 PDT"
item570013cb75,"PARNASSIUS EPAPHUS SSP. MALE FROM SHALIUHE RIVER, QINGHAI, CHINA",https://www.ebay.com/itm/373663452021?hash=item570013cb75:g:escAAOSw0NBhAYdt,https://i.ebayimg.com/thumbs/images/g/escAAOSw0NBhAYdt/s-l225.jpg,$7.06,Aug-07 11:15,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Aug 07, 2021

11:15:58 PDT"
item570013c69c,"PARNASSIUS EPAPHUS ALTYENSIS FEMALE FROM GANSU, CHINA",https://www.ebay.com/itm/373663450780?hash=item570013c69c:g:yV8AAOSwsONhAYcu,https://i.ebayimg.com/thumbs/images/g/yV8AAOSwsONhAYcu/s-l225.jpg,$8.06,Aug-07 11:14,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Aug 07, 2021

11:14:19 PDT"
item570013c173,PARNASSIUS EPAPHUS LAMA MALE FROM TIBET,https://www.ebay.com/itm/373663449459?hash=item570013c173:g:CDwAAOSwG2dhAYbU,https://i.ebayimg.com/thumbs/images/g/CDwAAOSwG2dhAYbU/s-l225.jpg,$7.06,Aug-07 11:13,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,11,1,"Aug 07, 2021

11:13:54 PDT"
item56ffe50a96,"PARNASSIUS EPAPHUS NOMINOIDES MALE FROM DULAN, QINGHAI, CHINA",https://www.ebay.com/itm/373660387990?hash=item56ffe50a96:g:Ll0AAOSwSjJg~Zga,https://i.ebayimg.com/thumbs/images/g/Ll0AAOSwSjJg~Zga/s-l225.jpg,$10.50,Aug-01 11:26,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Aug 01, 2021

11:26:03 PDT"
item54a0c7866b,"PARNASSIUS EPAPHUS SHANTANA MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/363474683499?hash=item54a0c7866b:g:m0wAAOSwuAdg9o8v,https://i.ebayimg.com/thumbs/images/g/m0wAAOSwuAdg9o8v/s-l225.jpg,$26.00,Jul-25 10:24,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,22,1,"Jul 25, 2021

10:24:07 PDT"
item54a0c787df,PARNASSIUS EPAPHUS PSEUDOSIKKIMENSIS FEMALE FROM TIBET,https://www.ebay.com/itm/363474683871?hash=item54a0c787df:g:6PQAAOSwdmFg9o9O,https://i.ebayimg.com/thumbs/images/g/6PQAAOSwdmFg9o9O/s-l225.jpg,$21.50,Jul-25 10:23,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,13,1,"Jul 25, 2021

10:23:52 PDT"
item56ff9522ed,"PARNASSIUS EPAPHUS NOMIONIDES MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/373655151341?hash=item56ff9522ed:g:eu8AAOSw1Xdg9o9s,https://i.ebayimg.com/thumbs/images/g/eu8AAOSw1Xdg9o9s/s-l225.jpg,$26.00,Jul-25 10:22,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,19,1,"Jul 25, 2021

10:22:45 PDT"
item549ff3561c,"PARNASSIUS EPAPHUS NOMIONIDES MALE FROM QINGHAI, CHINA",https://www.ebay.com/itm/363460777500?hash=item549ff3561c:g:tFQAAOSwxEBg5ehr,https://i.ebayimg.com/thumbs/images/g/tFQAAOSwxEBg5ehr/s-l225.jpg,$8.50,Jul-17 11:31,"Munich, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Jul 17, 2021

11:31:18 PDT"
