id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item521b6282db,Butterfly Comma Polygonia C album 50+ Y/O  Vintage Ad Trade Card,https://www.ebay.com/itm/352646759131?hash=item521b6282db:g:sJsAAOSw9GdcvHB5,https://i.ebayimg.com/thumbs/images/g/sJsAAOSw9GdcvHB5/s-l225.jpg,$2.74,Aug-22 12:36,"S.E. USA, United States",ajdmba,https://www.ebay.com/usr/ajdmba?_trksid=p2047675.l2559,Instant,0,1,
item3ff4fdc2a5,Comma Butterfly Polygonia c-album England SET x1 A1- British Butterfly #j01,https://www.ebay.com/itm/274693210789?hash=item3ff4fdc2a5:g:1BsAAOSwVKFgW1mg,https://i.ebayimg.com/thumbs/images/g/1BsAAOSwVKFgW1mg/s-l225.jpg,$12.30,Aug-10 00:14,"Sleaford, United Kingdom",themothman35,https://www.ebay.com/usr/themothman35?_trksid=p2047675.l2559,Instant,0,10,
item3b61ce1f31,Polygonia c-album 2pcs (Nymphalidae),https://www.ebay.com/itm/255043968817?hash=item3b61ce1f31:g:P5cAAOSw2ppg5Krp,https://i.ebayimg.com/thumbs/images/g/P5cAAOSw2ppg5Krp/s-l225.jpg,$3.00,Aug-07 12:51,"Voronezh, Russian Federation",maximinus7,https://www.ebay.com/usr/maximinus7?_trksid=p2047675.l2559,Instant,0,3,
item4b9b463165,Polygonia c - album female rare extreme aberration! from Poland (mounted),https://www.ebay.com/itm/324727615845?hash=item4b9b463165:g:DL0AAOSwGtJg3iqq,https://i.ebayimg.com/thumbs/images/g/DL0AAOSwGtJg3iqq/s-l225.jpg,$24.23,Aug-01 13:26,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Aug 01, 2021

13:26:20 PDT"
item4b9990fdd3,Polygonia c - album pair from Poland (mounted),https://www.ebay.com/itm/324698963411?hash=item4b9990fdd3:g:waAAAOSwJ9Vg3iol,https://i.ebayimg.com/thumbs/images/g/waAAAOSwJ9Vg3iol/s-l225.jpg,$3.87,Jul-11 13:48,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Jul 11, 2021

13:48:50 PDT"
item4b9990fc5f,Polygonia c - album pair from Poland (mounted),https://www.ebay.com/itm/324698963039?hash=item4b9990fc5f:g:q6gAAOSwnmFg3iny,https://i.ebayimg.com/thumbs/images/g/q6gAAOSwnmFg3iny/s-l225.jpg,$3.87,Jul-11 13:48,"Swidnica Slaska, Poland",catocala,https://www.ebay.com/usr/catocala?_trksid=p2047675.l2559,Auction,1,1,"Jul 11, 2021

13:48:10 PDT"
item3ffd8c3621,Nymphalidae - Polygonia c-album - Comma - pair & male reverse,https://www.ebay.com/itm/274836764193?hash=item3ffd8c3621:g:d3AAAOSwV2pgvRux,https://i.ebayimg.com/thumbs/images/g/d3AAAOSwV2pgvRux/s-l225.jpg,$7.56,Jun-24 10:58,"Jaroslaw, Poland",mothyl2,https://www.ebay.com/usr/mothyl2?_trksid=p2047675.l2559,Auction,2,1,"Jun 24, 2021

10:58:40 PDT"
item23f7e85645,"Nymphalidae Comma Polygonia c-album aberrant 3 , mounted",https://www.ebay.com/itm/154483054149?hash=item23f7e85645:g:0LsAAOSwzthgvRut,https://i.ebayimg.com/thumbs/images/g/0LsAAOSwzthgvRut/s-l225.jpg,$7.99,Jun-16 12:51,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,6,1,"Jun 16, 2021

12:51:45 PDT"
item2664df842d,"Nymphalidae Comma Polygonia c-album aberrant 2 , mounted",https://www.ebay.com/itm/164901127213?hash=item2664df842d:g:3NoAAOSw0cBgvRuF,https://i.ebayimg.com/thumbs/images/g/3NoAAOSw0cBgvRuF/s-l225.jpg,$4.38,Jun-16 12:50,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,1,1,"Jun 16, 2021

12:50:37 PDT"
item23f7e8504d,"Nymphalidae Comma Polygonia c-album aberrant 1 , mounted",https://www.ebay.com/itm/154483052621?hash=item23f7e8504d:g:zgEAAOSwDs5gvRs~,https://i.ebayimg.com/thumbs/images/g/zgEAAOSwDs5gvRs~/s-l225.jpg,$7.99,Jun-16 12:49,"Wilamowice k Oswiecimia, Poland",wildwooods,https://www.ebay.com/usr/wildwooods?_trksid=p2047675.l2559,Auction,6,1,"Jun 16, 2021

12:49:42 PDT"
