id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item40027931cd,"10 Castor Oil Bean Plant Seeds (Ricinus communis) Repel Voles, Moles & Pests",https://www.ebay.com/itm/274919403981?hash=item40027931cd:g:Q1MAAOSwWUVhJYM1,https://i.ebayimg.com/thumbs/images/g/Q1MAAOSwWUVhJYM1/s-l225.jpg,$11.95,Aug-25 22:15,"Lincolnton, North Carolina, United States",subculture9,https://www.ebay.com/usr/subculture9?_trksid=p2047675.l2559,Instant,0,1,
item28b080fe25,50 Bean Seeds / HARVESTED IN 2020 / Ricinus communis 'Zanzibarensis',https://www.ebay.com/itm/174759935525?hash=item28b080fe25:g:UlYAAOSw-npgE3AQ,https://i.ebayimg.com/thumbs/images/g/UlYAAOSw-npgE3AQ/s-l225.jpg,$15.00,Aug-25 20:17,"Racine, Ohio, United States",bcr54brian,https://www.ebay.com/usr/bcr54brian?_trksid=p2047675.l2559,Instant,0,9,
item3680d961a6,Ricinus communis 20+ Seeds - Castor Bean,https://www.ebay.com/itm/234089963942?hash=item3680d961a6:g:av8AAOSwAs9g78IW,https://i.ebayimg.com/thumbs/images/g/av8AAOSwAs9g78IW/s-l225.jpg,$10.86,Aug-25 18:26,"Little Rock, Arkansas, United States",hunwil-61,https://www.ebay.com/usr/hunwil-61?_trksid=p2047675.l2559,Instant,0,13,
item2d38389c11,"Castor bean seeds - Ricinus communis, 12-pack",https://www.ebay.com/itm/194216762385?hash=item2d38389c11:g:dswAAOSwBtVg2UXk,https://i.ebayimg.com/thumbs/images/g/dswAAOSwBtVg2UXk/s-l225.jpg,$9.29,Aug-20 09:56,"Saint Petersburg, Florida, United States",marbialhaiti,https://www.ebay.com/usr/marbialhaiti?_trksid=p2047675.l2559,Instant,0,11,
item2667345f4b,CASTOR ROOT POWDER Ricinus Communis ERAND Ayurveda WHOLE 100g Free Shipping,https://www.ebay.com/itm/164940242763?hash=item2667345f4b:g:PAIAAOSw8BNdP-EA,https://i.ebayimg.com/thumbs/images/g/PAIAAOSw8BNdP-EA/s-l225.jpg,$21.94,Aug-19 22:57,"MUMBAI, MAHARASHTRA, India",tatvayog,https://www.ebay.com/usr/tatvayog?_trksid=p2047675.l2559,Instant,0,1,
item4b9c655b45,20 Bean Seeds / HARVESTED IN 2020 / Ricinus communis 'Zanzibarensis',https://www.ebay.com/itm/324746435397?hash=item4b9c655b45:g:u-UAAOSwxbBg36TY,https://i.ebayimg.com/thumbs/images/g/u-UAAOSwxbBg36TY/s-l225.jpg,$5.00,Aug-16 11:40,"Garrettsville, Ohio, United States",qd8340,https://www.ebay.com/usr/qd8340?_trksid=p2047675.l2559,Auction,1,1,"Aug 16, 2021

11:40:00 PDT"
item5daac8acbb,Ricinus communis plant,https://www.ebay.com/itm/402297236667?hash=item5daac8acbb:g:BYYAAOSwZPVem1yc,https://i.ebayimg.com/thumbs/images/g/BYYAAOSwZPVem1yc/s-l225.jpg,$3.00,Aug-16 02:37,"Budapest, Hungary",mri-dimit,https://www.ebay.com/usr/mri-dimit?_trksid=p2047675.l2559,Instant,0,1,
item3dc2a3f9e6,Deve Herbes Pure Castor Oil (Ricinus Communis) with Glass Dropper 100% Natural,https://www.ebay.com/itm/265258531302?hash=item3dc2a3f9e6:g:G1UAAOSwOhNhD4QV,https://i.ebayimg.com/thumbs/images/g/G1UAAOSwOhNhD4QV/s-l225.jpg,$6.29,Aug-14 12:17,"SURAT, GUJARAT, India",krishimall,https://www.ebay.com/usr/krishimall?_trksid=p2047675.l2559,Instant,0,1,
item28a8985daa,30 Bean Seeds / HARVESTED IN 2020 / Ricinus communis 'Zanzibarensis',https://www.ebay.com/itm/174627249578?hash=item28a8985daa:g:UlYAAOSw-npgE3AQ,https://i.ebayimg.com/thumbs/images/g/UlYAAOSw-npgE3AQ/s-l225.jpg,$12.50,Aug-13 07:34,"Racine, Ohio, United States",bcr54brian,https://www.ebay.com/usr/bcr54brian?_trksid=p2047675.l2559,Instant,0,20,
item2b117fde73,20 CASTOR BEAN SEEDS Ricinus Communis Zanzibarensis  or MOLE BEANS,https://www.ebay.com/itm/184977186419?hash=item2b117fde73:g:Sb4AAOSwkEJgdKCg,https://i.ebayimg.com/thumbs/images/g/Sb4AAOSwkEJgdKCg/s-l225.jpg,$9.75,Aug-12 04:12,"Piney Flats, Tennessee, United States",menana22,https://www.ebay.com/usr/menana22?_trksid=p2047675.l2559,Auction,1,1,"Aug 12, 2021

04:12:11 PDT"
