id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item59367ef918,Zerene cesonia REAL BUTTERFLY YELLOW DOGFACE ARIZONA USA CHRISTMAS ORNAMENT GIFT,https://www.ebay.com/itm/383166380312?hash=item59367ef918:g:JqYAAOSwfrldhqRQ,https://i.ebayimg.com/thumbs/images/g/JqYAAOSwfrldhqRQ/s-l225.jpg,$26.00,Aug-23 05:37,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,1,
item34490f5f39,ZERENE CESONIA | CUERNAVACA MEXICO | AS PICTURED | UK21-312A,https://www.ebay.com/itm/224564043577?hash=item34490f5f39:g:hHcAAOSwdcBgqer-,https://i.ebayimg.com/thumbs/images/g/hHcAAOSwdcBgqer-/s-l225.jpg,$2.58,Aug-15 11:42,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,1,1,"Aug 15, 2021

11:42:23 PDT"
item1f29ab3f04,"+ ENTOMOLOGY, BUTTERFLY: ZERENE CESONIA MALE PERU +++",https://www.ebay.com/itm/133843074820?hash=item1f29ab3f04:g:87oAAOSwKEthEBV2,https://i.ebayimg.com/thumbs/images/g/87oAAOSwKEthEBV2/s-l225.jpg,$4.00,Aug-15 10:34,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,3,1,"Aug 15, 2021

10:34:17 PDT"
item34470214ec,ZERENE CESONIA MALE | VERACRUZ MEXICO | AS PICTURED | UK21-525,https://www.ebay.com/itm/224529618156?hash=item34470214ec:g:NtwAAOSwBRFg6jxs,https://i.ebayimg.com/thumbs/images/g/NtwAAOSwBRFg6jxs/s-l225.jpg,$3.30,Jul-18 11:28,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,3,1,"Jul 18, 2021

11:28:21 PDT"
item56fee920fb,Zerene cesonia (California dog face) pair,https://www.ebay.com/itm/373643878651?hash=item56fee920fb:g:DbcAAOSwJ45g6ERm,https://i.ebayimg.com/thumbs/images/g/DbcAAOSwJ45g6ERm/s-l225.jpg,$35.73,Jul-17 11:03,"Pershore, United Kingdom",julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,4,1,"Jul 17, 2021

11:03:40 PDT"
item34466dba25,ZERENE CESONIA | CUERNAVACA MEXICO | AS PICTURED | UK21-312A,https://www.ebay.com/itm/224519895589?hash=item34466dba25:g:hHcAAOSwdcBgqer-,https://i.ebayimg.com/thumbs/images/g/hHcAAOSwdcBgqer-/s-l225.jpg,$3.02,Jul-17 10:01,"Oldbury, United Kingdom",multicaudata,https://www.ebay.com/usr/multicaudata?_trksid=p2047675.l2559,Auction,2,1,"Jul 17, 2021

10:01:07 PDT"
item1d0daf0d72,Southern Dogface Sulfur Butterfly Zerene cesonia Pieridae Lepidoptera S TX F126,https://www.ebay.com/itm/124783627634?hash=item1d0daf0d72:g:LvwAAOSwJtlg0rl0,https://i.ebayimg.com/thumbs/images/g/LvwAAOSwJtlg0rl0/s-l225.jpg,$3.47,Jul-06 18:09,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,3,1,"Jul 06, 2021

18:09:26 PDT"
item56fdce9039,Southern Dogface Sulfur Butterfly Zerene cesonia Pieridae Lepidoptera S TX F124,https://www.ebay.com/itm/373625360441?hash=item56fdce9039:g:qRwAAOSwF1xg0ris,https://i.ebayimg.com/thumbs/images/g/qRwAAOSwF1xg0ris/s-l225.jpg,$3.37,Jul-06 18:08,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,7,1,"Jul 06, 2021

18:08:03 PDT"
item56fdce904a,Southern Dogface Sulfur Butterfly Zerene cesonia Pieridae Lepidoptera S TX F120,https://www.ebay.com/itm/373625360458?hash=item56fdce904a:g:x7QAAOSwS5Fg0rcZ,https://i.ebayimg.com/thumbs/images/g/x7QAAOSwS5Fg0rcZ/s-l225.jpg,$3.37,Jul-06 18:07,"Houston, Texas, United States",txentosupply,https://www.ebay.com/usr/txentosupply?_trksid=p2047675.l2559,Auction,6,1,"Jul 06, 2021

18:07:00 PDT"
item58cb5a40b7,Zerene cesonia ONE REAL ARIZONA DOGFACE BUTTERFLY UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/381368811703?hash=item58cb5a40b7:g:048AAOSwNAtchbEE,https://i.ebayimg.com/thumbs/images/g/048AAOSwNAtchbEE/s-l225.jpg,$6.00,Jun-02 08:04,"Sahuarita, Arizona, United States",bicbugs,https://www.ebay.com/usr/bicbugs?_trksid=p2047675.l2559,Instant,0,185,
