id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item571f86d06e,CHARAXES BERNARDUS BALIENSIS MALE FROM BALI ISL.,https://www.ebay.com/itm/374191083630?hash=item571f86d06e:g:tAUAAOSwT1Bi4QcY,https://i.ebayimg.com/thumbs/images/g/tAUAAOSwT1Bi4QcY/s-l225.jpg,$3.25,Aug-06 10:19,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Aug 06, 2022

10:19:44 PDT"
item1ad4de6765,"LEPIDOPTERA, NYMPHALIDAE, CHARAXINAE, CHARAXES BERNARDUS from MALAYSIA",https://www.ebay.com/itm/115240494949?hash=item1ad4de6765:g:EM8AAOSwn9hiAUzk,https://i.ebayimg.com/thumbs/images/g/EM8AAOSwn9hiAUzk/s-l225.jpg,$2.27,Jul-30 08:42,Unknown,Unknown,Unknown,Instant,0,1,
item54bac7cc82,CHARAXES BERNARDUS BALIENSIS MALE FROM BALI ISL.,https://www.ebay.com/itm/363910909058?hash=item54bac7cc82:g:a-oAAOSw7gVi0qOT,https://i.ebayimg.com/thumbs/images/g/a-oAAOSw7gVi0qOT/s-l225.jpg,$2.00,Jul-23 11:08,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Jul 23, 2022

11:08:15 PDT"
item571dc94463,CHARAXES BERNARDUS AJAX FEMALE FROM SUMATRA,https://www.ebay.com/itm/374161884259?hash=item571dc94463:g:pM8AAOSwIJRiwB4a,https://i.ebayimg.com/thumbs/images/g/pM8AAOSwIJRiwB4a/s-l225.jpg,$11.71,Jul-09 10:06,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jul 09, 2022

10:06:52 PDT"
item571c6cc0cb,CHARAXES BERNARDUS ARDJANUS MALE FROM KANGEAN ISL,https://www.ebay.com/itm/374139044043?hash=item571c6cc0cb:g:R~kAAOSwZ39ir0V8,https://i.ebayimg.com/thumbs/images/g/R~kAAOSwZ39ir0V8/s-l225.jpg,$16.50,Jun-26 11:19,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,15,1,"Jun 26, 2022

11:19:54 PDT"
item571bb89873,Charaxes bernardus Jalinder male * India *,https://www.ebay.com/itm/374127237235?hash=item571bb89873:g:XAMAAOSwV5tipiob,https://i.ebayimg.com/thumbs/images/g/XAMAAOSwV5tipiob/s-l225.jpg,$12.57,Jun-19 11:02,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Auction,2,1,"Jun 19, 2022

11:02:07 PDT"
item571bb7dcf6,Charaxes bernardus Maganum male * India/Nepal *,https://www.ebay.com/itm/374127189238?hash=item571bb7dcf6:g:VpUAAOSwAjZiph03,https://i.ebayimg.com/thumbs/images/g/VpUAAOSwAjZiph03/s-l225.jpg,$18.60,Jun-19 10:07,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Auction,3,1,"Jun 19, 2022

10:07:06 PDT"
item571b037079,Charaxes bernardus khasianus male * Asm *,https://www.ebay.com/itm/374115364985?hash=item571b037079:g:xdkAAOSwQHFinPSH,https://i.ebayimg.com/thumbs/images/g/xdkAAOSwQHFinPSH/s-l225.jpg,$24.64,Jun-12 11:23,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Auction,3,1,"Jun 12, 2022

11:23:06 PDT"
item571b0351bd,Charaxes bernardus khasianus FEMALE *Assam*,https://www.ebay.com/itm/374115357117?hash=item571b0351bd:g:RyYAAOSwAYtinPHz,https://i.ebayimg.com/thumbs/images/g/RyYAAOSwAYtinPHz/s-l225.jpg,$21.14,Jun-12 11:12,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Auction,3,1,"Jun 12, 2022

11:12:07 PDT"
item571b02ea1d,Charaxes BERNARDUS HIPPONAX * India/Nepal *,https://www.ebay.com/itm/374115330589?hash=item571b02ea1d:g:8sgAAOSw~F5inOso,https://i.ebayimg.com/thumbs/images/g/8sgAAOSw~F5inOso/s-l225.jpg,$10.05,Jun-12 10:43,"Netphen, Germany",insects-more-com,https://www.ebay.com/usr/insects-more-com?_trksid=p2047675.l2559,Auction,1,1,"Jun 12, 2022

10:43:07 PDT"
