id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item346ada0756,"Butterfly. Delias pasithoe. Guangdong, Foshan.1F. MC2777.",https://www.ebay.com/itm/225130973014?hash=item346ada0756:g:zmcAAOSwrkdjBE50,https://i.ebayimg.com/thumbs/images/g/zmcAAOSwrkdjBE50/s-l225.jpg,$4.99,Aug-27 20:50,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Aug 27, 2022

20:50:27 PDT"
item48c710b9de,COLLECTION 5 PCS unmounted butterfly pieridae Delias pasithoe thyra  A1  A1-,https://www.ebay.com/itm/312577407454?hash=item48c710b9de:g:d9EAAOSwCHBa8~ID,https://i.ebayimg.com/thumbs/images/g/d9EAAOSwCHBa8~ID/s-l225.jpg,$7.99,Aug-23 19:35,Unknown,Unknown,Unknown,Instant,0,1,
item4256a27b4a,collection unmounted real folded butterfly pieridae delias pasithoe  #BT20,https://www.ebay.com/itm/284921330506?hash=item4256a27b4a:g:af4AAOSwmK9i6-mh,https://i.ebayimg.com/thumbs/images/g/af4AAOSwmK9i6-mh/s-l225.jpg,$2.99,Aug-11 08:46,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"Aug 11, 2022

08:46:08 PDT"
item4bbca8a4cf,"Butterfly. Delias pasithoe. Guangdong, Foshan. 1F. MC2384.",https://www.ebay.com/itm/325287716047?hash=item4bbca8a4cf:g:YKMAAOSwt2li5O-y,https://i.ebayimg.com/thumbs/images/g/YKMAAOSwt2li5O-y/s-l225.jpg,$4.99,Aug-05 11:31,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Aug 05, 2022

11:31:26 PDT"
item54ba0a8910,DELIAS PASITHOE CURASENA FEMALE FROM TAIWAN,https://www.ebay.com/itm/363898505488?hash=item54ba0a8910:g:QcIAAOSwnFFixYIU,https://i.ebayimg.com/thumbs/images/g/QcIAAOSwnFFixYIU/s-l225.jpg,$5.00,Jul-16 10:00,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Jul 16, 2022

10:00:46 PDT"
item571e1494b5,DELIAS PASITHOE CURASENA MALE FROM TAIWAN,https://www.ebay.com/itm/374166820021?hash=item571e1494b5:g:SnMAAOSwTvdixYH1,https://i.ebayimg.com/thumbs/images/g/SnMAAOSwTvdixYH1/s-l225.jpg,$1.82,Jul-16 09:59,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,2,1,"Jul 16, 2022

09:59:54 PDT"
item4de0439bc0,Butterfly - 1 x mounted female SCARCE Delias pasithoe (A1-),https://www.ebay.com/itm/334475008960?hash=item4de0439bc0:g:Ai8AAOSwX7BiGpGl,https://i.ebayimg.com/thumbs/images/g/Ai8AAOSwX7BiGpGl/s-l225.jpg,$4.89,Jun-26 10:05,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,3,1,"Jun 26, 2022

10:05:51 PDT"
item34653ccf18,"Butterfly. Delias pasithoe. Fujian, Quanzhou, Mt.Daiyunshan. 1F. MC2045.",https://www.ebay.com/itm/225036783384?hash=item34653ccf18:g:KTYAAOSwtaJirxtU,https://i.ebayimg.com/thumbs/images/g/KTYAAOSwtaJirxtU/s-l225.jpg,$29.00,Jun-24 15:20,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,4,1,"Jun 24, 2022

15:20:16 PDT"
item54b7339384,DELIAS PASITHOE CURASENA MALE FROM TAIWAN,https://www.ebay.com/itm/363850863492?hash=item54b7339384:g:rHwAAOSwzvNijk8I,https://i.ebayimg.com/thumbs/images/g/rHwAAOSwzvNijk8I/s-l225.jpg,$6.06,Jun-04 10:23,Unknown,Unknown,Unknown,Instant,0,1,
item54b733914d,DELIAS PASITHOE CURASENA FEMALE FROM TAIWAN,https://www.ebay.com/itm/363850862925?hash=item54b733914d:g:RKMAAOSwWWZijk7k,https://i.ebayimg.com/thumbs/images/g/RKMAAOSwWWZijk7k/s-l225.jpg,$6.06,Jun-04 10:22,Unknown,Unknown,Unknown,Instant,0,1,
