id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item42232ab448,collection 50 pcs unmounted butterfly papilionidae Graphium chironides  A1 A1-,https://www.ebay.com/itm/284057842760?hash=item42232ab448:g:0PAAAMXQ-3NRmamN,https://i.ebayimg.com/thumbs/images/g/0PAAAMXQ-3NRmamN/s-l225.jpg,$35.00,Aug-29 06:27,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,8,
item4bbe48fe14,"Butterfly. Graphium chironides. Fujian, Quanzhou, Mt.Daiyunshan.1M. MC3145.",https://www.ebay.com/itm/325315001876?hash=item4bbe48fe14:g:f5UAAOSwaU9jBK2k,https://i.ebayimg.com/thumbs/images/g/f5UAAOSwaU9jBK2k/s-l225.jpg,$4.99,Aug-28 03:36,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Aug 28, 2022

03:36:39 PDT"
item42150c4a10,COLLECTION unmounted butterfly papilionidae Graphium chironides yunnan CHINA A1,https://www.ebay.com/itm/283820968464?hash=item42150c4a10:g:KkIAAOSwUCBedBz7,https://i.ebayimg.com/thumbs/images/g/KkIAAOSwUCBedBz7/s-l225.jpg,$1.99,Aug-26 21:46,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,11,
item42150c5c5b,COLLECTION unmounted butterfly papilionidae Graphium chironides yunnan CHINA A1-,https://www.ebay.com/itm/283820973147?hash=item42150c5c5b:g:-8kAAOSwUF1edBw8,https://i.ebayimg.com/thumbs/images/g/-8kAAOSwUF1edBw8/s-l225.jpg,$1.49,Aug-26 21:46,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,4,
item42150c7091,5 pcs unmounted butterfly papilionidae Graphium chironides yunnan CHINA A1 A1-,https://www.ebay.com/itm/283820978321?hash=item42150c7091:g:KkIAAOSwUCBedBz7,https://i.ebayimg.com/thumbs/images/g/KkIAAOSwUCBedBz7/s-l225.jpg,$7.99,Aug-26 21:46,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,4,
item4912df843a,COLLECTION green unmounted butterfly papilionidae Graphium chironides  A1,https://www.ebay.com/itm/313849250874?hash=item4912df843a:g:0PAAAMXQ-3NRmamN,https://i.ebayimg.com/thumbs/images/g/0PAAAMXQ-3NRmamN/s-l225.jpg,$1.29,Aug-26 06:44,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,1,
item42512592a2,50 pcs unmounted butterfly papilionidae Graphium chironides spring form A1 A1-,https://www.ebay.com/itm/284829258402?hash=item42512592a2:g:RnYAAOSwE6Bijkv6,https://i.ebayimg.com/thumbs/images/g/RnYAAOSwE6Bijkv6/s-l225.jpg,$34.90,Aug-26 06:33,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Instant,0,3,
item425706f269,unmounted folded real butterfly papilionidae graphium chironides China  #A60,https://www.ebay.com/itm/284927914601?hash=item425706f269:g:osYAAOSwOzpi189A,https://i.ebayimg.com/thumbs/images/g/osYAAOSwOzpi189A/s-l225.jpg,$2.25,Aug-17 08:53,"mainland, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,4,1,"Aug 17, 2022

08:53:30 PDT"
item4bbcb46011,"Butterfly. Graphium chironides. Guizhou, Qiandongnan, Rongjiang. 1M. MC2483.",https://www.ebay.com/itm/325288484881?hash=item4bbcb46011:g:gIEAAOSwWj1i5hus,https://i.ebayimg.com/thumbs/images/g/gIEAAOSwWj1i5hus/s-l225.jpg,$4.99,Aug-05 13:10,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Aug 05, 2022

13:10:23 PDT"
item4bbca8620e,"Butterfly. Graphium chironides. Zhejiang, Ningbo. 1M. MC2348.",https://www.ebay.com/itm/325287698958?hash=item4bbca8620e:g:HawAAOSwl9Zi5Oel,https://i.ebayimg.com/thumbs/images/g/HawAAOSwl9Zi5Oel/s-l225.jpg,$4.99,Aug-05 10:55,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,1,1,"Aug 05, 2022

10:55:47 PDT"
item4254d9c7d8,green 5 unmounted butterfly papilionidae Graphium chironides SPRING FROM  A1 A1-,https://www.ebay.com/itm/284891400152?hash=item4254d9c7d8:g:Yl8AAOSwQ-5ijknw,https://i.ebayimg.com/thumbs/images/g/Yl8AAOSwQ-5ijknw/s-l225.jpg,$0.99,Jul-17 06:32,"beijing, China",china*butterfly,https://www.ebay.com/usr/china*butterfly?_trksid=p2047675.l2559,Auction,1,1,"Jul 17, 2022

06:32:16 PDT"
