id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item44b5f67825,Real Dried Insect/Butterfly Non set B8761 Rare Large Hebomoia leucippe daemonis,https://www.ebay.com/itm/295110604837?hash=item44b5f67825:g:19IAAOSwNmdi4h7F,https://i.ebayimg.com/thumbs/images/g/19IAAOSwNmdi4h7F/s-l225.jpg,$4.70,Aug-28 14:29,Unknown,Unknown,Unknown,Instant,0,3,
item36a34a60b3,Entomology BUTTERFLY: HEBOMOIA LEUCIPPE DAEMONIS Emotional CERMA ISL,https://www.ebay.com/itm/234667794611?hash=item36a34a60b3:g:B-EAAOSw-LNjAj97,https://i.ebayimg.com/thumbs/images/g/B-EAAOSw-LNjAj97/s-l225.jpg,$4.52,Aug-28 09:46,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Aug 28, 2022

09:46:01 PDT"
item5720d068dc,HEBOMOIA LEUCIPPE DAEMONIS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/374212683996?hash=item5720d068dc:g:j-cAAOSwId1i970t,https://i.ebayimg.com/thumbs/images/g/j-cAAOSwId1i970t/s-l225.jpg,$11.50,Aug-20 10:12,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Aug 20, 2022

10:12:00 PDT"
item54bcc3dae2,HEBOMOIA LEUCIPPE DAEMONIS MALE FROM CERAM ISL.,https://www.ebay.com/itm/363944205026?hash=item54bcc3dae2:g:KoQAAOSwuPdi970O,https://i.ebayimg.com/thumbs/images/g/KoQAAOSwuPdi970O/s-l225.jpg,$10.49,Aug-20 10:11,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Aug 20, 2022

10:11:00 PDT"
item54bcc3da61,HEBOMOIA LEUCIPPE LEUCIPPE MALE FROM AMBON ISL.,https://www.ebay.com/itm/363944204897?hash=item54bcc3da61:g:myIAAOSwnVVi97zu,https://i.ebayimg.com/thumbs/images/g/myIAAOSwnVVi97zu/s-l225.jpg,$9.99,Aug-20 10:10,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,8,1,"Aug 20, 2022

10:10:00 PDT"
item5720d06546,HEBOMOIA LEUCIPPE LEUCOGYNA MALE FROM BURU ISL.,https://www.ebay.com/itm/374212683078?hash=item5720d06546:g:d~0AAOSw8eVi97zU,https://i.ebayimg.com/thumbs/images/g/d~0AAOSw8eVi97zU/s-l225.jpg,$10.48,Aug-20 10:09,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Aug 20, 2022

10:09:00 PDT"
item57204fb075,HEBOMOIA LEUCIPPE DAEMONIS FEMALE FROM CERAM ISL.,https://www.ebay.com/itm/374204248181?hash=item57204fb075:g:rOQAAOSwRFFi7mfm,https://i.ebayimg.com/thumbs/images/g/rOQAAOSwRFFi7mfm/s-l225.jpg,$8.55,Aug-13 10:12,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Aug 13, 2022

10:12:01 PDT"
item54bc33f945,HEBOMOIA LEUCIPPE LEUCIPPE MALE FROM AMBON ISL.,https://www.ebay.com/itm/363934775621?hash=item54bc33f945:g:M~EAAOSwSQxi7mfN,https://i.ebayimg.com/thumbs/images/g/M~EAAOSwSQxi7mfN/s-l225.jpg,$1.50,Aug-13 10:11,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,1,1,"Aug 13, 2022

10:11:16 PDT"
item21af11b4a9,PIERIDAE Hebomoia leucippe daemonis MALE from Ceram mounted #958,https://www.ebay.com/itm/144671093929?hash=item21af11b4a9:g:62YAAOSwcXhiqQBa,https://i.ebayimg.com/thumbs/images/g/62YAAOSwcXhiqQBa/s-l225.jpg,$3.25,Aug-12 12:46,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,5,1,"Aug 12, 2022

12:46:09 PDT"
item21aeb1ae26,"+ entomology, BUTTERFLY: 4X HEBOMOIA LEUCIPPE DAEMONIS CERAM ISL",https://www.ebay.com/itm/144664800806?hash=item21aeb1ae26:g:ilQAAOSwUHNi5rXI,https://i.ebayimg.com/thumbs/images/g/ilQAAOSwUHNi5rXI/s-l225.jpg,$8.59,Aug-07 10:03,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,6,1,"Aug 07, 2022

10:03:22 PDT"
