id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54bdab735d,5 Morpho achilles in A1 condition,https://www.ebay.com/itm/363959382877?hash=item54bdab735d:g:JOUAAOSwcV5jCVhs,https://i.ebayimg.com/thumbs/images/g/JOUAAOSwcV5jCVhs/s-l225.jpg,$29.33,Aug-31 17:09,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"Aug 31, 2022

17:09:01 PDT"
item4257effcf1,10 Morpho Achilles in A1 condition,https://www.ebay.com/itm/284943187185?hash=item4257effcf1:g:EBoAAOSwwS1i9uuX,https://i.ebayimg.com/thumbs/images/g/EBoAAOSwwS1i9uuX/s-l225.jpg,$52.00,Aug-29 18:37,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,5,1,"Aug 29, 2022

18:37:05 PDT"
item3b789e777b,"Unmounted Butterfly / Morphidae - Morpho achilles fagardi, male, A1 / A-",https://www.ebay.com/itm/255426721659?hash=item3b789e777b:g:HnsAAOSwJOBiKR26,https://i.ebayimg.com/thumbs/images/g/HnsAAOSwJOBiKR26/s-l225.jpg,$9.60,Aug-25 22:57,Unknown,Unknown,Unknown,Instant,0,1,
item33c64877e7,Morpho achilles ONE REAL BUTTERFLY BLUE BLACK UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/222369970151?hash=item33c64877e7:g:DsUAAOSw2IZfHkkG,https://i.ebayimg.com/thumbs/images/g/DsUAAOSw2IZfHkkG/s-l225.jpg,$10.00,Aug-25 15:17,Unknown,Unknown,Unknown,Instant,0,108,
item42579f6e68,10 Morpho Achilles in A1 condition,https://www.ebay.com/itm/284937907816?hash=item42579f6e68:g:3cEAAOSwNZ1jAB6Q,https://i.ebayimg.com/thumbs/images/g/3cEAAOSwNZ1jAB6Q/s-l225.jpg,$51.99,Aug-24 17:12,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"Aug 24, 2022

17:12:01 PDT"
item54bd386078,5 Morpho Achilles in A1 condition,https://www.ebay.com/itm/363951841400?hash=item54bd386078:g:M24AAOSwk6djAB3v,https://i.ebayimg.com/thumbs/images/g/M24AAOSwk6djAB3v/s-l225.jpg,$25.99,Aug-24 17:09,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"Aug 24, 2022

17:09:01 PDT"
item3b78951393,"Unmounted Butterfly/Morphidae - Morpho achilles fagardi, male, A1/A-",https://www.ebay.com/itm/255426106259?hash=item3b78951393:g:xSsAAOSw03NiKL8~,https://i.ebayimg.com/thumbs/images/g/xSsAAOSw03NiKL8~/s-l225.jpg,$9.70,Aug-24 13:28,Unknown,Unknown,Unknown,Instant,0,3,
item21afac40ac,"ENTOMOLOGY, BUTTERFLY: MORPHO ACHILLES ACHILLES MALE GUYANA",https://www.ebay.com/itm/144681222316?hash=item21afac40ac:g:DOQAAOSwBlNi-Sp3,https://i.ebayimg.com/thumbs/images/g/DOQAAOSwBlNi-Sp3/s-l225.jpg,$9.49,Aug-21 10:01,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Aug 21, 2022

10:01:52 PDT"
item54bcb95d5c,5 Morpho Achilles in A1 condition,https://www.ebay.com/itm/363943517532?hash=item54bcb95d5c:g:fgAAAOSwKqVi9uq8,https://i.ebayimg.com/thumbs/images/g/fgAAAOSwKqVi9uq8/s-l225.jpg,$25.99,Aug-17 17:33,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,1,1,"Aug 17, 2022

17:33:01 PDT"
item54bc29cc6a,10 Morpho achilles in A1 condition,https://www.ebay.com/itm/363934108778?hash=item54bc29cc6a:g:i5IAAOSwEH5i7abL,https://i.ebayimg.com/thumbs/images/g/i5IAAOSwEH5i7abL/s-l225.jpg,$51.00,Aug-10 17:15,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"Aug 10, 2022

17:15:01 PDT"
item54bc29c208,5 Morpho achilles in A1 condition,https://www.ebay.com/itm/363934106120?hash=item54bc29c208:g:uxUAAOSwMWpi7aXi,https://i.ebayimg.com/thumbs/images/g/uxUAAOSwMWpi7aXi/s-l225.jpg,$28.00,Aug-10 17:12,"Delray Beach, Florida, United States",jeffleon4791gc,https://www.ebay.com/usr/jeffleon4791gc?_trksid=p2047675.l2559,Auction,2,1,"Aug 10, 2022

17:12:01 PDT"
item54bb943ce1,"MORPHO ACHILLES PHOKYLIDES FEMALE FROM MATO GROSSO, BRAZIL",https://www.ebay.com/itm/363924307169?hash=item54bb943ce1:g:o9oAAOSwKLVi4s-Y,https://i.ebayimg.com/thumbs/images/g/o9oAAOSwKLVi4s-Y/s-l225.jpg,$78.00,Aug-07 11:37,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,23,1,"Aug 07, 2022

11:37:27 PDT"
item571f208b2e,"MORPHO ACHILLES FAGARDI MALE FROM RIO HUALLAGA, PERU",https://www.ebay.com/itm/374184381230?hash=item571f208b2e:g:1QQAAOSwsQ1i2XI~,https://i.ebayimg.com/thumbs/images/g/1QQAAOSwsQ1i2XI~/s-l225.jpg,$11.00,Jul-31 11:15,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,12,1,"Jul 31, 2022

11:15:00 PDT"
