id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item57215405fa,Papilio fuscus ssp xenophilus (female) from Honiara Guadalcanal,https://www.ebay.com/itm/374221309434?hash=item57215405fa:g:LZgAAOSwQZBjANk4,https://i.ebayimg.com/thumbs/images/g/LZgAAOSwQZBjANk4/s-l225.jpg,$10.46,Aug-27 11:48,"Pershore, United Kingdom",julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,1,1,"Aug 27, 2022

11:48:00 PDT"
item57215234c3,Papilio fuscus ssp xenophilus (Female ? )  Malaita island,https://www.ebay.com/itm/374221190339?hash=item57215234c3:g:oRcAAOSwLeBjALPj,https://i.ebayimg.com/thumbs/images/g/oRcAAOSwLeBjALPj/s-l225.jpg,$10.46,Aug-27 11:22,"Pershore, United Kingdom",julie1bugsandbeetles,https://www.ebay.com/usr/julie1bugsandbeetles?_trksid=p2047675.l2559,Auction,1,1,"Aug 27, 2022

11:22:00 PDT"
item21af11b4a3,PAPILIONIDAE Papilio fuscus fuscus MALE from Ceram mounted #514,https://www.ebay.com/itm/144671093923?hash=item21af11b4a3:g:JroAAOSw2v9i6mlK,https://i.ebayimg.com/thumbs/images/g/JroAAOSw2v9i6mlK/s-l225.jpg,$2.25,Aug-12 13:04,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,2,1,"Aug 12, 2022

13:04:39 PDT"
item21ae5f683d,PAPILIONIDAE Papilio fuscus fuscus MALE from Ceram mounted #14,https://www.ebay.com/itm/144659408957?hash=item21ae5f683d:g:GSUAAOSwfl9iW104,https://i.ebayimg.com/thumbs/images/g/GSUAAOSwfl9iW104/s-l225.jpg,$1.99,Aug-02 12:24,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Aug 02, 2022

12:24:38 PDT"
item36a0653f17,"Entomology, BUTTERFLY: PAPILIO FUSCUS Exercise Calvary",https://www.ebay.com/itm/234619223831?hash=item36a0653f17:g:JtwAAOSwn4diyvGp,https://i.ebayimg.com/thumbs/images/g/JtwAAOSwn4diyvGp/s-l225.jpg,$6.23,Jul-17 10:18,"Haibach, Germany",aureus-tt-butterflies-and-insects,https://www.ebay.com/usr/aureus-tt-butterflies-and-insects?_trksid=p2047675.l2559,Auction,4,1,"Jul 17, 2022

10:18:28 PDT"
item1ac6fbeefd,"LEPIDOPTERA, PAPILIONIDAE, PAPILIO FUSCUS PERTINAX from INDONESIA",https://www.ebay.com/itm/115007549181?hash=item1ac6fbeefd:g:tQ0AAOSwgTBhTaJm,https://i.ebayimg.com/thumbs/images/g/tQ0AAOSwgTBhTaJm/s-l225.jpg,$3.43,Jul-17 04:55,Unknown,Unknown,Unknown,Instant,0,1,
item21ac50ced5,PAPILIONIDAE Papilio fuscus fuscus MALE from Ceram mounted #422,https://www.ebay.com/itm/144624897749?hash=item21ac50ced5:g:UKsAAOSwL1liqlK~,https://i.ebayimg.com/thumbs/images/g/UKsAAOSwL1liqlK~/s-l225.jpg,$1.99,Jul-05 14:06,"Arrayanes, Spain",javiercarp11,https://www.ebay.com/usr/javiercarp11?_trksid=p2047675.l2559,Auction,1,1,"Jul 05, 2022

14:06:50 PDT"
item21ab714eb7,"ENTOMOLOGY, BUTTERFLY: PAPILIO FUSCUS INDICATUS FEMALE PNG",https://www.ebay.com/itm/144610250423?hash=item21ab714eb7:g:0vAAAOSw9Rlir2aX,https://i.ebayimg.com/thumbs/images/g/0vAAAOSw9Rlir2aX/s-l225.jpg,$26.00,Jun-26 11:10,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,20,1,"Jun 26, 2022

11:10:40 PDT"
item1f3c025299,"ENTOMOLOGY, BUTTERFLY: PAPILIO FUSCUS INDICATUS MALE PNG",https://www.ebay.com/itm/134150771353?hash=item1f3c025299:g:ThgAAOSwkdRir2Z8,https://i.ebayimg.com/thumbs/images/g/ThgAAOSwkdRir2Z8/s-l225.jpg,$25.00,Jun-26 11:10,"Haibach, Germany",aureus-butterflies-and-insects,https://www.ebay.com/usr/aureus-butterflies-and-insects?_trksid=p2047675.l2559,Auction,20,1,"Jun 26, 2022

11:10:13 PDT"
item46cd4a7072,Real Dried Insect/Butterfly Non set B7098 Large Papilio fuscus pertinax,https://www.ebay.com/itm/304091918450?hash=item46cd4a7072:g:iO8AAOSww-JhCdiI,https://i.ebayimg.com/thumbs/images/g/iO8AAOSww-JhCdiI/s-l225.jpg,$3.32,Jun-07 20:18,Unknown,Unknown,Unknown,Instant,0,9,
