id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item33ea21eea1,Sasakia charonda ONE REAL BUTTERFLY PURPLE CHINA UNMOUNTED WINGS CLOSED,https://www.ebay.com/itm/222971424417?hash=item33ea21eea1:g:C-4AAOSwEBRbjzLc,https://i.ebayimg.com/thumbs/images/g/C-4AAOSwEBRbjzLc/s-l225.jpg,$16.00,Aug-27 20:46,Unknown,Unknown,Unknown,Instant,0,119,
item57127520ba,"N14591. Insects, butterflies: Sasakia charonda yunnanensis. North Vietnam",https://www.ebay.com/itm/373971820730?hash=item57127520ba:g:E3wAAOSwRRpgTyMO,https://i.ebayimg.com/thumbs/images/g/E3wAAOSwRRpgTyMO/s-l225.jpg,$27.50,Aug-27 17:22,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item23f942a512,N14563. Unmounted butterfly. Sasakia charonda sp. North Vietnam,https://www.ebay.com/itm/154505749778?hash=item23f942a512:g:qYIAAOSw8KlgyxEL,https://i.ebayimg.com/thumbs/images/g/qYIAAOSw8KlgyxEL/s-l225.jpg,$38.00,Aug-27 17:20,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56fde602e6,N14549. Unmounted butterfly. Sasakia charonda sp. North Vietnam,https://www.ebay.com/itm/373626897126?hash=item56fde602e6:g:LjAAAOSw0g5gyw~e,https://i.ebayimg.com/thumbs/images/g/LjAAAOSw0g5gyw~e/s-l225.jpg,$50.00,Aug-27 17:18,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item56ff92c22f,N15062. Insects butterflies: Sasakia charonda. North Vietnam. Ha Giang,https://www.ebay.com/itm/373654995503?hash=item56ff92c22f:g:YiUAAOSwB3xg6BDr,https://i.ebayimg.com/thumbs/images/g/YiUAAOSwB3xg6BDr/s-l225.jpg,$50.00,Aug-27 17:17,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item23e80b39f9,N14559. Unmounted butterflies. Sasakia charonda yunnanensis. North Vietnam,https://www.ebay.com/itm/154216905209?hash=item23e80b39f9:g:nyAAAOSwp6xfuMcw,https://i.ebayimg.com/thumbs/images/g/nyAAAOSwp6xfuMcw/s-l225.jpg,$84.99,Aug-27 17:16,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
item346ac28f7c,"Butterfly. Sasakia charonda ssp. Yunnan, N of Mt.Biluoxueshan.1M. 215129.",https://www.ebay.com/itm/225129435004?hash=item346ac28f7c:g:XPAAAOSwU8xjAv9h,https://i.ebayimg.com/thumbs/images/g/XPAAAOSwU8xjAv9h/s-l225.jpg,$39.99,Aug-26 21:01,"China, China",insect-collector2013,https://www.ebay.com/usr/insect-collector2013?_trksid=p2047675.l2559,Auction,2,1,"Aug 26, 2022

21:01:00 PDT"
item449d51d63c,Butterfly/Insect/Moth Non Set B7169 Rare Bright Purple Sasakia charonda coreana,https://www.ebay.com/itm/294697162300?hash=item449d51d63c:g:6YYAAOSw5cZgZAkq,https://i.ebayimg.com/thumbs/images/g/6YYAAOSw5cZgZAkq/s-l225.jpg,$4.01,Aug-22 07:59,"Goolwa, South Australia, Australia",uniquebutterfliesandinsects,https://www.ebay.com/usr/uniquebutterfliesandinsects?_trksid=p2047675.l2559,Instant,0,10,
item4de39d7fae,Butterfly - 1 x mounted male Sasakia charonda (A1-),https://www.ebay.com/itm/334531231662?hash=item4de39d7fae:g:sCQAAOSwb~JiZFQ7,https://i.ebayimg.com/thumbs/images/g/sCQAAOSwb~JiZFQ7/s-l225.jpg,$4.31,Aug-21 09:45,"Louth, United Kingdom",pupa03,https://www.ebay.com/usr/pupa03?_trksid=p2047675.l2559,Auction,2,1,"Aug 21, 2022

09:45:00 PDT"
item23fe2956ef,N15013. Insects butterflies: Sasakia charonda yunnanensis. Ha Giang. Vietnam,https://www.ebay.com/itm/154587977455?hash=item23fe2956ef:g:BzAAAOSwPTRhHIsr,https://i.ebayimg.com/thumbs/images/g/BzAAAOSwPTRhHIsr/s-l225.jpg,$16.15,Aug-09 03:05,"Forest, Vietnam",vietnambutterflies,https://www.ebay.com/usr/vietnambutterflies?_trksid=p2047675.l2559,Instant,0,1,
