id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item241ba1c1bb,Washingtonia filifera Washington Palm 200 seeds 1W,https://www.ebay.com/itm/155082408379?hash=item241ba1c1bb:g:jhIAAOSw1E1i1d~B,https://i.ebayimg.com/thumbs/images/g/jhIAAOSw1E1i1d~B/s-l225.jpg,$13.99,Aug-28 03:25,Unknown,Unknown,Unknown,Instant,0,3,
item1f296015e8,50+ California Fan Palm Tree Seeds (Washingtonia Filifera) EDIBLE Free Shipping,https://www.ebay.com/itm/133838149096?hash=item1f296015e8:g:DDEAAOSwDtlgqgim,https://i.ebayimg.com/thumbs/images/g/DDEAAOSwDtlgqgim/s-l225.jpg,$5.25,Aug-25 00:23,Unknown,Unknown,Unknown,Instant,0,133,
item1d1dfcccb0,"California Fan Palm Tree, 2021 Washingtonia Filifera, 50+ Seeds #03 Mother Trees",https://www.ebay.com/itm/125057158320?hash=item1d1dfcccb0:g:eDgAAOSw7ZBh7IYJ,https://i.ebayimg.com/thumbs/images/g/eDgAAOSw7ZBh7IYJ/s-l225.jpg,$3.20,Aug-20 19:30,Unknown,Unknown,Unknown,Instant,0,32,
item1d2401ec3f,"6 California Fan Palm Tree Seedlings, Washingtonia Filifera, 1 Year Old, 12 In +",https://www.ebay.com/itm/125158157375?hash=item1d2401ec3f:g:rc0AAOSwUc1h7Ii1,https://i.ebayimg.com/thumbs/images/g/rc0AAOSwUc1h7Ii1/s-l225.jpg,$15.95,Aug-19 15:53,Unknown,Unknown,Unknown,Instant,0,2,
item1a8741b93c,"California Fan Palm (Washingtonia filifera), 20 seeds",https://www.ebay.com/itm/113938381116?hash=item1a8741b93c:g:GkoAAOSw3F5dtTDk,https://i.ebayimg.com/thumbs/images/g/GkoAAOSw3F5dtTDk/s-l225.jpg,$3.20,Aug-16 10:37,Unknown,Unknown,Unknown,Instant,0,183,
item46c1986998,Washingtonia Filifera Palm Tree live plant,https://www.ebay.com/itm/303895701912?hash=item46c1986998:g:7ZsAAOSwnmxgNBIP,https://i.ebayimg.com/thumbs/images/g/7ZsAAOSwnmxgNBIP/s-l225.jpg,$12.50,Aug-14 21:10,Unknown,Unknown,Unknown,Instant,0,105,
item1c443bcc4c,100 Seeds Washingtonia filifera California Fan Palm Short Desert Tree Arizona,https://www.ebay.com/itm/121403853900?hash=item1c443bcc4c:g:33sAAOxy4dNSywu~,https://i.ebayimg.com/thumbs/images/g/33sAAOxy4dNSywu~/s-l225.jpg,$23.00,Aug-14 13:57,Unknown,Unknown,Unknown,Instant,0,129,
item19e72928a8,"25 Seeds, Washingtonia filifera, California Fan Palm Short Desert Tree, Arizona.",https://www.ebay.com/itm/111252416680?hash=item19e72928a8:g:MVoAAOSwZG9WjiTp,https://i.ebayimg.com/thumbs/images/g/MVoAAOSwZG9WjiTp/s-l225.jpg,$15.00,Jul-28 10:55,Unknown,Unknown,Unknown,Instant,0,30,
item546b022427,Washingtonia filifera HARDY FORM Zone 6b Seeds!,https://www.ebay.com/itm/362572555303?hash=item546b022427:g:PvEAAOSwSglcfSFz,https://i.ebayimg.com/thumbs/images/g/PvEAAOSwSglcfSFz/s-l225.jpg,$4.99,Jul-21 08:38,Unknown,Unknown,Unknown,Instant,0,71,
item3b81d1ba89,5 California Fan Palm (Washingtonia filifera) Seedlings ~ Native Cold Hardy Palm,https://www.ebay.com/itm/255581076105?hash=item3b81d1ba89:g:R5sAAOSws3Zip5Uc,https://i.ebayimg.com/thumbs/images/g/R5sAAOSws3Zip5Uc/s-l225.jpg,$9.98,Jul-04 19:29,"Okatie, South Carolina, United States",elsuenoverde_0,https://www.ebay.com/usr/elsuenoverde_0?_trksid=p2047675.l2559,Instant,0,1,
item1d2297e44e,"3 California Fan Palm Tree Saplings - Washingtonia Filifera 14+ inches, 1.5 Year",https://www.ebay.com/itm/125134431310?hash=item1d2297e44e:g:8QoAAOSwoK1h7Ige,https://i.ebayimg.com/thumbs/images/g/8QoAAOSwoK1h7Ige/s-l225.jpg,$17.95,Jun-12 14:47,Unknown,Unknown,Unknown,Instant,0,1,
item19e5d1a9cf,50 Seeds Washingtonia filifera California Fan Palm Short Fat Tree Desert Arizona,https://www.ebay.com/itm/111229905359?hash=item19e5d1a9cf:g:CUUAAOxy9DRSApIq,https://i.ebayimg.com/thumbs/images/g/CUUAAOxy9DRSApIq/s-l225.jpg,$19.00,Jun-08 07:28,Unknown,Unknown,Unknown,Instant,0,74,
