id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54bda64296,1 PCS PVC NewArrival KeyChain Colorful Bean Blue Cartoon Figure Key RingFunny,https://www.ebay.com/itm/363959042710?hash=item54bda64296:g:OhgAAOSwg~1jCPtv,https://i.ebayimg.com/thumbs/images/g/OhgAAOSwg~1jCPtv/s-l225.jpg,$0.45,Sep-02 09:58,"Shanghai, China",hanchath53,https://www.ebay.com/usr/hanchath53?_trksid=p2047675.l2559,Auction,4,1,"Sep 02, 2022

09:58:23 PDT"
item4bbedd3d98,L.L.Bean Blue Pullover Sweater Mens XL,https://www.ebay.com/itm/325324717464?hash=item4bbedd3d98:g:UEsAAOSwAvVjDxoC,https://i.ebayimg.com/thumbs/images/g/UEsAAOSwAvVjDxoC/s-l225.jpg,$19.99,Sep-02 07:34,"Brick, New Jersey, United States",seedsofservice,https://www.ebay.com/usr/seedsofservice?_trksid=p2047675.l2559,Instant,0,1,
item3b866fc6f9,LL Bean Blue Jeans Mens 37X29 Flannel Lined Relaxed Fit Straight Leg Denim Work,https://www.ebay.com/itm/255658542841?hash=item3b866fc6f9:g:3ekAAOSwzJti6aBV,https://i.ebayimg.com/thumbs/images/g/3ekAAOSwzJti6aBV/s-l225.jpg,$23.00,Sep-02 05:46,"Hays, North Carolina, United States",william1418cars,https://www.ebay.com/usr/william1418cars?_trksid=p2047675.l2559,Instant,0,1,
item2d70d51e47,LL Bean Blue Button Up Knit Cardigan Sweater Lambs Wool Blend Women's Large NWT,https://www.ebay.com/itm/195166543431?hash=item2d70d51e47:g:3OEAAOSwmgJitmls,https://i.ebayimg.com/thumbs/images/g/3OEAAOSwmgJitmls/s-l225.jpg,$28.90,Sep-01 20:02,"Memphis, Tennessee, United States",3littleducklings,https://www.ebay.com/usr/3littleducklings?_trksid=p2047675.l2559,Instant,0,1,
item5998f2ea4d,NWT L.L. Bean Blue Wrinkle Free Slightly Fitted Mini Check Long Sleeve Men's L,https://www.ebay.com/itm/384818145869?hash=item5998f2ea4d:g:g~kAAOSw2EtiO3nv,https://i.ebayimg.com/thumbs/images/g/g~kAAOSw2EtiO3nv/s-l225.jpg,$34.99,Sep-01 18:05,"Salem, Oregon, United States",hearo-5879,https://www.ebay.com/usr/hearo-5879?_trksid=p2047675.l2559,Instant,0,1,
item4922758902,LL Bean Blue Mens Long Sleeve Button Up Work Shirt Size XLT XL Tall,https://www.ebay.com/itm/314110740738?hash=item4922758902:g:EQQAAOSwlyhi~Ggn,https://i.ebayimg.com/thumbs/images/g/EQQAAOSwlyhi~Ggn/s-l225.jpg,$24.95,Sep-01 18:05,Unknown,Unknown,Unknown,Instant,0,1,
item28d629c596,LL Bean Blue Plaid Flannel Shirt Womens Large Button Up,https://www.ebay.com/itm/175391753622?hash=item28d629c596:g:QZcAAOSwBbVjA8JP,https://i.ebayimg.com/thumbs/images/g/QZcAAOSwBbVjA8JP/s-l225.jpg,$18.00,Sep-01 17:03,"Ann Arbor, Michigan, United States",suwalds-0,https://www.ebay.com/usr/suwalds-0?_trksid=p2047675.l2559,Instant,0,1,
item2d4fe6dda0,LL Bean Blue Striped Linen Slightly Fitted Long Sleeve Dress Shirt Size Large L,https://www.ebay.com/itm/194614058400?hash=item2d4fe6dda0:g:6Y4AAOSwlpxhuD2F,https://i.ebayimg.com/thumbs/images/g/6Y4AAOSwlpxhuD2F/s-l225.jpg,$19.99,Sep-01 15:55,"Keene, New Hampshire, United States",cisles1221,https://www.ebay.com/usr/cisles1221?_trksid=p2047675.l2559,Instant,0,1,
item44b601e9eb,L.L. Bean Blue Check Casual Shirt 3XL Ladies Long Sleeve Button Up,https://www.ebay.com/itm/295111354859?hash=item44b601e9eb:g:mQcAAOSw8uhi3rbw,https://i.ebayimg.com/thumbs/images/g/mQcAAOSw8uhi3rbw/s-l225.jpg,$17.29,Sep-01 14:41,"London, United Kingdom",rusto_vintage,https://www.ebay.com/usr/rusto_vintage?_trksid=p2047675.l2559,Instant,0,1,
item344fdff659,LL Bean Blue Wrinkle Resistant Classic Oxford Traditional Fit Dress Shirt 18-37,https://www.ebay.com/itm/224678377049?hash=item344fdff659:g:zHoAAOSwtRNhhd91,https://i.ebayimg.com/thumbs/images/g/zHoAAOSwtRNhhd91/s-l225.jpg,$17.97,Sep-01 14:03,"Lorain, Ohio, United States",grandprix25r,https://www.ebay.com/usr/grandprix25r?_trksid=p2047675.l2559,Instant,0,1,
