id,title,link,image,price_sold,end_date,origin,seller_name,seller_link,sell_type,num_bids,num_sold,auction_end_date
item54b99a240a,HORAGA SELINA FEMALE FROM PELENG ISL.,https://www.ebay.com/itm/363891139594?hash=item54b99a240a:g:KqMAAOSwnSNivblv,https://i.ebayimg.com/thumbs/images/g/KqMAAOSwnSNivblv/s-l225.jpg,$15.50,Jul-10 10:45,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Jul 10, 2022

10:45:20 PDT"
item54b99a2313,HORAGA SELINA MALE FROM PELENG ISL.,https://www.ebay.com/itm/363891139347?hash=item54b99a2313:g:oisAAOSwHrVivblT,https://i.ebayimg.com/thumbs/images/g/oisAAOSwHrVivblT/s-l225.jpg,$4.25,Jul-10 10:44,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,7,1,"Jul 10, 2022

10:44:31 PDT"
item46e81a6064,"Horaga selina - Lycaenidae female from Peleng island, Indonesia",https://www.ebay.com/itm/304541753444?hash=item46e81a6064:g:qF8AAOSw9IRitXs4,https://i.ebayimg.com/thumbs/images/g/qF8AAOSw9IRitXs4/s-l225.jpg,$8.00,Jul-06 09:04,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"Jul 06, 2022

09:04:41 PDT"
item46e81a5aa2,"Horaga selina - Lycaenidae male from Peleng island, Indonesia",https://www.ebay.com/itm/304541751970?hash=item46e81a5aa2:g:RXoAAOSw2TBitXrE,https://i.ebayimg.com/thumbs/images/g/RXoAAOSw2TBitXrE/s-l225.jpg,$8.50,Jul-06 09:03,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,2,1,"Jul 06, 2022

09:03:10 PDT"
item571cb9e216,HORAGA SELINA FEMALE FROM PELENG ISL.,https://www.ebay.com/itm/374144098838?hash=item571cb9e216:g:9jYAAOSwllZisufe,https://i.ebayimg.com/thumbs/images/g/9jYAAOSwllZisufe/s-l225.jpg,$13.50,Jul-02 10:19,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,9,1,"Jul 02, 2022

10:19:16 PDT"
item54b909449e,HORAGA SELINA MALE FROM PELENG ISL.,https://www.ebay.com/itm/363881645214?hash=item54b909449e:g:yMEAAOSwfc9isufA,https://i.ebayimg.com/thumbs/images/g/yMEAAOSwfc9isufA/s-l225.jpg,$12.50,Jul-02 10:18,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,6,1,"Jul 02, 2022

10:18:28 PDT"
item46e7fe8565,"Horaga selina - Lycaenidae male from Peleng island, Indonesia",https://www.ebay.com/itm/304539927909?hash=item46e7fe8565:g:iTcAAOSwQ8Fis-28,https://i.ebayimg.com/thumbs/images/g/iTcAAOSwQ8Fis-28/s-l225.jpg,$4.00,Jul-01 09:43,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"Jul 01, 2022

09:43:12 PDT"
item46e7fe7f68,"Horaga selina - Lycaenidae female from Peleng island, Indonesia",https://www.ebay.com/itm/304539926376?hash=item46e7fe7f68:g:lGMAAOSwZ39is-0s,https://i.ebayimg.com/thumbs/images/g/lGMAAOSwZ39is-0s/s-l225.jpg,$8.00,Jul-01 09:42,"Gianyar, Indonesia",papua-insects,https://www.ebay.com/usr/papua-insects?_trksid=p2047675.l2559,Auction,1,1,"Jul 01, 2022

09:42:01 PDT"
item54b873265c,HORAGA SELINA MALE FROM PELENG ISL.,https://www.ebay.com/itm/363871807068?hash=item54b873265c:g:g3gAAOSwzytip1Jt,https://i.ebayimg.com/thumbs/images/g/g3gAAOSwzytip1Jt/s-l225.jpg,$11.50,Jun-18 11:28,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,4,1,"Jun 18, 2022

11:28:33 PDT"
item54b7e1c9fb,HORAGA SELINA MALE FROM PELENG ISL.,https://www.ebay.com/itm/363862280699?hash=item54b7e1c9fb:g:-LgAAOSwQ99im4R0,https://i.ebayimg.com/thumbs/images/g/-LgAAOSwQ99im4R0/s-l225.jpg,$15.50,Jun-11 10:48,"München, Germany",ilo44,https://www.ebay.com/usr/ilo44?_trksid=p2047675.l2559,Auction,3,1,"Jun 11, 2022

10:48:24 PDT"
